Engine,No of Parameters,Finetuned version of LLM,Use of RLHF,Open Source,Size of dataset,context length,conversational,code,longlora,longQA,Step Back,Chain of Thought,Model Path
human,n_a,n_a,n_a,n_a,n_a,n_a,No,No,No,No,No,No
random,n_a,n_a,n_a,n_a,n_a,n_a,No,No,No,No,No,No
gpt-4,1760,No,Yes,No,1.56,8,No,No,No,No,No,No
claude-2,200,No,RLAIF,No,2,100,No,No,No,No,No,No
local_llama1B,1,No,No,Yes,2,4,No,No,No,No,No,No,/nas_data/kankan.lan/modelscope_models/LLM-Research/Llama-3.2-1B
ce,1,No,No,Yes,2,4,No,No,No,No,No,No,/nas_data/kankan.lan/repos/psy101/data/Llama-3.2-1B-CE
cekl,1,No,No,Yes,2,4,No,No,No,No,No,No,/nas_data/kankan.lan/repos/psy101/data/Llama-3.2-1B-ce_kl
sftklmeow,1,No,No,Yes,2,4,No,No,No,No,No,No,/nas_data/kankan.lan/repos/psy101/data/Llama-3.2-1B-SFT+KL+MEOW
sftps3,1,No,No,Yes,2,4,No,No,No,No,No,No,/nas_data/kankan.lan/repos/psy101/data/Llama-3.2-1B-SFT+KL+MEOW
sftps3meow,1,No,No,Yes,2,4,No,No,No,No,No,No,/nas_data/kankan.lan/repos/psy101/data/Llama-3.2-1B-SFT+KL+MEOW
sftklps3,1,No,No,Yes,2,4,No,No,No,No,No,No,/nas_data/kankan.lan/repos/psy101/data/Llama-3.2-1B-SFT+KL+PS3
sftklps3meowbeta1,1,No,No,Yes,2,4,No,No,No,No,No,No,/nas_data/kankan.lan/repos/psy101/data/Llama-3.2-1B-Adaptive-Weight
sftklps3meowbeta-1,1,No,No,Yes,2,4,No,No,No,No,No,No,/nas_data/kankan.lan/repos/psy101/data/Llama-3.2-1B-Adaptive-Weight-test
sftklps3meowbetagamma,1,No,No,Yes,2,4,No,No,No,No,No,No,/nas_data/kankan.lan/repos/psy101/data/Llama-3.2-1B-Adaptive-Weight-With-Gamma
mixratio,1,No,No,Yes,2,4,No,No,No,No,No,No,/nas_data/kankan.lan/repos/psy101/data/Llama-3.2-1B-SFT+KL+PS3+MEOW-final
local_llama8B,1,No,No,Yes,2,4,No,No,No,No,No,No,/nas_data/kankan.lan/modelscope_models/LLM-Research/Meta-Llama-3.1-8B
local_R1llama8B,1,No,No,Yes,2,4,No,No,No,No,No,No,/data/kankan.lan/modelscope_models/deepseek-ai/DeepSeek-R1-Distill-Llama-8B
centaur,1,No,No,Yes,2,4,No,No,No,No,No,No,/data/kankan.lan/repos/Llama-3.1-Centaur-8B-adapter/Centaur-8B
