trial,pumps,reward,max_pumps,exploded,balloon_trial,balloon_idx,run
0,78,0,128,True,0,2,0
1,18,0,32,True,0,0,0
2,31,0,32,True,1,0,0
3,17,0,32,True,2,0,0
4,1,1,128,False,1,2,0
5,1,0,8,True,0,1,0
6,0,0,128,False,2,2,0
7,36,0,128,True,3,2,0
8,8,0,32,True,3,0,0
9,0,0,8,False,1,1,0
10,3,3,128,False,4,2,0
11,1,1,32,False,4,0,0
12,0,0,128,False,5,2,0
13,1,1,8,False,2,1,0
14,3,3,128,False,6,2,0
15,0,0,32,False,5,0,0
16,19,0,32,True,6,0,0
17,0,0,32,False,7,0,0
18,1,1,128,False,7,2,0
19,1,1,128,False,8,2,0
20,0,0,128,False,9,2,0
21,0,0,8,False,3,1,0
22,5,0,8,True,4,1,0
23,1,1,32,False,8,0,0
24,0,0,128,False,10,2,0
25,0,0,32,False,9,0,0
26,12,0,128,True,11,2,0
27,8,0,8,True,5,1,0
28,0,0,8,False,6,1,0
29,1,1,8,False,7,1,0
30,11,0,128,True,12,2,0
31,1,1,32,False,10,0,0
32,1,1,128,False,13,2,0
33,0,0,32,False,11,0,0
34,0,0,128,False,14,2,0
35,2,2,32,False,12,0,0
36,1,0,32,True,13,0,0
37,0,0,8,False,8,1,0
38,0,0,8,False,9,1,0
39,0,0,8,False,10,1,0
40,0,0,32,False,14,0,0
41,0,0,8,False,11,1,0
42,2,0,8,True,12,1,0
43,0,0,8,False,13,1,0
44,1,1,8,False,14,1,0
