trial,pumps,reward,max_pumps,exploded,balloon_trial,balloon_idx,run
0,0,0,128,False,0,0,0
1,7,7,128,False,1,0,0
2,0,0,32,False,0,1,0
3,3,3,32,False,1,1,0
4,3,3,32,False,2,1,0
5,0,0,32,False,3,1,0
6,2,2,32,False,4,1,0
7,1,0,8,True,0,2,0
8,11,11,128,False,2,0,0
9,0,0,128,False,3,0,0
10,4,4,32,False,5,1,0
11,3,3,128,False,4,0,0
12,0,0,128,False,5,0,0
13,1,1,128,False,6,0,0
14,0,0,128,False,7,0,0
15,0,0,32,False,6,1,0
16,2,2,32,False,7,1,0
17,0,0,8,False,1,2,0
18,2,2,128,False,8,0,0
19,1,0,8,True,2,2,0
20,0,0,8,False,3,2,0
21,2,0,8,True,4,2,0
22,2,0,8,True,5,2,0
23,1,1,8,False,6,2,0
24,2,2,8,False,7,2,0
25,0,0,8,False,8,2,0
26,6,0,8,True,9,2,0
27,1,0,8,True,10,2,0
28,0,0,128,False,9,0,0
29,2,2,128,False,10,0,0
30,4,4,32,False,8,1,0
31,0,0,32,False,9,1,0
32,0,0,128,False,11,0,0
33,0,0,32,False,10,1,0
34,0,0,32,False,11,1,0
35,2,0,8,True,11,2,0
36,0,0,128,False,12,0,0
37,1,1,8,False,12,2,0
38,3,3,128,False,13,0,0
39,1,1,32,False,12,1,0
40,1,0,32,True,13,1,0
41,5,5,128,False,14,0,0
42,1,0,8,True,13,2,0
43,2,2,8,False,14,2,0
44,0,0,32,False,14,1,0
0,3,3,32,False,0,2,1
1,4,4,8,False,0,1,1
2,3,3,8,False,1,1,1
3,5,0,8,True,2,1,1
4,2,2,128,False,0,0,1
5,5,5,32,False,1,2,1
6,3,3,32,False,2,2,1
7,0,0,8,False,3,1,1
8,0,0,8,False,4,1,1
9,3,3,32,False,3,2,1
10,12,12,128,False,1,0,1
11,1,1,32,False,4,2,1
12,3,3,128,False,2,0,1
13,6,6,8,False,5,1,1
14,0,0,128,False,3,0,1
15,6,6,128,False,4,0,1
16,1,1,8,False,6,1,1
17,3,0,8,True,7,1,1
18,6,0,32,True,5,2,1
19,3,3,32,False,6,2,1
20,1,1,128,False,5,0,1
21,1,1,32,False,7,2,1
22,1,1,32,False,8,2,1
23,3,3,8,False,8,1,1
24,1,1,128,False,6,0,1
25,5,5,128,False,7,0,1
26,6,6,8,False,9,1,1
27,4,0,8,True,10,1,1
28,6,6,128,False,8,0,1
29,1,1,8,False,11,1,1
30,3,3,32,False,9,2,1
31,1,1,32,False,10,2,1
32,2,2,32,False,11,2,1
33,4,4,128,False,9,0,1
34,2,2,128,False,10,0,1
35,1,1,32,False,12,2,1
36,0,0,32,False,13,2,1
37,2,2,32,False,14,2,1
38,0,0,8,False,12,1,1
39,2,2,8,False,13,1,1
40,1,1,8,False,14,1,1
41,1,1,128,False,11,0,1
42,1,1,128,False,12,0,1
43,0,0,128,False,13,0,1
44,1,1,128,False,14,0,1
0,5,5,128,False,0,0,2
1,0,0,128,False,1,0,2
2,1,0,128,True,2,0,2
3,4,4,128,False,3,0,2
4,5,0,8,True,0,2,2
5,5,5,128,False,4,0,2
6,5,5,128,False,5,0,2
7,6,0,8,True,1,2,2
8,6,6,128,False,6,0,2
9,0,0,128,False,7,0,2
10,2,2,8,False,2,2,2
11,0,0,32,False,0,1,2
12,3,3,8,False,3,2,2
13,0,0,128,False,8,0,2
14,1,1,128,False,9,0,2
15,1,1,8,False,4,2,2
16,0,0,8,False,5,2,2
17,3,3,128,False,10,0,2
18,7,7,8,False,6,2,2
19,2,2,32,False,1,1,2
20,0,0,32,False,2,1,2
21,1,0,128,True,11,0,2
22,4,4,8,False,7,2,2
23,5,5,32,False,3,1,2
24,3,3,8,False,8,2,2
25,1,1,128,False,12,0,2
26,2,2,128,False,13,0,2
27,0,0,32,False,4,1,2
28,0,0,32,False,5,1,2
29,3,3,128,False,14,0,2
