trial,mean0,mean1,reward0,reward1,choice,reward,run
0,40.0,60.0,22.0,56.0,1,56.0,0
1,40.0,60.0,27.0,66.0,1,66.0,0
2,40.0,60.0,46.0,44.0,0,46.0,0
3,40.0,60.0,43.0,65.0,1,65.0,0
4,40.0,60.0,44.0,73.0,0,44.0,0
5,40.0,60.0,35.0,78.0,0,35.0,0
6,40.0,60.0,35.0,59.0,0,35.0,0
7,40.0,60.0,58.0,46.0,1,46.0,0
8,40.0,60.0,43.0,65.0,1,65.0,0
9,40.0,60.0,47.0,54.0,1,54.0,0
0,52.0,40.0,38.0,42.0,0,38.0,1
1,52.0,40.0,56.0,30.0,1,30.0,1
2,52.0,40.0,62.0,38.0,0,62.0,1
3,52.0,40.0,55.0,40.0,1,40.0,1
4,52.0,40.0,57.0,42.0,1,42.0,1
0,56.0,60.0,46.0,59.0,0,46.0,2
1,56.0,60.0,62.0,62.0,1,62.0,2
2,56.0,60.0,62.0,59.0,0,62.0,2
3,56.0,60.0,56.0,54.0,1,54.0,2
4,56.0,60.0,51.0,48.0,1,48.0,2
5,56.0,60.0,69.0,58.0,1,58.0,2
6,56.0,60.0,66.0,56.0,0,66.0,2
7,56.0,60.0,52.0,59.0,1,59.0,2
8,56.0,60.0,67.0,67.0,0,67.0,2
9,56.0,60.0,67.0,59.0,0,67.0,2
0,56.0,60.0,64.0,59.0,0,64.0,3
1,56.0,60.0,62.0,83.0,1,83.0,3
2,56.0,60.0,60.0,59.0,1,59.0,3
3,56.0,60.0,41.0,71.0,1,71.0,3
4,56.0,60.0,47.0,47.0,1,47.0,3
0,52.0,60.0,45.0,71.0,1,71.0,4
1,52.0,60.0,57.0,54.0,1,54.0,4
2,52.0,60.0,44.0,50.0,0,44.0,4
3,52.0,60.0,50.0,87.0,1,87.0,4
4,52.0,60.0,56.0,55.0,1,55.0,4
5,52.0,60.0,46.0,67.0,0,46.0,4
6,52.0,60.0,60.0,56.0,1,56.0,4
7,52.0,60.0,60.0,43.0,0,60.0,4
8,52.0,60.0,46.0,48.0,1,48.0,4
9,52.0,60.0,57.0,54.0,1,54.0,4
0,40.0,36.0,36.0,34.0,1,34.0,5
1,40.0,36.0,37.0,54.0,0,37.0,5
2,40.0,36.0,37.0,59.0,0,37.0,5
3,40.0,36.0,45.0,32.0,0,45.0,5
4,40.0,36.0,32.0,42.0,0,32.0,5
0,90.0,60.0,86.0,68.0,1,68.0,6
1,90.0,60.0,85.0,63.0,1,63.0,6
2,90.0,60.0,84.0,46.0,0,84.0,6
3,90.0,60.0,79.0,67.0,1,67.0,6
4,90.0,60.0,78.0,51.0,0,78.0,6
5,90.0,60.0,97.0,67.0,0,97.0,6
6,90.0,60.0,97.0,50.0,0,97.0,6
7,90.0,60.0,97.0,66.0,1,66.0,6
8,90.0,60.0,93.0,70.0,0,93.0,6
9,90.0,60.0,91.0,63.0,1,63.0,6
0,40.0,36.0,41.0,51.0,0,41.0,7
1,40.0,36.0,38.0,48.0,1,48.0,7
2,40.0,36.0,35.0,38.0,0,35.0,7
3,40.0,36.0,40.0,41.0,0,40.0,7
4,40.0,36.0,35.0,37.0,1,37.0,7
5,40.0,36.0,38.0,35.0,1,35.0,7
6,40.0,36.0,48.0,38.0,1,38.0,7
7,40.0,36.0,47.0,48.0,0,47.0,7
8,40.0,36.0,45.0,37.0,0,45.0,7
9,40.0,36.0,45.0,28.0,0,45.0,7
0,40.0,52.0,14.0,35.0,1,35.0,8
1,40.0,52.0,43.0,45.0,0,43.0,8
2,40.0,52.0,39.0,64.0,1,64.0,8
3,40.0,52.0,35.0,53.0,0,35.0,8
4,40.0,52.0,45.0,53.0,0,45.0,8
0,60.0,52.0,58.0,38.0,1,38.0,9
1,60.0,52.0,65.0,55.0,0,65.0,9
2,60.0,52.0,53.0,49.0,1,49.0,9
3,60.0,52.0,60.0,58.0,0,60.0,9
4,60.0,52.0,49.0,53.0,0,49.0,9
5,60.0,52.0,77.0,43.0,1,43.0,9
6,60.0,52.0,57.0,40.0,1,40.0,9
7,60.0,52.0,48.0,50.0,1,50.0,9
8,60.0,52.0,61.0,58.0,1,58.0,9
9,60.0,52.0,62.0,44.0,1,44.0,9
0,70.0,40.0,75.0,39.0,0,75.0,10
1,70.0,40.0,80.0,41.0,0,80.0,10
2,70.0,40.0,63.0,40.0,1,40.0,10
3,70.0,40.0,59.0,35.0,1,35.0,10
4,70.0,40.0,46.0,52.0,0,46.0,10
0,60.0,68.0,53.0,60.0,0,53.0,11
1,60.0,68.0,59.0,74.0,0,59.0,11
2,60.0,68.0,49.0,65.0,1,65.0,11
3,60.0,68.0,58.0,71.0,1,71.0,11
4,60.0,68.0,57.0,69.0,0,57.0,11
0,40.0,36.0,48.0,27.0,1,27.0,12
