trial,mean0,mean1,reward0,reward1,choice,reward,run
0,48.0,60.0,44.0,54.0,0,44.0,0
1,48.0,60.0,44.0,67.0,0,44.0,0
2,48.0,60.0,57.0,58.0,1,58.0,0
3,48.0,60.0,46.0,81.0,1,81.0,0
4,48.0,60.0,50.0,65.0,1,65.0,0
5,48.0,60.0,58.0,58.0,1,58.0,0
6,48.0,60.0,50.0,48.0,0,50.0,0
7,48.0,60.0,39.0,62.0,0,39.0,0
8,48.0,60.0,47.0,63.0,1,63.0,0
9,48.0,60.0,50.0,64.0,0,50.0,0
0,60.0,30.0,61.0,33.0,0,61.0,1
1,60.0,30.0,67.0,38.0,1,38.0,1
2,60.0,30.0,49.0,23.0,1,23.0,1
3,60.0,30.0,75.0,39.0,1,39.0,1
4,60.0,30.0,64.0,10.0,1,10.0,1
0,80.0,60.0,81.0,56.0,1,56.0,2
1,80.0,60.0,78.0,63.0,0,78.0,2
2,80.0,60.0,92.0,65.0,1,65.0,2
3,80.0,60.0,71.0,57.0,0,71.0,2
4,80.0,60.0,86.0,56.0,0,86.0,2
0,40.0,70.0,38.0,62.0,1,62.0,3
1,40.0,70.0,37.0,70.0,1,70.0,3
2,40.0,70.0,52.0,69.0,0,52.0,3
3,40.0,70.0,59.0,66.0,1,66.0,3
4,40.0,70.0,29.0,77.0,0,29.0,3
0,60.0,40.0,54.0,43.0,1,43.0,4
1,60.0,40.0,69.0,44.0,0,69.0,4
2,60.0,40.0,69.0,34.0,1,34.0,4
3,60.0,40.0,59.0,42.0,1,42.0,4
4,60.0,40.0,57.0,58.0,0,57.0,4
0,40.0,70.0,43.0,67.0,0,43.0,5
1,40.0,70.0,38.0,69.0,1,69.0,5
2,40.0,70.0,38.0,73.0,0,38.0,5
3,40.0,70.0,55.0,71.0,0,55.0,5
4,40.0,70.0,35.0,77.0,1,77.0,5
5,40.0,70.0,52.0,81.0,0,52.0,5
6,40.0,70.0,29.0,61.0,0,29.0,5
7,40.0,70.0,39.0,66.0,0,39.0,5
8,40.0,70.0,37.0,59.0,0,37.0,5
9,40.0,70.0,38.0,67.0,0,38.0,5
0,60.0,68.0,58.0,78.0,1,78.0,6
1,60.0,68.0,56.0,73.0,0,56.0,6
2,60.0,68.0,67.0,77.0,0,67.0,6
3,60.0,68.0,59.0,62.0,0,59.0,6
