trial,mean0,mean1,reward0,reward1,choice,reward,run
0,60.0,40.0,63.0,48.0,1,48.0,0
1,60.0,40.0,53.0,32.0,0,53.0,0
2,60.0,40.0,72.0,43.0,0,72.0,0
3,60.0,40.0,47.0,50.0,0,47.0,0
4,60.0,40.0,50.0,27.0,0,50.0,0
5,60.0,40.0,54.0,35.0,0,54.0,0
6,60.0,40.0,64.0,21.0,1,21.0,0
7,60.0,40.0,67.0,36.0,1,36.0,0
8,60.0,40.0,65.0,36.0,1,36.0,0
9,60.0,40.0,49.0,31.0,1,31.0,0
0,60.0,80.0,56.0,80.0,1,80.0,1
1,60.0,80.0,61.0,77.0,1,77.0,1
2,60.0,80.0,69.0,74.0,0,69.0,1
3,60.0,80.0,60.0,83.0,0,60.0,1
4,60.0,80.0,66.0,71.0,0,66.0,1
5,60.0,80.0,58.0,85.0,1,85.0,1
6,60.0,80.0,65.0,79.0,1,79.0,1
7,60.0,80.0,68.0,76.0,0,68.0,1
8,60.0,80.0,54.0,82.0,1,82.0,1
9,60.0,80.0,50.0,80.0,1,80.0,1
0,10.0,40.0,7.0,38.0,0,7.0,2
1,10.0,40.0,0.0,60.0,1,60.0,2
2,10.0,40.0,4.0,34.0,1,34.0,2
3,10.0,40.0,1.0,58.0,0,1.0,2
4,10.0,40.0,13.0,23.0,0,13.0,2
0,90.0,60.0,79.0,47.0,1,47.0,3
1,90.0,60.0,85.0,58.0,1,58.0,3
2,90.0,60.0,87.0,67.0,0,87.0,3
3,90.0,60.0,82.0,74.0,0,82.0,3
4,90.0,60.0,82.0,52.0,1,52.0,3
0,40.0,32.0,39.0,37.0,1,37.0,4
1,40.0,32.0,35.0,37.0,1,37.0,4
2,40.0,32.0,35.0,41.0,0,35.0,4
3,40.0,32.0,34.0,26.0,1,26.0,4
4,40.0,32.0,41.0,31.0,1,31.0,4
0,40.0,10.0,35.0,11.0,0,35.0,5
1,40.0,10.0,47.0,24.0,0,47.0,5
2,40.0,10.0,46.0,8.0,1,8.0,5
3,40.0,10.0,39.0,13.0,1,13.0,5
4,40.0,10.0,58.0,9.0,1,9.0,5
0,40.0,20.0,35.0,24.0,0,35.0,6
1,40.0,20.0,31.0,19.0,0,31.0,6
2,40.0,20.0,45.0,28.0,1,28.0,6
3,40.0,20.0,47.0,18.0,1,18.0,6
4,40.0,20.0,57.0,21.0,1,21.0,6
0,48.0,40.0,48.0,31.0,1,31.0,7
1,48.0,40.0,45.0,47.0,0,45.0,7
2,48.0,40.0,48.0,38.0,1,38.0,7
3,48.0,40.0,47.0,53.0,1,53.0,7
4,48.0,40.0,57.0,48.0,1,48.0,7
0,28.0,40.0,34.0,55.0,0,34.0,8
1,28.0,40.0,29.0,41.0,0,29.0,8
2,28.0,40.0,20.0,50.0,0,20.0,8
3,28.0,40.0,18.0,43.0,1,43.0,8
4,28.0,40.0,22.0,33.0,0,22.0,8
5,28.0,40.0,33.0,73.0,0,33.0,8
6,28.0,40.0,37.0,39.0,0,37.0,8
7,28.0,40.0,23.0,39.0,1,39.0,8
8,28.0,40.0,27.0,31.0,0,27.0,8
9,28.0,40.0,22.0,44.0,0,22.0,8
0,36.0,40.0,33.0,52.0,0,33.0,9
1,36.0,40.0,35.0,55.0,0,35.0,9
2,36.0,40.0,45.0,29.0,1,29.0,9
3,36.0,40.0,33.0,50.0,1,50.0,9
4,36.0,40.0,30.0,41.0,1,41.0,9
5,36.0,40.0,42.0,46.0,0,42.0,9
6,36.0,40.0,39.0,37.0,0,39.0,9
7,36.0,40.0,29.0,45.0,1,45.0,9
8,36.0,40.0,30.0,47.0,1,47.0,9
9,36.0,40.0,38.0,38.0,0,38.0,9
0,64.0,60.0,73.0,48.0,1,48.0,10
1,64.0,60.0,68.0,63.0,0,68.0,10
2,64.0,60.0,58.0,48.0,0,58.0,10
3,64.0,60.0,58.0,69.0,1,69.0,10
4,64.0,60.0,64.0,62.0,1,62.0,10
5,64.0,60.0,69.0,56.0,1,56.0,10
6,64.0,60.0,79.0,56.0,0,79.0,10
7,64.0,60.0,68.0,57.0,1,57.0,10
8,64.0,60.0,69.0,63.0,1,63.0,10
9,64.0,60.0,54.0,67.0,1,67.0,10
0,60.0,40.0,53.0,42.0,1,42.0,11
1,60.0,40.0,57.0,31.0,1,31.0,11
2,60.0,40.0,61.0,32.0,0,61.0,11
3,60.0,40.0,58.0,29.0,1,29.0,11
4,60.0,40.0,58.0,51.0,0,58.0,11
0,48.0,40.0,52.0,50.0,1,50.0,12
1,48.0,40.0,33.0,29.0,1,29.0,12
2,48.0,40.0,51.0,44.0,0,51.0,12
3,48.0,40.0,27.0,36.0,1,36.0,12
4,48.0,40.0,50.0,39.0,0,50.0,12
