trial,mean0,mean1,reward0,reward1,choice,reward,run
0,28.0,40.0,41.0,38.0,1,38.0,0
1,28.0,40.0,34.0,38.0,1,38.0,0
2,28.0,40.0,16.0,49.0,1,49.0,0
3,28.0,40.0,15.0,43.0,0,15.0,0
4,28.0,40.0,30.0,42.0,0,30.0,0
0,70.0,40.0,97.0,39.0,1,39.0,1
1,70.0,40.0,58.0,29.0,0,58.0,1
2,70.0,40.0,79.0,52.0,0,79.0,1
3,70.0,40.0,69.0,40.0,0,69.0,1
4,70.0,40.0,64.0,44.0,1,44.0,1
5,70.0,40.0,64.0,30.0,0,64.0,1
6,70.0,40.0,74.0,51.0,1,51.0,1
7,70.0,40.0,66.0,50.0,1,50.0,1
8,70.0,40.0,73.0,34.0,1,34.0,1
9,70.0,40.0,80.0,37.0,1,37.0,1
0,60.0,40.0,63.0,41.0,1,41.0,2
1,60.0,40.0,47.0,24.0,1,24.0,2
2,60.0,40.0,54.0,52.0,0,54.0,2
3,60.0,40.0,65.0,42.0,0,65.0,2
4,60.0,40.0,68.0,33.0,1,33.0,2
5,60.0,40.0,71.0,51.0,1,51.0,2
6,60.0,40.0,62.0,49.0,0,62.0,2
7,60.0,40.0,65.0,44.0,1,44.0,2
8,60.0,40.0,54.0,43.0,0,54.0,2
9,60.0,40.0,55.0,41.0,1,41.0,2
0,64.0,60.0,76.0,64.0,1,64.0,3
1,64.0,60.0,66.0,61.0,0,66.0,3
2,64.0,60.0,70.0,46.0,0,70.0,3
3,64.0,60.0,56.0,57.0,1,57.0,3
4,64.0,60.0,77.0,74.0,1,74.0,3
5,64.0,60.0,84.0,51.0,1,51.0,3
6,64.0,60.0,67.0,59.0,0,67.0,3
7,64.0,60.0,55.0,74.0,0,55.0,3
8,64.0,60.0,64.0,58.0,0,64.0,3
9,64.0,60.0,70.0,56.0,1,56.0,3
0,40.0,70.0,45.0,82.0,0,45.0,4
1,40.0,70.0,38.0,68.0,0,38.0,4
2,40.0,70.0,38.0,73.0,1,73.0,4
3,40.0,70.0,54.0,72.0,1,72.0,4
4,40.0,70.0,38.0,85.0,0,38.0,4
5,40.0,70.0,28.0,69.0,0,28.0,4
6,40.0,70.0,39.0,70.0,0,39.0,4
7,40.0,70.0,50.0,85.0,0,50.0,4
8,40.0,70.0,42.0,60.0,1,60.0,4
9,40.0,70.0,34.0,68.0,0,34.0,4
