trial,mean0,mean1,reward0,reward1,choice,reward,run
0,40.0,44.0,52.0,46.0,1,46.0,0
1,40.0,44.0,34.0,47.0,0,34.0,0
2,40.0,44.0,37.0,57.0,1,57.0,0
3,40.0,44.0,44.0,44.0,1,44.0,0
4,40.0,44.0,46.0,36.0,0,46.0,0
5,40.0,44.0,41.0,58.0,0,41.0,0
6,40.0,44.0,33.0,57.0,0,33.0,0
7,40.0,44.0,40.0,33.0,1,33.0,0
8,40.0,44.0,33.0,40.0,0,33.0,0
9,40.0,44.0,42.0,30.0,1,30.0,0
0,40.0,28.0,49.0,33.0,1,33.0,1
1,40.0,28.0,37.0,38.0,1,38.0,1
2,40.0,28.0,30.0,40.0,0,30.0,1
3,40.0,28.0,34.0,38.0,0,34.0,1
4,40.0,28.0,43.0,18.0,1,18.0,1
0,36.0,40.0,42.0,34.0,0,42.0,2
1,36.0,40.0,32.0,50.0,1,50.0,2
2,36.0,40.0,32.0,35.0,1,35.0,2
3,36.0,40.0,35.0,39.0,0,35.0,2
4,36.0,40.0,28.0,49.0,0,28.0,2
0,40.0,60.0,42.0,67.0,0,42.0,3
1,40.0,60.0,47.0,57.0,0,47.0,3
2,40.0,60.0,35.0,65.0,1,65.0,3
3,40.0,60.0,37.0,57.0,1,57.0,3
4,40.0,60.0,35.0,58.0,1,58.0,3
5,40.0,60.0,43.0,65.0,1,65.0,3
6,40.0,60.0,35.0,74.0,1,74.0,3
7,40.0,60.0,50.0,64.0,1,64.0,3
8,40.0,60.0,46.0,67.0,1,67.0,3
9,40.0,60.0,31.0,60.0,0,31.0,3
0,60.0,64.0,67.0,67.0,0,67.0,4
1,60.0,64.0,68.0,68.0,0,68.0,4
2,60.0,64.0,48.0,57.0,0,48.0,4
3,60.0,64.0,54.0,60.0,1,60.0,4
4,60.0,64.0,58.0,64.0,0,58.0,4
5,60.0,64.0,59.0,62.0,1,62.0,4
6,60.0,64.0,59.0,77.0,1,77.0,4
7,60.0,64.0,72.0,50.0,0,72.0,4
8,60.0,64.0,47.0,72.0,1,72.0,4
9,60.0,64.0,71.0,61.0,1,61.0,4
0,40.0,20.0,33.0,16.0,1,16.0,5
1,40.0,20.0,48.0,36.0,1,36.0,5
2,40.0,20.0,35.0,15.0,0,35.0,5
3,40.0,20.0,35.0,30.0,0,35.0,5
4,40.0,20.0,34.0,17.0,0,34.0,5
0,40.0,36.0,49.0,47.0,1,47.0,6
1,40.0,36.0,39.0,32.0,0,39.0,6
2,40.0,36.0,41.0,30.0,1,30.0,6
3,40.0,36.0,44.0,33.0,0,44.0,6
4,40.0,36.0,44.0,37.0,1,37.0,6
0,40.0,44.0,28.0,65.0,1,65.0,7
1,40.0,44.0,35.0,49.0,0,35.0,7
2,40.0,44.0,46.0,41.0,0,46.0,7
3,40.0,44.0,31.0,43.0,0,31.0,7
4,40.0,44.0,45.0,39.0,1,39.0,7
0,40.0,60.0,51.0,50.0,1,50.0,8
1,40.0,60.0,25.0,51.0,1,51.0,8
2,40.0,60.0,63.0,70.0,0,63.0,8
3,40.0,60.0,45.0,60.0,1,60.0,8
4,40.0,60.0,31.0,77.0,1,77.0,8
0,40.0,10.0,37.0,-1.0,0,37.0,9
1,40.0,10.0,40.0,11.0,1,11.0,9
2,40.0,10.0,24.0,17.0,0,24.0,9
3,40.0,10.0,40.0,13.0,0,40.0,9
4,40.0,10.0,55.0,11.0,1,11.0,9
