trial,mean0,mean1,reward0,reward1,choice,reward,run
0,36.0,40.0,48.0,37.0,1,37.0,0
1,36.0,40.0,46.0,44.0,0,46.0,0
2,36.0,40.0,43.0,41.0,1,41.0,0
3,36.0,40.0,28.0,30.0,0,28.0,0
4,36.0,40.0,33.0,39.0,0,33.0,0
0,48.0,60.0,57.0,71.0,0,57.0,1
1,48.0,60.0,44.0,52.0,1,52.0,1
2,48.0,60.0,47.0,54.0,1,54.0,1
3,48.0,60.0,32.0,76.0,1,76.0,1
4,48.0,60.0,33.0,56.0,0,33.0,1
5,48.0,60.0,44.0,63.0,1,63.0,1
6,48.0,60.0,55.0,68.0,1,68.0,1
7,48.0,60.0,38.0,69.0,1,69.0,1
8,48.0,60.0,62.0,56.0,1,56.0,1
9,48.0,60.0,44.0,62.0,1,62.0,1
0,90.0,60.0,88.0,65.0,1,65.0,2
1,90.0,60.0,96.0,46.0,0,96.0,2
2,90.0,60.0,89.0,58.0,0,89.0,2
3,90.0,60.0,92.0,72.0,0,92.0,2
4,90.0,60.0,99.0,62.0,0,99.0,2
0,40.0,44.0,50.0,53.0,0,50.0,3
1,40.0,44.0,45.0,50.0,0,45.0,3
2,40.0,44.0,26.0,56.0,0,26.0,3
3,40.0,44.0,37.0,34.0,1,34.0,3
4,40.0,44.0,32.0,55.0,0,32.0,3
5,40.0,44.0,46.0,49.0,1,49.0,3
6,40.0,44.0,51.0,45.0,1,45.0,3
7,40.0,44.0,37.0,29.0,0,37.0,3
8,40.0,44.0,48.0,62.0,0,48.0,3
9,40.0,44.0,32.0,31.0,1,31.0,3
0,40.0,28.0,46.0,19.0,0,46.0,4
1,40.0,28.0,41.0,26.0,1,26.0,4
2,40.0,28.0,36.0,26.0,0,36.0,4
3,40.0,28.0,43.0,28.0,0,43.0,4
4,40.0,28.0,54.0,21.0,0,54.0,4
0,60.0,48.0,72.0,55.0,1,55.0,5
1,60.0,48.0,68.0,40.0,1,40.0,5
2,60.0,48.0,59.0,69.0,1,69.0,5
3,60.0,48.0,63.0,53.0,0,63.0,5
4,60.0,48.0,57.0,42.0,0,57.0,5
5,60.0,48.0,69.0,47.0,1,47.0,5
6,60.0,48.0,41.0,47.0,0,41.0,5
7,60.0,48.0,69.0,50.0,1,50.0,5
8,60.0,48.0,66.0,38.0,1,38.0,5
9,60.0,48.0,69.0,56.0,1,56.0,5
0,72.0,60.0,64.0,73.0,0,64.0,6
1,72.0,60.0,61.0,53.0,0,61.0,6
2,72.0,60.0,77.0,61.0,1,61.0,6
3,72.0,60.0,60.0,48.0,1,48.0,6
4,72.0,60.0,66.0,72.0,0,66.0,6
5,72.0,60.0,71.0,64.0,1,64.0,6
