trial,mean0,mean1,reward0,reward1,choice,reward,run
0,60.0,90.0,56.0,104.0,0,56.0,0
1,60.0,90.0,64.0,99.0,1,99.0,0
2,60.0,90.0,72.0,89.0,1,89.0,0
3,60.0,90.0,62.0,86.0,1,86.0,0
4,60.0,90.0,53.0,92.0,0,53.0,0
0,60.0,52.0,52.0,60.0,0,52.0,1
1,60.0,52.0,72.0,57.0,1,57.0,1
2,60.0,52.0,48.0,31.0,0,48.0,1
3,60.0,52.0,60.0,36.0,0,60.0,1
4,60.0,52.0,53.0,51.0,1,51.0,1
0,90.0,60.0,102.0,64.0,1,64.0,2
1,90.0,60.0,81.0,71.0,1,71.0,2
2,90.0,60.0,82.0,67.0,0,82.0,2
3,90.0,60.0,108.0,54.0,0,108.0,2
4,90.0,60.0,81.0,51.0,0,81.0,2
0,40.0,28.0,43.0,36.0,1,36.0,3
1,40.0,28.0,37.0,24.0,0,37.0,3
2,40.0,28.0,47.0,19.0,0,47.0,3
3,40.0,28.0,39.0,18.0,0,39.0,3
4,40.0,28.0,33.0,35.0,0,33.0,3
0,10.0,40.0,6.0,42.0,0,6.0,4
1,10.0,40.0,12.0,39.0,1,39.0,4
2,10.0,40.0,-1.0,33.0,0,-1.0,4
3,10.0,40.0,10.0,43.0,0,10.0,4
4,10.0,40.0,3.0,43.0,0,3.0,4
5,10.0,40.0,8.0,42.0,1,42.0,4
6,10.0,40.0,0.0,36.0,1,36.0,4
7,10.0,40.0,4.0,56.0,1,56.0,4
8,10.0,40.0,13.0,50.0,0,13.0,4
9,10.0,40.0,19.0,23.0,0,19.0,4
0,60.0,56.0,62.0,50.0,1,50.0,5
1,60.0,56.0,70.0,55.0,1,55.0,5
2,60.0,56.0,63.0,61.0,0,63.0,5
3,60.0,56.0,58.0,63.0,0,58.0,5
4,60.0,56.0,53.0,57.0,0,53.0,5
0,48.0,60.0,47.0,60.0,0,47.0,6
1,48.0,60.0,59.0,72.0,0,59.0,6
2,48.0,60.0,48.0,56.0,1,56.0,6
3,48.0,60.0,48.0,52.0,1,52.0,6
4,48.0,60.0,52.0,72.0,0,52.0,6
0,40.0,20.0,37.0,35.0,0,37.0,7
1,40.0,20.0,31.0,19.0,0,31.0,7
2,40.0,20.0,39.0,4.0,1,4.0,7
3,40.0,20.0,31.0,14.0,0,31.0,7
4,40.0,20.0,42.0,8.0,1,8.0,7
0,60.0,52.0,47.0,53.0,0,47.0,8
1,60.0,52.0,68.0,58.0,1,58.0,8
2,60.0,52.0,62.0,48.0,0,62.0,8
3,60.0,52.0,58.0,55.0,0,58.0,8
4,60.0,52.0,65.0,53.0,0,65.0,8
0,60.0,56.0,62.0,58.0,0,62.0,9
1,60.0,56.0,64.0,48.0,0,64.0,9
2,60.0,56.0,59.0,54.0,1,54.0,9
3,60.0,56.0,62.0,72.0,0,62.0,9
4,60.0,56.0,48.0,51.0,1,51.0,9
5,60.0,56.0,55.0,53.0,1,53.0,9
6,60.0,56.0,58.0,70.0,1,70.0,9
7,60.0,56.0,47.0,51.0,1,51.0,9
8,60.0,56.0,63.0,47.0,0,63.0,9
9,60.0,56.0,63.0,54.0,0,63.0,9
0,60.0,52.0,68.0,47.0,0,68.0,10
1,60.0,52.0,62.0,46.0,1,46.0,10
2,60.0,52.0,52.0,66.0,1,66.0,10
3,60.0,52.0,55.0,53.0,0,55.0,10
4,60.0,52.0,55.0,61.0,0,55.0,10
5,60.0,52.0,61.0,48.0,0,61.0,10
6,60.0,52.0,60.0,59.0,1,59.0,10
7,60.0,52.0,63.0,46.0,1,46.0,10
8,60.0,52.0,55.0,56.0,1,56.0,10
9,60.0,52.0,50.0,60.0,1,60.0,10
0,90.0,60.0,81.0,61.0,0,81.0,11
1,90.0,60.0,99.0,58.0,0,99.0,11
2,90.0,60.0,86.0,46.0,1,46.0,11
3,90.0,60.0,80.0,60.0,0,80.0,11
4,90.0,60.0,91.0,52.0,1,52.0,11
5,90.0,60.0,79.0,51.0,1,51.0,11
6,90.0,60.0,98.0,64.0,0,98.0,11
7,90.0,60.0,86.0,58.0,1,58.0,11
8,90.0,60.0,96.0,47.0,0,96.0,11
9,90.0,60.0,87.0,56.0,1,56.0,11
0,60.0,80.0,65.0,91.0,1,91.0,12
1,60.0,80.0,51.0,79.0,1,79.0,12
2,60.0,80.0,44.0,76.0,0,44.0,12
3,60.0,80.0,60.0,71.0,0,60.0,12
4,60.0,80.0,56.0,79.0,1,79.0,12
0,60.0,68.0,53.0,64.0,1,64.0,13
1,60.0,68.0,44.0,54.0,0,44.0,13
2,60.0,68.0,56.0,73.0,0,56.0,13
3,60.0,68.0,63.0,69.0,1,69.0,13
4,60.0,68.0,54.0,66.0,0,54.0,13
5,60.0,68.0,44.0,70.0,0,44.0,13
6,60.0,68.0,54.0,65.0,0,54.0,13
7,60.0,68.0,65.0,64.0,1,64.0,13
8,60.0,68.0,63.0,71.0,0,63.0,13
9,60.0,68.0,52.0,76.0,0,52.0,13
0,60.0,56.0,64.0,63.0,0,64.0,14
1,60.0,56.0,71.0,51.0,1,51.0,14
2,60.0,56.0,59.0,63.0,1,63.0,14
3,60.0,56.0,64.0,48.0,0,64.0,14
4,60.0,56.0,65.0,53.0,0,65.0,14
0,10.0,40.0,7.0,40.0,1,40.0,15
1,10.0,40.0,9.0,25.0,0,9.0,15
2,10.0,40.0,28.0,30.0,0,28.0,15
3,10.0,40.0,3.0,40.0,0,3.0,15
4,10.0,40.0,10.0,35.0,0,10.0,15
5,10.0,40.0,18.0,31.0,0,18.0,15
6,10.0,40.0,24.0,46.0,1,46.0,15
7,10.0,40.0,-1.0,47.0,1,47.0,15
8,10.0,40.0,32.0,38.0,0,32.0,15
9,10.0,40.0,23.0,26.0,1,26.0,15
0,60.0,30.0,70.0,25.0,1,25.0,16
1,60.0,30.0,60.0,28.0,0,60.0,16
2,60.0,30.0,57.0,22.0,1,22.0,16
3,60.0,30.0,64.0,28.0,0,64.0,16
4,60.0,30.0,61.0,8.0,0,61.0,16
0,60.0,30.0,58.0,27.0,0,58.0,17
1,60.0,30.0,54.0,27.0,1,27.0,17
2,60.0,30.0,71.0,41.0,1,41.0,17
3,60.0,30.0,65.0,33.0,0,65.0,17
4,60.0,30.0,62.0,26.0,1,26.0,17
0,68.0,60.0,65.0,62.0,0,65.0,18
1,68.0,60.0,64.0,47.0,1,47.0,18
2,68.0,60.0,64.0,68.0,0,64.0,18
3,68.0,60.0,72.0,59.0,0,72.0,18
4,68.0,60.0,55.0,53.0,0,55.0,18
5,68.0,60.0,56.0,54.0,1,54.0,18
6,68.0,60.0,63.0,52.0,0,63.0,18
7,68.0,60.0,58.0,62.0,1,62.0,18
8,68.0,60.0,71.0,48.0,0,71.0,18
9,68.0,60.0,56.0,55.0,1,55.0,18
0,60.0,56.0,66.0,63.0,1,63.0,19
1,60.0,56.0,46.0,65.0,1,65.0,19
2,60.0,56.0,42.0,62.0,1,62.0,19
3,60.0,56.0,71.0,64.0,0,71.0,19
4,60.0,56.0,66.0,49.0,1,49.0,19
5,60.0,56.0,56.0,64.0,0,56.0,19
6,60.0,56.0,54.0,50.0,0,54.0,19
7,60.0,56.0,41.0,75.0,0,41.0,19
8,60.0,56.0,61.0,66.0,1,66.0,19
9,60.0,56.0,59.0,55.0,0,59.0,19
0,60.0,52.0,70.0,60.0,0,70.0,20
1,60.0,52.0,55.0,66.0,1,66.0,20
2,60.0,52.0,61.0,58.0,1,58.0,20
3,60.0,52.0,61.0,49.0,1,49.0,20
4,60.0,52.0,67.0,62.0,0,67.0,20
0,60.0,90.0,50.0,102.0,0,50.0,21
1,60.0,90.0,66.0,86.0,0,66.0,21
2,60.0,90.0,64.0,91.0,1,91.0,21
3,60.0,90.0,67.0,96.0,1,96.0,21
4,60.0,90.0,60.0,96.0,0,60.0,21
5,60.0,90.0,53.0,90.0,0,53.0,21
6,60.0,90.0,65.0,101.0,0,65.0,21
7,60.0,90.0,48.0,88.0,0,48.0,21
8,60.0,90.0,67.0,96.0,1,96.0,21
9,60.0,90.0,71.0,96.0,1,96.0,21
0,40.0,20.0,46.0,9.0,0,46.0,22
1,40.0,20.0,48.0,5.0,1,5.0,22
2,40.0,20.0,23.0,22.0,1,22.0,22
3,40.0,20.0,39.0,13.0,0,39.0,22
4,40.0,20.0,39.0,18.0,0,39.0,22
0,40.0,36.0,50.0,41.0,0,50.0,23
1,40.0,36.0,43.0,24.0,0,43.0,23
2,40.0,36.0,22.0,37.0,0,22.0,23
3,40.0,36.0,35.0,45.0,1,45.0,23
4,40.0,36.0,39.0,45.0,1,45.0,23
0,40.0,60.0,40.0,62.0,0,40.0,24
1,40.0,60.0,28.0,75.0,1,75.0,24
2,40.0,60.0,47.0,68.0,0,47.0,24
3,40.0,60.0,42.0,62.0,0,42.0,24
4,40.0,60.0,33.0,79.0,0,33.0,24
0,20.0,40.0,12.0,34.0,0,12.0,25
1,20.0,40.0,32.0,44.0,1,44.0,25
2,20.0,40.0,6.0,42.0,0,6.0,25
3,20.0,40.0,24.0,35.0,0,24.0,25
4,20.0,40.0,28.0,35.0,0,28.0,25
5,20.0,40.0,26.0,47.0,1,47.0,25
6,20.0,40.0,25.0,30.0,0,25.0,25
7,20.0,40.0,11.0,27.0,0,11.0,25
8,20.0,40.0,11.0,50.0,1,50.0,25
9,20.0,40.0,19.0,44.0,0,19.0,25
0,28.0,40.0,21.0,38.0,1,38.0,26
1,28.0,40.0,34.0,49.0,0,34.0,26
2,28.0,40.0,20.0,42.0,0,20.0,26
3,28.0,40.0,34.0,38.0,1,38.0,26
4,28.0,40.0,42.0,34.0,0,42.0,26
0,60.0,68.0,60.0,70.0,0,60.0,27
1,60.0,68.0,76.0,75.0,1,75.0,27
2,60.0,68.0,64.0,76.0,1,76.0,27
3,60.0,68.0,67.0,53.0,0,67.0,27
4,60.0,68.0,62.0,75.0,0,62.0,27
0,40.0,52.0,31.0,63.0,1,63.0,28
1,40.0,52.0,45.0,58.0,0,45.0,28
2,40.0,52.0,46.0,47.0,0,46.0,28
3,40.0,52.0,42.0,53.0,1,53.0,28
4,40.0,52.0,40.0,48.0,0,40.0,28
0,28.0,40.0,42.0,33.0,1,33.0,29
1,28.0,40.0,26.0,48.0,1,48.0,29
2,28.0,40.0,37.0,39.0,0,37.0,29
3,28.0,40.0,32.0,45.0,0,32.0,29
4,28.0,40.0,24.0,32.0,1,32.0,29
5,28.0,40.0,16.0,30.0,0,16.0,29
6,28.0,40.0,30.0,47.0,0,30.0,29
7,28.0,40.0,23.0,37.0,1,37.0,29
8,28.0,40.0,29.0,40.0,1,40.0,29
9,28.0,40.0,25.0,44.0,0,25.0,29
0,30.0,60.0,33.0,57.0,0,33.0,30
1,30.0,60.0,35.0,77.0,0,35.0,30
2,30.0,60.0,31.0,46.0,1,46.0,30
3,30.0,60.0,32.0,62.0,1,62.0,30
4,30.0,60.0,46.0,67.0,0,46.0,30
0,90.0,60.0,99.0,54.0,1,54.0,31
1,90.0,60.0,96.0,62.0,1,62.0,31
2,90.0,60.0,100.0,66.0,0,100.0,31
3,90.0,60.0,81.0,56.0,1,56.0,31
4,90.0,60.0,104.0,48.0,0,104.0,31
