trial,mean0,mean1,reward0,reward1,choice,reward,run
0,70.0,40.0,92.0,37.0,1,37.0,0
1,70.0,40.0,80.0,41.0,1,41.0,0
2,70.0,40.0,70.0,36.0,0,70.0,0
3,70.0,40.0,79.0,34.0,0,79.0,0
4,70.0,40.0,67.0,45.0,0,67.0,0
0,52.0,60.0,61.0,79.0,1,79.0,1
1,52.0,60.0,64.0,64.0,0,64.0,1
2,52.0,60.0,61.0,50.0,1,50.0,1
3,52.0,60.0,47.0,63.0,0,47.0,1
4,52.0,60.0,56.0,56.0,0,56.0,1
5,52.0,60.0,48.0,55.0,1,55.0,1
6,52.0,60.0,56.0,49.0,0,56.0,1
7,52.0,60.0,42.0,68.0,1,68.0,1
8,52.0,60.0,69.0,53.0,1,53.0,1
9,52.0,60.0,46.0,68.0,1,68.0,1
0,40.0,60.0,27.0,61.0,0,27.0,2
1,40.0,60.0,44.0,53.0,0,44.0,2
2,40.0,60.0,51.0,70.0,1,70.0,2
3,40.0,60.0,40.0,55.0,1,55.0,2
4,40.0,60.0,40.0,57.0,1,57.0,2
0,68.0,60.0,66.0,71.0,1,71.0,3
1,68.0,60.0,66.0,58.0,1,58.0,3
2,68.0,60.0,70.0,64.0,0,70.0,3
3,68.0,60.0,72.0,65.0,1,65.0,3
4,68.0,60.0,79.0,65.0,0,79.0,3
5,68.0,60.0,64.0,71.0,1,71.0,3
6,68.0,60.0,64.0,77.0,0,64.0,3
7,68.0,60.0,69.0,61.0,0,69.0,3
8,68.0,60.0,73.0,66.0,1,66.0,3
9,68.0,60.0,67.0,61.0,0,67.0,3
0,70.0,40.0,67.0,33.0,0,67.0,4
1,70.0,40.0,68.0,35.0,0,68.0,4
2,70.0,40.0,70.0,34.0,1,34.0,4
3,70.0,40.0,57.0,37.0,1,37.0,4
4,70.0,40.0,82.0,42.0,1,42.0,4
0,40.0,36.0,50.0,44.0,1,44.0,5
1,40.0,36.0,38.0,50.0,0,38.0,5
2,40.0,36.0,30.0,26.0,1,26.0,5
3,40.0,36.0,40.0,29.0,0,40.0,5
4,40.0,36.0,33.0,37.0,1,37.0,5
5,40.0,36.0,48.0,46.0,0,48.0,5
6,40.0,36.0,39.0,39.0,0,39.0,5
7,40.0,36.0,33.0,46.0,0,33.0,5
8,40.0,36.0,35.0,28.0,1,28.0,5
9,40.0,36.0,43.0,45.0,1,45.0,5
0,60.0,56.0,75.0,45.0,1,45.0,6
1,60.0,56.0,61.0,49.0,1,49.0,6
2,60.0,56.0,62.0,57.0,1,57.0,6
3,60.0,56.0,60.0,49.0,0,60.0,6
4,60.0,56.0,62.0,59.0,0,62.0,6
0,60.0,90.0,53.0,87.0,1,87.0,7
1,60.0,90.0,56.0,91.0,1,91.0,7
2,60.0,90.0,56.0,90.0,1,90.0,7
3,60.0,90.0,60.0,92.0,0,60.0,7
4,60.0,90.0,65.0,93.0,0,65.0,7
5,60.0,90.0,68.0,76.0,0,68.0,7
6,60.0,90.0,65.0,88.0,0,65.0,7
7,60.0,90.0,50.0,99.0,0,50.0,7
8,60.0,90.0,68.0,78.0,0,68.0,7
9,60.0,90.0,64.0,95.0,0,64.0,7
0,48.0,40.0,36.0,39.0,0,36.0,8
1,48.0,40.0,41.0,35.0,1,35.0,8
2,48.0,40.0,62.0,45.0,1,45.0,8
3,48.0,40.0,40.0,50.0,1,50.0,8
4,48.0,40.0,42.0,35.0,0,42.0,8
0,60.0,52.0,65.0,45.0,0,65.0,9
1,60.0,52.0,51.0,56.0,1,56.0,9
2,60.0,52.0,64.0,51.0,0,64.0,9
3,60.0,52.0,67.0,38.0,1,38.0,9
4,60.0,52.0,51.0,54.0,0,51.0,9
5,60.0,52.0,58.0,55.0,1,55.0,9
6,60.0,52.0,65.0,38.0,1,38.0,9
7,60.0,52.0,68.0,56.0,0,68.0,9
8,60.0,52.0,50.0,53.0,0,50.0,9
9,60.0,52.0,65.0,46.0,0,65.0,9
0,40.0,70.0,40.0,75.0,1,75.0,10
1,40.0,70.0,49.0,69.0,0,49.0,10
2,40.0,70.0,48.0,73.0,0,48.0,10
3,40.0,70.0,33.0,78.0,1,78.0,10
4,40.0,70.0,38.0,77.0,0,38.0,10
0,80.0,60.0,85.0,58.0,1,58.0,11
1,80.0,60.0,91.0,74.0,0,91.0,11
2,80.0,60.0,89.0,50.0,1,50.0,11
3,80.0,60.0,82.0,53.0,0,82.0,11
4,80.0,60.0,74.0,58.0,0,74.0,11
0,60.0,40.0,71.0,49.0,1,49.0,12
1,60.0,40.0,67.0,26.0,0,67.0,12
2,60.0,40.0,68.0,44.0,1,44.0,12
3,60.0,40.0,69.0,27.0,1,27.0,12
4,60.0,40.0,52.0,40.0,0,52.0,12
0,60.0,30.0,51.0,27.0,0,51.0,13
1,60.0,30.0,73.0,27.0,1,27.0,13
2,60.0,30.0,63.0,33.0,0,63.0,13
3,60.0,30.0,59.0,28.0,1,28.0,13
4,60.0,30.0,74.0,21.0,0,74.0,13
0,40.0,70.0,34.0,69.0,0,34.0,14
1,40.0,70.0,47.0,74.0,1,74.0,14
2,40.0,70.0,27.0,60.0,0,27.0,14
3,40.0,70.0,49.0,87.0,1,87.0,14
4,40.0,70.0,28.0,71.0,1,71.0,14
5,40.0,70.0,41.0,77.0,0,41.0,14
6,40.0,70.0,33.0,82.0,0,33.0,14
7,40.0,70.0,31.0,68.0,0,31.0,14
8,40.0,70.0,50.0,70.0,0,50.0,14
9,40.0,70.0,42.0,75.0,0,42.0,14
0,60.0,40.0,61.0,34.0,0,61.0,15
1,60.0,40.0,47.0,52.0,1,52.0,15
