trial,mean0,mean1,reward0,reward1,choice,reward,run
0,32.0,40.0,27.0,43.0,1,43.0,0
1,32.0,40.0,30.0,25.0,0,30.0,0
2,32.0,40.0,32.0,39.0,0,32.0,0
3,32.0,40.0,35.0,31.0,1,31.0,0
4,32.0,40.0,38.0,49.0,1,49.0,0
0,64.0,60.0,66.0,43.0,0,66.0,1
1,64.0,60.0,66.0,50.0,1,50.0,1
2,64.0,60.0,66.0,58.0,1,58.0,1
3,64.0,60.0,69.0,57.0,1,57.0,1
4,64.0,60.0,48.0,48.0,1,48.0,1
5,64.0,60.0,56.0,51.0,0,56.0,1
6,64.0,60.0,84.0,69.0,0,84.0,1
7,64.0,60.0,58.0,57.0,0,58.0,1
8,64.0,60.0,70.0,64.0,0,70.0,1
9,64.0,60.0,62.0,53.0,1,53.0,1
0,40.0,20.0,47.0,33.0,1,33.0,2
1,40.0,20.0,43.0,29.0,1,29.0,2
2,40.0,20.0,40.0,14.0,0,40.0,2
3,40.0,20.0,38.0,12.0,0,38.0,2
4,40.0,20.0,43.0,29.0,0,43.0,2
5,40.0,20.0,50.0,16.0,0,50.0,2
6,40.0,20.0,34.0,29.0,0,34.0,2
7,40.0,20.0,25.0,19.0,1,19.0,2
8,40.0,20.0,49.0,31.0,1,31.0,2
9,40.0,20.0,46.0,22.0,1,22.0,2
0,60.0,30.0,62.0,36.0,0,62.0,3
1,60.0,30.0,49.0,33.0,1,33.0,3
2,60.0,30.0,61.0,34.0,1,34.0,3
3,60.0,30.0,57.0,35.0,1,35.0,3
4,60.0,30.0,61.0,36.0,0,61.0,3
5,60.0,30.0,62.0,32.0,0,62.0,3
6,60.0,30.0,58.0,19.0,0,58.0,3
7,60.0,30.0,44.0,25.0,1,25.0,3
8,60.0,30.0,64.0,24.0,0,64.0,3
9,60.0,30.0,72.0,23.0,0,72.0,3
0,20.0,40.0,25.0,44.0,1,44.0,4
1,20.0,40.0,22.0,51.0,0,22.0,4
2,20.0,40.0,28.0,40.0,1,40.0,4
3,20.0,40.0,22.0,52.0,0,22.0,4
4,20.0,40.0,22.0,43.0,0,22.0,4
0,60.0,56.0,59.0,67.0,0,59.0,5
1,60.0,56.0,69.0,67.0,1,67.0,5
2,60.0,56.0,62.0,39.0,1,39.0,5
3,60.0,56.0,61.0,47.0,1,47.0,5
4,60.0,56.0,69.0,39.0,0,69.0,5
5,60.0,56.0,60.0,66.0,1,66.0,5
6,60.0,56.0,42.0,50.0,0,42.0,5
7,60.0,56.0,68.0,58.0,0,68.0,5
8,60.0,56.0,56.0,44.0,0,56.0,5
9,60.0,56.0,68.0,61.0,0,68.0,5
0,60.0,56.0,53.0,52.0,1,52.0,6
1,60.0,56.0,70.0,55.0,1,55.0,6
2,60.0,56.0,56.0,73.0,0,56.0,6
3,60.0,56.0,70.0,53.0,0,70.0,6
4,60.0,56.0,60.0,58.0,0,60.0,6
5,60.0,56.0,48.0,54.0,0,48.0,6
6,60.0,56.0,58.0,53.0,0,58.0,6
7,60.0,56.0,55.0,52.0,1,52.0,6
8,60.0,56.0,57.0,49.0,0,57.0,6
9,60.0,56.0,50.0,41.0,0,50.0,6
0,52.0,40.0,58.0,34.0,0,58.0,7
1,52.0,40.0,62.0,48.0,1,48.0,7
2,52.0,40.0,43.0,27.0,1,27.0,7
3,52.0,40.0,48.0,45.0,0,48.0,7
4,52.0,40.0,56.0,30.0,1,30.0,7
0,48.0,40.0,51.0,38.0,0,51.0,8
1,48.0,40.0,44.0,29.0,1,29.0,8
2,48.0,40.0,45.0,31.0,0,45.0,8
3,48.0,40.0,51.0,37.0,0,51.0,8
4,48.0,40.0,59.0,44.0,0,59.0,8
5,48.0,40.0,35.0,48.0,1,48.0,8
6,48.0,40.0,52.0,35.0,0,52.0,8
7,48.0,40.0,44.0,45.0,1,45.0,8
8,48.0,40.0,41.0,27.0,0,41.0,8
9,48.0,40.0,46.0,48.0,0,46.0,8
0,52.0,60.0,51.0,59.0,1,59.0,9
1,52.0,60.0,63.0,61.0,0,63.0,9
2,52.0,60.0,39.0,59.0,0,39.0,9
3,52.0,60.0,56.0,62.0,1,62.0,9
4,52.0,60.0,50.0,58.0,0,50.0,9
0,56.0,60.0,44.0,62.0,0,44.0,10
1,56.0,60.0,63.0,66.0,1,66.0,10
2,56.0,60.0,56.0,68.0,0,56.0,10
3,56.0,60.0,67.0,57.0,1,57.0,10
4,56.0,60.0,41.0,41.0,1,41.0,10
0,60.0,40.0,60.0,39.0,1,39.0,11
1,60.0,40.0,62.0,42.0,1,42.0,11
2,60.0,40.0,59.0,49.0,0,59.0,11
3,60.0,40.0,62.0,35.0,0,62.0,11
4,60.0,40.0,65.0,51.0,0,65.0,11
