trial,mean0,mean1,reward0,reward1,choice,reward,run
0,72.0,60.0,56.0,59.0,1,59.0,0
1,72.0,60.0,82.0,48.0,0,82.0,0
2,72.0,60.0,81.0,77.0,0,81.0,0
3,72.0,60.0,64.0,63.0,1,63.0,0
4,72.0,60.0,62.0,64.0,0,62.0,0
5,72.0,60.0,67.0,56.0,0,67.0,0
6,72.0,60.0,81.0,77.0,1,77.0,0
7,72.0,60.0,70.0,86.0,1,86.0,0
8,72.0,60.0,59.0,65.0,1,65.0,0
9,72.0,60.0,69.0,55.0,0,69.0,0
0,80.0,60.0,73.0,43.0,1,43.0,1
1,80.0,60.0,65.0,62.0,0,65.0,1
2,80.0,60.0,91.0,63.0,1,63.0,1
3,80.0,60.0,85.0,53.0,0,85.0,1
4,80.0,60.0,79.0,62.0,0,79.0,1
5,80.0,60.0,83.0,57.0,0,83.0,1
6,80.0,60.0,80.0,64.0,1,64.0,1
7,80.0,60.0,80.0,57.0,1,57.0,1
8,80.0,60.0,88.0,57.0,1,57.0,1
9,80.0,60.0,73.0,55.0,0,73.0,1
0,44.0,40.0,37.0,52.0,1,52.0,2
1,44.0,40.0,61.0,41.0,0,61.0,2
2,44.0,40.0,32.0,45.0,1,45.0,2
3,44.0,40.0,42.0,35.0,1,35.0,2
4,44.0,40.0,44.0,33.0,0,44.0,2
0,52.0,40.0,54.0,50.0,1,50.0,3
1,52.0,40.0,64.0,39.0,1,39.0,3
2,52.0,40.0,66.0,42.0,0,66.0,3
3,52.0,40.0,54.0,47.0,0,54.0,3
4,52.0,40.0,52.0,37.0,0,52.0,3
0,40.0,10.0,40.0,1.0,0,40.0,4
1,40.0,10.0,31.0,16.0,1,16.0,4
2,40.0,10.0,35.0,9.0,1,9.0,4
3,40.0,10.0,36.0,4.0,0,36.0,4
4,40.0,10.0,23.0,15.0,0,23.0,4
0,20.0,40.0,19.0,62.0,1,62.0,5
1,20.0,40.0,38.0,41.0,0,38.0,5
2,20.0,40.0,27.0,52.0,0,27.0,5
3,20.0,40.0,6.0,43.0,1,43.0,5
4,20.0,40.0,18.0,45.0,1,45.0,5
0,56.0,60.0,50.0,70.0,0,50.0,6
1,56.0,60.0,54.0,59.0,1,59.0,6
2,56.0,60.0,49.0,67.0,1,67.0,6
3,56.0,60.0,54.0,61.0,1,61.0,6
4,56.0,60.0,50.0,67.0,0,50.0,6
0,60.0,68.0,44.0,70.0,1,70.0,7
1,60.0,68.0,76.0,60.0,1,60.0,7
2,60.0,68.0,35.0,69.0,0,35.0,7
3,60.0,68.0,63.0,79.0,1,79.0,7
4,60.0,68.0,48.0,63.0,1,63.0,7
5,60.0,68.0,59.0,82.0,0,59.0,7
6,60.0,68.0,63.0,79.0,1,79.0,7
7,60.0,68.0,70.0,67.0,1,67.0,7
8,60.0,68.0,54.0,65.0,1,65.0,7
9,60.0,68.0,44.0,77.0,0,44.0,7
0,60.0,64.0,62.0,68.0,1,68.0,8
1,60.0,64.0,57.0,68.0,1,68.0,8
2,60.0,64.0,62.0,75.0,0,62.0,8
3,60.0,64.0,61.0,76.0,0,61.0,8
4,60.0,64.0,60.0,67.0,0,60.0,8
0,60.0,80.0,66.0,83.0,1,83.0,9
1,60.0,80.0,55.0,86.0,0,55.0,9
2,60.0,80.0,53.0,68.0,0,53.0,9
3,60.0,80.0,53.0,97.0,0,53.0,9
4,60.0,80.0,64.0,76.0,0,64.0,9
5,60.0,80.0,57.0,87.0,1,87.0,9
6,60.0,80.0,61.0,105.0,0,61.0,9
7,60.0,80.0,57.0,99.0,1,99.0,9
8,60.0,80.0,58.0,78.0,1,78.0,9
