trial,mean0,mean1,reward0,reward1,choice,reward,run
0,40.0,32.0,37.0,37.0,0,37.0,0
1,40.0,32.0,44.0,29.0,0,44.0,0
2,40.0,32.0,38.0,20.0,0,38.0,0
3,40.0,32.0,50.0,20.0,1,20.0,0
4,40.0,32.0,30.0,19.0,1,19.0,0
5,40.0,32.0,35.0,34.0,0,35.0,0
6,40.0,32.0,51.0,29.0,0,51.0,0
7,40.0,32.0,58.0,20.0,1,20.0,0
8,40.0,32.0,52.0,20.0,1,20.0,0
9,40.0,32.0,37.0,40.0,0,37.0,0
0,64.0,60.0,79.0,63.0,1,63.0,1
1,64.0,60.0,48.0,68.0,1,68.0,1
2,64.0,60.0,70.0,59.0,1,59.0,1
3,64.0,60.0,69.0,63.0,0,69.0,1
4,64.0,60.0,66.0,60.0,1,60.0,1
0,80.0,60.0,79.0,59.0,1,59.0,2
1,80.0,60.0,87.0,42.0,0,87.0,2
2,80.0,60.0,81.0,50.0,0,81.0,2
3,80.0,60.0,79.0,65.0,0,79.0,2
4,80.0,60.0,63.0,66.0,0,63.0,2
5,80.0,60.0,96.0,76.0,1,76.0,2
6,80.0,60.0,83.0,64.0,0,83.0,2
7,80.0,60.0,78.0,50.0,1,50.0,2
8,80.0,60.0,94.0,61.0,0,94.0,2
9,80.0,60.0,84.0,56.0,1,56.0,2
0,60.0,48.0,66.0,51.0,1,51.0,3
1,60.0,48.0,58.0,36.0,0,58.0,3
2,60.0,48.0,57.0,45.0,1,45.0,3
3,60.0,48.0,63.0,50.0,0,63.0,3
4,60.0,48.0,54.0,57.0,1,57.0,3
5,60.0,48.0,56.0,58.0,0,56.0,3
6,60.0,48.0,49.0,57.0,1,57.0,3
7,60.0,48.0,59.0,47.0,1,47.0,3
8,60.0,48.0,63.0,44.0,0,63.0,3
9,60.0,48.0,62.0,47.0,0,62.0,3
0,40.0,36.0,27.0,42.0,0,27.0,4
1,40.0,36.0,53.0,51.0,1,51.0,4
2,40.0,36.0,39.0,23.0,1,23.0,4
3,40.0,36.0,31.0,39.0,0,31.0,4
4,40.0,36.0,31.0,43.0,0,31.0,4
5,40.0,36.0,45.0,29.0,0,45.0,4
6,40.0,36.0,48.0,31.0,1,31.0,4
7,40.0,36.0,45.0,30.0,0,45.0,4
8,40.0,36.0,61.0,43.0,1,43.0,4
9,40.0,36.0,31.0,34.0,1,34.0,4
0,40.0,32.0,34.0,31.0,1,31.0,5
1,40.0,32.0,37.0,18.0,0,37.0,5
2,40.0,32.0,44.0,24.0,0,44.0,5
3,40.0,32.0,43.0,28.0,1,28.0,5
4,40.0,32.0,37.0,56.0,0,37.0,5
0,52.0,40.0,55.0,34.0,1,34.0,6
1,52.0,40.0,51.0,28.0,0,51.0,6
2,52.0,40.0,62.0,39.0,0,62.0,6
3,52.0,40.0,47.0,44.0,1,44.0,6
4,52.0,40.0,48.0,37.0,1,37.0,6
0,60.0,48.0,63.0,44.0,1,44.0,7
1,60.0,48.0,61.0,47.0,0,61.0,7
2,60.0,48.0,66.0,56.0,0,66.0,7
3,60.0,48.0,57.0,48.0,1,48.0,7
4,60.0,48.0,63.0,34.0,0,63.0,7
5,60.0,48.0,48.0,43.0,0,48.0,7
6,60.0,48.0,77.0,45.0,1,45.0,7
7,60.0,48.0,53.0,47.0,1,47.0,7
8,60.0,48.0,61.0,46.0,1,46.0,7
9,60.0,48.0,56.0,45.0,1,45.0,7
0,28.0,40.0,27.0,33.0,1,33.0,8
1,28.0,40.0,38.0,47.0,0,38.0,8
2,28.0,40.0,33.0,38.0,1,38.0,8
3,28.0,40.0,30.0,53.0,1,53.0,8
4,28.0,40.0,30.0,35.0,1,35.0,8
0,52.0,40.0,50.0,50.0,1,50.0,9
1,52.0,40.0,46.0,51.0,1,51.0,9
2,52.0,40.0,56.0,29.0,0,56.0,9
3,52.0,40.0,59.0,41.0,0,59.0,9
4,52.0,40.0,47.0,47.0,0,47.0,9
0,60.0,68.0,69.0,69.0,0,69.0,10
1,60.0,68.0,67.0,74.0,1,74.0,10
2,60.0,68.0,57.0,63.0,0,57.0,10
3,60.0,68.0,60.0,63.0,1,63.0,10
4,60.0,68.0,68.0,61.0,1,61.0,10
5,60.0,68.0,57.0,72.0,0,57.0,10
6,60.0,68.0,54.0,79.0,0,54.0,10
7,60.0,68.0,71.0,81.0,0,71.0,10
8,60.0,68.0,63.0,60.0,0,63.0,10
9,60.0,68.0,44.0,79.0,1,79.0,10
0,60.0,72.0,50.0,71.0,1,71.0,11
1,60.0,72.0,64.0,76.0,1,76.0,11
2,60.0,72.0,61.0,75.0,1,75.0,11
3,60.0,72.0,49.0,77.0,0,49.0,11
4,60.0,72.0,68.0,54.0,0,68.0,11
0,72.0,60.0,73.0,62.0,0,73.0,12
1,72.0,60.0,62.0,60.0,0,62.0,12
2,72.0,60.0,67.0,62.0,0,67.0,12
3,72.0,60.0,60.0,53.0,1,53.0,12
4,72.0,60.0,86.0,65.0,1,65.0,12
0,20.0,40.0,8.0,39.0,1,39.0,13
1,20.0,40.0,25.0,55.0,0,25.0,13
2,20.0,40.0,20.0,42.0,1,42.0,13
3,20.0,40.0,8.0,26.0,1,26.0,13
4,20.0,40.0,21.0,39.0,1,39.0,13
0,60.0,40.0,57.0,41.0,1,41.0,14
1,60.0,40.0,61.0,42.0,0,61.0,14
2,60.0,40.0,80.0,37.0,0,80.0,14
3,60.0,40.0,70.0,29.0,0,70.0,14
4,60.0,40.0,52.0,35.0,1,35.0,14
5,60.0,40.0,63.0,47.0,0,63.0,14
6,60.0,40.0,71.0,38.0,0,71.0,14
7,60.0,40.0,57.0,36.0,1,36.0,14
8,60.0,40.0,66.0,34.0,0,66.0,14
9,60.0,40.0,51.0,28.0,1,28.0,14
0,56.0,60.0,42.0,74.0,0,42.0,15
1,56.0,60.0,67.0,56.0,0,67.0,15
2,56.0,60.0,61.0,56.0,0,61.0,15
3,56.0,60.0,52.0,64.0,1,64.0,15
4,56.0,60.0,55.0,52.0,1,52.0,15
5,56.0,60.0,46.0,58.0,1,58.0,15
6,56.0,60.0,62.0,57.0,0,62.0,15
7,56.0,60.0,41.0,74.0,0,41.0,15
8,56.0,60.0,59.0,64.0,1,64.0,15
9,56.0,60.0,62.0,55.0,0,62.0,15
0,40.0,36.0,47.0,42.0,0,47.0,16
1,40.0,36.0,29.0,52.0,0,29.0,16
2,40.0,36.0,38.0,26.0,0,38.0,16
3,40.0,36.0,34.0,40.0,1,40.0,16
4,40.0,36.0,32.0,47.0,1,47.0,16
5,40.0,36.0,43.0,43.0,1,43.0,16
6,40.0,36.0,34.0,32.0,1,32.0,16
7,40.0,36.0,47.0,30.0,1,30.0,16
8,40.0,36.0,35.0,32.0,0,35.0,16
9,40.0,36.0,33.0,42.0,0,33.0,16
0,10.0,40.0,9.0,34.0,0,9.0,17
1,10.0,40.0,9.0,30.0,1,30.0,17
2,10.0,40.0,20.0,40.0,0,20.0,17
3,10.0,40.0,17.0,42.0,1,42.0,17
4,10.0,40.0,6.0,29.0,0,6.0,17
0,60.0,52.0,42.0,56.0,0,42.0,18
1,60.0,52.0,61.0,63.0,1,63.0,18
2,60.0,52.0,68.0,56.0,1,56.0,18
3,60.0,52.0,67.0,34.0,0,67.0,18
4,60.0,52.0,80.0,52.0,1,52.0,18
0,68.0,60.0,69.0,65.0,0,69.0,19
1,68.0,60.0,63.0,51.0,1,51.0,19
2,68.0,60.0,64.0,46.0,0,64.0,19
3,68.0,60.0,61.0,71.0,0,61.0,19
4,68.0,60.0,67.0,63.0,0,67.0,19
0,40.0,20.0,46.0,25.0,0,46.0,20
1,40.0,20.0,30.0,24.0,1,24.0,20
2,40.0,20.0,40.0,17.0,1,17.0,20
3,40.0,20.0,41.0,28.0,1,28.0,20
4,40.0,20.0,40.0,25.0,0,40.0,20
5,40.0,20.0,21.0,20.0,0,21.0,20
6,40.0,20.0,44.0,11.0,0,44.0,20
7,40.0,20.0,43.0,22.0,0,43.0,20
8,40.0,20.0,40.0,10.0,1,10.0,20
9,40.0,20.0,33.0,18.0,1,18.0,20
0,60.0,56.0,52.0,68.0,1,68.0,21
1,60.0,56.0,56.0,44.0,1,44.0,21
2,60.0,56.0,57.0,66.0,0,57.0,21
3,60.0,56.0,70.0,59.0,1,59.0,21
4,60.0,56.0,46.0,49.0,0,46.0,21
0,40.0,32.0,46.0,35.0,0,46.0,22
1,40.0,32.0,49.0,35.0,1,35.0,22
2,40.0,32.0,54.0,40.0,1,40.0,22
3,40.0,32.0,53.0,31.0,0,53.0,22
4,40.0,32.0,42.0,25.0,0,42.0,22
5,40.0,32.0,42.0,14.0,1,14.0,22
6,40.0,32.0,44.0,34.0,0,44.0,22
7,40.0,32.0,42.0,32.0,0,42.0,22
8,40.0,32.0,44.0,14.0,0,44.0,22
9,40.0,32.0,41.0,46.0,1,46.0,22
0,48.0,60.0,53.0,55.0,0,53.0,23
1,48.0,60.0,53.0,62.0,1,62.0,23
2,48.0,60.0,34.0,43.0,0,34.0,23
