trial,task,mean0,mean1,reward0,reward1,choice,reward,run
0,3,0.75,0.25,0.0,0.0,0,0.0,0
0,2,0.75,0.25,0.0,0.0,0,0.0,0
1,2,0.25,0.75,0.0,0.0,1,0.0,0
1,3,0.25,0.75,0.0,0.0,1,0.0,0
2,3,0.75,0.25,1.0,1.0,1,1.0,0
2,3,0.75,0.25,1.0,1.0,1,1.0,0
3,3,0.75,0.25,1.0,0.0,0,1.0,0
3,2,0.75,0.25,1.0,0.0,0,1.0,0
4,2,0.25,0.75,0.0,0.0,0,0.0,0
4,4,0.25,0.75,0.0,0.0,0,0.0,0
5,4,0.75,0.75,1.0,1.0,1,1.0,0
5,1,0.75,0.75,1.0,1.0,1,1.0,0
6,1,0.25,0.25,0.0,1.0,1,1.0,0
6,3,0.25,0.25,0.0,1.0,1,1.0,0
7,3,0.75,0.25,1.0,1.0,1,1.0,0
7,4,0.75,0.25,1.0,1.0,1,1.0,0
8,4,0.75,0.75,1.0,1.0,1,1.0,0
8,4,0.75,0.75,1.0,1.0,1,1.0,0
9,4,0.75,0.75,1.0,1.0,1,1.0,0
9,3,0.75,0.75,1.0,1.0,1,1.0,0
10,3,0.75,0.25,1.0,1.0,1,1.0,0
10,2,0.75,0.25,1.0,1.0,1,1.0,0
11,2,0.25,0.75,0.0,0.0,0,0.0,0
11,4,0.25,0.75,0.0,0.0,0,0.0,0
12,4,0.75,0.75,1.0,1.0,0,1.0,0
12,2,0.75,0.75,1.0,1.0,0,1.0,0
13,2,0.25,0.75,0.0,1.0,1,1.0,0
13,3,0.25,0.75,0.0,1.0,1,1.0,0
14,3,0.75,0.25,1.0,0.0,1,0.0,0
14,1,0.75,0.25,1.0,0.0,1,0.0,0
15,1,0.25,0.25,1.0,0.0,1,0.0,0
15,1,0.25,0.25,1.0,0.0,1,0.0,0
16,1,0.25,0.25,0.0,0.0,1,0.0,0
16,4,0.25,0.25,0.0,0.0,1,0.0,0
17,4,0.75,0.75,1.0,0.0,0,1.0,0
17,4,0.75,0.75,1.0,0.0,0,1.0,0
18,4,0.75,0.75,1.0,1.0,1,1.0,0
18,4,0.75,0.75,1.0,1.0,1,1.0,0
19,4,0.75,0.75,1.0,0.0,1,0.0,0
19,4,0.75,0.75,1.0,0.0,1,0.0,0
20,4,0.75,0.75,0.0,0.0,1,0.0,0
20,1,0.75,0.75,0.0,0.0,1,0.0,0
21,1,0.25,0.25,0.0,0.0,0,0.0,0
21,2,0.25,0.25,0.0,0.0,0,0.0,0
22,2,0.25,0.75,0.0,1.0,0,0.0,0
22,1,0.25,0.75,0.0,1.0,0,0.0,0
23,1,0.25,0.25,1.0,0.0,1,0.0,0
23,3,0.25,0.25,1.0,0.0,1,0.0,0
24,3,0.75,0.25,0.0,1.0,0,0.0,0
24,3,0.75,0.25,0.0,1.0,0,0.0,0
25,3,0.75,0.25,1.0,0.0,1,0.0,0
25,4,0.75,0.25,1.0,0.0,1,0.0,0
26,4,0.75,0.75,0.0,1.0,1,1.0,0
26,1,0.75,0.75,0.0,1.0,1,1.0,0
27,1,0.25,0.25,0.0,1.0,0,0.0,0
27,1,0.25,0.25,0.0,1.0,0,0.0,0
28,1,0.25,0.25,0.0,0.0,0,0.0,0
28,4,0.25,0.25,0.0,0.0,0,0.0,0
29,4,0.75,0.75,1.0,1.0,1,1.0,0
29,4,0.75,0.75,1.0,1.0,1,1.0,0
30,4,0.75,0.75,1.0,1.0,0,1.0,0
30,1,0.75,0.75,1.0,1.0,0,1.0,0
31,1,0.25,0.25,0.0,1.0,1,1.0,0
31,1,0.25,0.25,0.0,1.0,1,1.0,0
32,1,0.25,0.25,0.0,1.0,0,0.0,0
32,2,0.25,0.25,0.0,1.0,0,0.0,0
33,2,0.25,0.75,0.0,1.0,0,0.0,0
33,2,0.25,0.75,0.0,1.0,0,0.0,0
34,2,0.25,0.75,0.0,1.0,0,0.0,0
34,3,0.25,0.75,0.0,1.0,0,0.0,0
35,3,0.75,0.25,1.0,0.0,0,1.0,0
35,2,0.75,0.25,1.0,0.0,0,1.0,0
36,2,0.25,0.75,1.0,0.0,1,0.0,0
36,3,0.25,0.75,1.0,0.0,1,0.0,0
37,3,0.75,0.25,1.0,0.0,0,1.0,0
37,3,0.75,0.25,1.0,0.0,0,1.0,0
38,3,0.75,0.25,1.0,1.0,0,1.0,0
38,4,0.75,0.25,1.0,1.0,0,1.0,0
39,4,0.75,0.75,1.0,1.0,1,1.0,0
39,4,0.75,0.75,1.0,1.0,1,1.0,0
40,4,0.75,0.75,1.0,1.0,0,1.0,0
40,1,0.75,0.75,1.0,1.0,0,1.0,0
41,1,0.25,0.25,1.0,0.0,1,0.0,0
41,2,0.25,0.25,1.0,0.0,1,0.0,0
42,2,0.25,0.75,0.0,1.0,0,0.0,0
42,4,0.25,0.75,0.0,1.0,0,0.0,0
43,4,0.75,0.75,0.0,1.0,0,0.0,0
43,4,0.75,0.75,0.0,1.0,0,0.0,0
44,4,0.75,0.75,0.0,0.0,1,0.0,0
44,3,0.75,0.75,0.0,0.0,1,0.0,0
45,3,0.75,0.25,0.0,1.0,1,1.0,0
45,3,0.75,0.25,0.0,1.0,1,1.0,0
46,3,0.75,0.25,0.0,1.0,1,1.0,0
46,3,0.75,0.25,0.0,1.0,1,1.0,0
47,3,0.75,0.25,1.0,0.0,0,1.0,0
47,1,0.75,0.25,1.0,0.0,0,1.0,0
48,1,0.25,0.25,1.0,0.0,1,0.0,0
48,3,0.25,0.25,1.0,0.0,1,0.0,0
49,3,0.75,0.25,1.0,1.0,1,1.0,0
49,2,0.75,0.25,1.0,1.0,1,1.0,0
50,2,0.25,0.75,0.0,0.0,1,0.0,0
50,1,0.25,0.75,0.0,0.0,1,0.0,0
51,1,0.25,0.25,0.0,1.0,0,0.0,0
51,1,0.25,0.25,0.0,1.0,0,0.0,0
52,1,0.25,0.25,1.0,1.0,1,1.0,0
52,1,0.25,0.25,1.0,1.0,1,1.0,0
53,1,0.25,0.25,1.0,0.0,1,0.0,0
53,1,0.25,0.25,1.0,0.0,1,0.0,0
54,1,0.25,0.25,1.0,1.0,0,1.0,0
54,2,0.25,0.25,1.0,1.0,0,1.0,0
55,2,0.25,0.75,0.0,1.0,1,1.0,0
55,4,0.25,0.75,0.0,1.0,1,1.0,0
56,4,0.75,0.75,0.0,1.0,0,0.0,0
56,2,0.75,0.75,0.0,1.0,0,0.0,0
57,2,0.25,0.75,0.0,1.0,1,1.0,0
57,1,0.25,0.75,0.0,1.0,1,1.0,0
58,1,0.25,0.25,1.0,1.0,0,1.0,0
58,2,0.25,0.25,1.0,1.0,0,1.0,0
59,2,0.25,0.75,0.0,1.0,0,0.0,0
59,1,0.25,0.75,0.0,1.0,0,0.0,0
60,1,0.25,0.25,0.0,0.0,1,0.0,0
60,1,0.25,0.25,0.0,0.0,1,0.0,0
61,1,0.25,0.25,1.0,0.0,0,1.0,0
61,4,0.25,0.25,1.0,0.0,0,1.0,0
62,4,0.75,0.75,0.0,1.0,0,0.0,0
62,2,0.75,0.75,0.0,1.0,0,0.0,0
63,2,0.25,0.75,0.0,1.0,0,0.0,0
63,1,0.25,0.75,0.0,1.0,0,0.0,0
64,1,0.25,0.25,0.0,0.0,1,0.0,0
64,2,0.25,0.25,0.0,0.0,1,0.0,0
65,2,0.25,0.75,1.0,0.0,0,1.0,0
65,3,0.25,0.75,1.0,0.0,0,1.0,0
66,3,0.75,0.25,1.0,0.0,0,1.0,0
66,3,0.75,0.25,1.0,0.0,0,1.0,0
67,3,0.75,0.25,0.0,0.0,0,0.0,0
67,1,0.75,0.25,0.0,0.0,0,0.0,0
68,1,0.25,0.25,0.0,1.0,1,1.0,0
68,3,0.25,0.25,0.0,1.0,1,1.0,0
69,3,0.75,0.25,1.0,0.0,0,1.0,0
69,1,0.75,0.25,1.0,0.0,0,1.0,0
70,1,0.25,0.25,0.0,0.0,0,0.0,0
70,2,0.25,0.25,0.0,0.0,0,0.0,0
71,2,0.25,0.75,1.0,0.0,1,0.0,0
71,2,0.25,0.75,1.0,0.0,1,0.0,0
72,2,0.25,0.75,0.0,1.0,1,1.0,0
72,4,0.25,0.75,0.0,1.0,1,1.0,0
73,4,0.75,0.75,1.0,1.0,0,1.0,0
73,4,0.75,0.75,1.0,1.0,0,1.0,0
74,4,0.75,0.75,1.0,1.0,0,1.0,0
74,2,0.75,0.75,1.0,1.0,0,1.0,0
75,2,0.25,0.75,0.0,1.0,0,0.0,0
75,3,0.25,0.75,0.0,1.0,0,0.0,0
76,3,0.75,0.25,1.0,0.0,1,0.0,0
