informative_lh,prior,lh,left_pred,red_observation,run
True,0.4,0.7,0.5,False,0
False,0.2,0.5,0.5,True,0
True,0.5,0.2,0.5,False,1
False,0.3,0.4,0.5,True,1
True,0.4,0.3,0.5,True,2
False,0.3,0.6,0.5,False,2
True,0.5,0.1,14,True,3
False,0.9,0.4,0.5,False,3
True,0.5,0.1,0.5,True,4
False,0.3,0.5,0.5,False,4
True,0.6,0.7,19,False,5
False,0.8,0.4,0.5,True,5
True,0.6,0.7,43,False,6
False,0.7,0.5,0.5,True,6
True,0.5,0.8,0.5,True,7
False,0.9,0.5,0.5,False,7
True,0.5,0.8,19,True,8
False,0.9,0.5,0.5,False,8
True,0.6,0.9,0.5,False,9
False,0.3,0.5,13,True,9
True,0.5,0.3,0.0,False,10
False,0.3,0.4,0.5,False,10
True,0.4,0.3,0.5,True,11
False,0.2,0.5,0.5,False,11
True,0.4,0.1,38,True,12
False,0.1,0.5,93,False,12
True,0.5,0.1,0.0,False,13
False,0.1,0.4,0.5,True,13
True,0.6,0.3,0.5,False,14
False,0.2,0.5,0.5,True,14
True,0.5,0.2,0.5,False,15
False,0.3,0.6,0.5,True,15
True,0.4,0.8,66,True,16
False,0.2,0.6,05,False,16
True,0.6,0.8,0.5,False,17
False,0.2,0.6,0.5,False,17
True,0.5,0.3,81,False,18
False,0.7,0.5,0.5,True,18
True,0.6,0.1,20,False,19
False,0.1,0.5,36,True,19
True,0.5,0.8,0.5,True,20
False,0.1,0.6,81,True,20
True,0.4,0.1,0.5,False,21
False,0.2,0.4,0.5,True,21
True,0.4,0.7,0.5,False,22
False,0.8,0.4,77,False,22
True,0.5,0.9,05,False,23
False,0.9,0.4,85,True,23
True,0.6,0.7,0.5,False,24
False,0.7,0.4,0.0,True,24
True,0.4,0.2,0.5,False,25
False,0.1,0.5,0.5,True,25
True,0.5,0.2,0.5,True,26
False,0.2,0.4,0.5,True,26
True,0.5,0.8,22,False,27
False,0.2,0.4,0.5,True,27
True,0.5,0.1,0.5,True,28
False,0.8,0.4,0.5,False,28
True,0.5,0.8,39,True,29
False,0.1,0.4,65,False,29
True,0.5,0.9,09,True,30
False,0.7,0.5,24,False,30
True,0.6,0.8,0.5,True,31
False,0.8,0.5,0.5,True,31
True,0.5,0.1,0.5,False,32
False,0.2,0.4,0.5,True,32
True,0.5,0.9,77,False,33
False,0.7,0.6,60,True,33
True,0.4,0.8,0.0,True,34
False,0.3,0.5,0.5,True,34
True,0.4,0.3,52,False,35
False,0.2,0.4,0.5,True,35
True,0.5,0.3,0.5,True,36
False,0.9,0.5,74,True,36
True,0.6,0.1,0.5,False,37
False,0.2,0.5,0.5,False,37
True,0.5,0.9,0.5,False,38
False,0.7,0.4,0.5,True,38
True,0.5,0.9,0.5,False,39
False,0.2,0.4,0.5,True,39
True,0.4,0.9,0.5,True,40
False,0.1,0.4,88,True,40
True,0.5,0.9,30,False,41
False,0.3,0.4,81,True,41
True,0.6,0.7,21,False,42
False,0.8,0.5,67,False,42
True,0.4,0.9,79,True,43
False,0.9,0.4,33,False,43
True,0.5,0.9,87,False,44
False,0.3,0.5,0.5,False,44
True,0.4,0.7,19,False,45
False,0.1,0.6,65,False,45
True,0.5,0.8,0.5,True,46
False,0.8,0.5,87,False,46
True,0.6,0.8,47,False,47
False,0.8,0.5,0.5,False,47
True,0.5,0.2,0.5,True,48
False,0.7,0.4,0.5,True,48
True,0.5,0.8,0.5,False,49
False,0.3,0.5,30,False,49
True,0.6,0.1,38,False,50
False,0.2,0.4,0.5,False,50
True,0.6,0.2,0.0,False,51
False,0.8,0.5,0.5,True,51
True,0.5,0.2,76,False,52
False,0.3,0.5,0.5,False,52
True,0.5,0.3,61,True,53
False,0.2,0.4,0.5,True,53
True,0.4,0.3,54,True,54
False,0.8,0.5,0.0,True,54
True,0.5,0.3,0.5,True,55
False,0.3,0.5,0.5,True,55
True,0.5,0.7,35,True,56
False,0.3,0.4,0.5,False,56
True,0.4,0.9,98,False,57
False,0.3,0.4,0.5,False,57
True,0.6,0.9,01,True,58
False,0.7,0.5,19,True,58
True,0.5,0.7,71,True,59
False,0.1,0.5,05,False,59
True,0.5,0.1,22,True,60
False,0.7,0.5,72,False,60
True,0.4,0.8,52,True,61
False,0.3,0.4,0.5,False,61
True,0.6,0.3,87,True,62
False,0.8,0.5,0.5,True,62
