informative_lh,prior,lh,left_pred,red_observation,run
True,0.4,0.7,0.45,False,0
False,0.1,0.5,0.0,False,0
True,0.5,0.9,0.5,True,1
False,0.8,0.5,0.71,False,1
True,0.5,0.3,0.7,False,2
False,0.8,0.6,0.8,False,2
True,0.6,0.1,0.4,False,3
False,0.2,0.6,0.5,False,3
True,0.5,0.1,0.5,False,4
False,0.8,0.5,0.85,False,4
True,0.6,0.2,0.7,True,5
False,0.8,0.6,0.67,False,5
True,0.5,0.3,0.7,False,6
False,0.8,0.6,0.5,True,6
True,0.5,0.7,0.85,False,7
False,0.3,0.6,0.5,True,7
True,0.5,0.1,0.5,False,8
False,0.8,0.4,0.64,False,8
True,0.4,0.9,0.37,False,9
False,0.3,0.5,0.55,False,9
True,0.6,0.9,0.61,True,10
False,0.9,0.6,0.67,True,10
True,0.6,0.1,0.85,True,11
False,0.2,0.4,0.43,True,11
True,0.4,0.9,0.4,False,12
False,0.7,0.5,0.69,False,12
True,0.5,0.1,0.5,True,13
False,0.2,0.5,0.33,False,13
True,0.6,0.7,0.65,False,14
False,0.2,0.4,0.5,True,14
True,0.5,0.7,0.5,False,15
False,0.8,0.6,0.55,False,15
True,0.4,0.8,0.5,True,16
False,0.3,0.4,0.42,False,16
True,0.6,0.1,0.68,True,17
False,0.3,0.6,0.43,False,17
True,0.4,0.7,0.34,False,18
False,0.9,0.4,0.83,False,18
True,0.5,0.1,0.5,True,19
False,0.8,0.6,0.5,True,19
True,0.6,0.8,0.55,False,20
False,0.8,0.4,0.66,True,20
True,0.4,0.7,0.43,False,21
False,0.2,0.6,0.65,False,21
True,0.6,0.2,0.41,True,22
False,0.1,0.5,0.1,False,22
True,0.4,0.9,0.41,False,23
False,0.8,0.4,0.71,True,23
True,0.5,0.8,0.5,False,24
False,0.9,0.6,0.81,True,24
True,0.4,0.3,0.0,False,25
False,0.7,0.5,0.71,False,25
True,0.5,0.8,0.5,True,26
False,0.9,0.4,0.51,False,26
True,0.5,0.3,0.7,True,27
False,0.8,0.5,0.8,True,27
True,0.5,0.3,0.65,False,28
False,0.2,0.5,0.5,False,28
True,0.5,0.9,0.5,False,29
False,0.2,0.6,0.5,False,29
True,0.5,0.7,0.5,False,30
False,0.9,0.5,0.89,False,30
True,0.5,0.9,0.8,False,31
False,0.1,0.4,0.43,False,31
True,0.5,0.2,0.5,True,32
False,0.2,0.6,0.5,False,32
True,0.5,0.1,0.5,True,33
False,0.8,0.4,0.69,False,33
True,0.5,0.3,0.55,False,34
False,0.1,0.5,0.0,False,34
True,0.5,0.2,0.5,True,35
False,0.8,0.5,0.5,False,35
True,0.5,0.7,0.5,True,36
False,0.3,0.4,0.29,False,36
True,0.6,0.7,0.62,True,37
False,0.1,0.5,0.5,True,37
True,0.6,0.2,0.42,False,38
False,0.7,0.4,0.43,True,38
True,0.6,0.8,0.73,True,39
False,0.8,0.5,0.83,False,39
True,0.6,0.2,0.8,False,40
False,0.7,0.5,0.44,False,40
True,0.4,0.3,0.55,True,41
False,0.3,0.4,0.61,True,41
True,0.5,0.8,0.5,False,42
False,0.7,0.5,0.55,False,42
