trial,block,block_trial,choice,reward,confidence,accurate,run
0,0,0,0,40.72,0.0,0,0
1,0,1,1,67.17,0.0,1,0
2,0,2,0,46.49,0.0,0,0
3,0,3,1,59.93,0.0,1,0
4,0,4,1,69.56,0.0,1,0
5,0,5,0,30.62,0.0,0,0
6,0,6,0,40.72,0.0,0,0
7,0,7,0,41.07,0.0,0,0
8,0,8,0,46.48,0.0,0,0
9,0,9,1,58.47,0.0,1,0
10,0,10,0,42.08,0.0,0,0
11,0,11,1,52.58,0.0,1,0
12,0,12,0,34.61,0.0,0,0
13,0,13,0,35.68,0.0,0,0
14,0,14,1,72.39,0.0,1,0
15,0,15,1,51.71,0.0,1,0
16,0,16,1,58.01,0.0,1,0
17,0,17,1,50.36,0.0,1,0
18,0,18,1,69.25,0.0,1,0
19,0,19,0,28.73,0.0,0,0
20,0,20,1,49.8,0.0,0,0
21,1,0,1,50.67,0.0,0,0
22,1,1,1,44.07,0.0,0,0
23,1,2,1,51.81,0.0,0,0
24,1,3,1,43.34,0.0,0,0
25,1,4,0,54.06,0.0,1,0
26,1,5,1,38.94,0.0,0,0
27,1,6,1,35.26,0.0,0,0
28,1,7,0,60.36,0.0,1,0
29,1,8,0,52.63,0.0,1,0
30,1,9,0,61.81,0.0,1,0
31,1,10,0,58.56,0.0,1,0
32,1,11,1,46.3,0.0,0,0
33,1,12,0,66.78,0.0,1,0
34,1,13,0,67.23,0.0,1,0
35,1,14,1,47.38,0.0,0,0
36,1,15,1,36.49,0.0,0,0
37,1,16,1,43.86,0.0,0,0
38,1,17,1,45.36,0.0,0,0
39,1,18,1,59.84,0.0,0,0
40,1,19,0,53.6,0.0,0,0
41,2,0,0,39.37,0.0,0,0
42,2,1,1,72.59,0.0,1,0
43,2,2,1,50.94,0.0,1,0
44,2,3,1,60.18,0.0,1,0
45,2,4,1,57.53,0.0,1,0
46,2,5,0,39.3,0.0,0,0
47,2,6,1,51.7,0.0,1,0
48,2,7,1,53.05,0.0,1,0
49,2,8,0,42.92,0.0,0,0
50,2,9,0,50.62,0.0,0,0
51,2,10,1,63.45,0.0,1,0
52,2,11,0,39.31,0.0,0,0
53,2,12,1,63.6,0.0,1,0
54,2,13,1,57.57,0.0,1,0
55,2,14,0,20.4,0.0,0,0
56,2,15,0,42.4,0.0,0,0
57,2,16,0,31.17,0.0,0,0
58,2,17,1,71.67,0.0,1,0
59,2,18,1,49.84,0.0,1,0
60,2,19,1,61.71,0.0,0,0
61,3,0,0,70.37,0.0,1,0
62,3,1,1,44.21,0.0,0,0
63,3,2,1,45.41,0.0,0,0
64,3,3,0,73.89,0.0,1,0
65,3,4,0,68.26,0.0,1,0
66,3,5,0,57.1,0.0,1,0
67,3,6,1,36.35,0.0,0,0
68,3,7,0,64.52,0.0,1,0
69,3,8,0,59.37,0.0,1,0
70,3,9,0,57.36,0.0,1,0
71,3,10,0,52.35,0.0,1,0
72,3,11,1,21.63,0.0,0,0
73,3,12,1,49.04,0.0,0,0
74,3,13,0,54.38,0.0,1,0
75,3,14,0,48.13,0.0,1,0
76,3,15,1,43.33,0.0,0,0
77,3,16,0,64.24,0.0,1,0
78,3,17,1,38.36,0.0,0,0
79,3,18,0,69.47,0.0,0,0
0,0,0,1,70.43,0.0,1,1
1,0,1,0,40.69,0.0,0,1
2,0,2,0,44.44,0.0,0,1
3,0,3,0,35.41,0.0,0,1
4,0,4,1,60.4,0.0,1,1
5,0,5,1,61.88,0.0,1,1
6,0,6,0,43.45,0.0,0,1
7,0,7,0,29.4,0.0,0,1
8,0,8,0,53.02,0.0,0,1
9,0,9,0,35.94,0.0,0,1
10,0,10,0,45.87,0.0,0,1
11,0,11,1,58.09,0.0,1,1
12,0,12,1,86.47,0.0,1,1
13,0,13,0,41.32,0.0,0,1
14,0,14,1,68.5,0.0,1,1
15,0,15,0,44.28,0.0,0,1
16,0,16,1,62.24,0.0,1,1
17,0,17,0,47.36,0.0,0,1
18,0,18,1,52.94,0.0,1,1
19,0,19,0,52.63,0.0,0,1
20,0,20,1,71.02,0.0,0,1
21,1,0,0,63.7,0.0,1,1
22,1,1,0,61.16,0.0,1,1
23,1,2,0,62.2,0.0,1,1
24,1,3,1,48.56,0.0,0,1
25,1,4,1,36.89,0.0,0,1
