trial,block,block_trial,choice,reward,confidence,accurate,run
0,0,0,0,59.42,0.0,1,0
1,0,1,0,62.4,0.0,1,0
2,0,2,0,70.86,0.0,1,0
3,0,3,1,30.07,0.0,0,0
4,0,4,1,32.38,0.0,0,0
5,0,5,1,39.47,0.0,0,0
6,0,6,1,42.5,0.0,0,0
7,0,7,0,71.67,0.0,1,0
8,0,8,1,47.36,0.0,0,0
9,0,9,1,38.22,0.0,0,0
10,0,10,0,52.95,0.0,1,0
11,0,11,0,62.04,0.0,1,0
12,0,12,1,54.3,0.0,0,0
13,0,13,1,28.18,0.0,0,0
14,0,14,1,41.32,0.0,0,0
15,0,15,0,64.32,0.0,1,0
16,0,16,0,54.84,0.0,1,0
17,0,17,0,65.57,0.0,1,0
18,0,18,1,44.19,0.0,0,0
19,0,19,0,72.08,0.0,1,0
20,0,20,1,45.72,0.0,1,0
21,1,0,1,65.89,0.0,1,0
22,1,1,1,63.39,0.0,1,0
23,1,2,0,33.16,0.0,0,0
24,1,3,1,58.52,0.0,1,0
25,1,4,1,48.93,0.0,1,0
26,1,5,1,32.71,0.0,1,0
27,1,6,1,58.35,0.0,1,0
28,1,7,0,45.83,0.0,0,0
29,1,8,0,50.09,0.0,0,0
30,1,9,0,47.71,0.0,0,0
31,1,10,1,57.93,0.0,1,0
32,1,11,0,40.06,0.0,0,0
33,1,12,1,59.92,0.0,1,0
34,1,13,0,32.94,0.0,0,0
35,1,14,0,40.93,0.0,0,0
36,1,15,1,65.16,0.0,1,0
37,1,16,1,77.26,0.0,1,0
38,1,17,0,34.42,0.0,0,0
39,1,18,0,41.77,0.0,0,0
40,1,19,0,38.33,0.0,1,0
41,2,0,1,35.53,0.0,0,0
42,2,1,0,57.23,0.0,1,0
43,2,2,0,53.19,0.0,1,0
44,2,3,0,67.87,0.0,1,0
45,2,4,0,56.99,0.0,1,0
46,2,5,0,72.06,0.0,1,0
47,2,6,1,45.17,0.0,0,0
48,2,7,0,57.0,0.0,1,0
49,2,8,1,38.77,0.0,0,0
50,2,9,0,57.88,0.0,1,0
51,2,10,1,36.88,0.0,0,0
52,2,11,0,71.5,0.0,1,0
53,2,12,1,22.63,0.0,0,0
54,2,13,0,45.4,0.0,1,0
55,2,14,1,57.36,0.0,0,0
56,2,15,0,52.55,0.0,1,0
57,2,16,1,37.77,0.0,0,0
58,2,17,0,60.37,0.0,1,0
59,2,18,0,63.01,0.0,1,0
60,2,19,1,45.05,0.0,1,0
61,3,0,0,41.11,0.0,0,0
62,3,1,0,45.2,0.0,0,0
63,3,2,0,38.32,0.0,0,0
64,3,3,1,55.09,0.0,1,0
65,3,4,0,40.27,0.0,0,0
66,3,5,0,35.01,0.0,0,0
67,3,6,0,36.42,0.0,0,0
68,3,7,0,48.44,0.0,0,0
69,3,8,1,65.88,0.0,1,0
70,3,9,0,17.05,0.0,0,0
71,3,10,1,60.04,0.0,1,0
72,3,11,0,45.19,0.0,0,0
73,3,12,1,68.1,0.0,1,0
74,3,13,0,23.87,0.0,0,0
75,3,14,1,62.81,0.0,1,0
76,3,15,1,65.51,0.0,1,0
77,3,16,0,33.34,0.0,0,0
78,3,17,1,46.21,0.0,1,0
79,3,18,0,55.2,0.0,1,0
0,0,0,0,69.67,0.0,1,1
1,0,1,0,58.86,0.0,1,1
2,0,2,0,62.57,0.0,1,1
3,0,3,1,46.47,0.0,0,1
4,0,4,0,66.72,0.0,1,1
5,0,5,0,68.62,0.0,1,1
6,0,6,0,48.81,0.0,1,1
7,0,7,0,64.04,0.0,1,1
8,0,8,0,58.85,0.0,1,1
9,0,9,0,61.92,0.0,1,1
10,0,10,1,38.32,0.0,0,1
11,0,11,0,64.55,0.0,1,1
12,0,12,1,41.02,0.0,0,1
13,0,13,0,60.84,0.0,1,1
14,0,14,0,68.41,0.0,1,1
15,0,15,0,62.07,0.0,1,1
16,0,16,0,56.81,0.0,1,1
17,0,17,0,70.0,0.0,1,1
18,0,18,1,25.08,0.0,0,1
19,0,19,0,40.8,0.0,1,1
20,0,20,1,19.09,0.0,1,1
21,1,0,0,38.03,0.0,0,1
22,1,1,0,29.14,0.0,0,1
23,1,2,1,67.61,0.0,1,1
24,1,3,0,46.54,0.0,0,1
25,1,4,0,37.55,0.0,0,1
26,1,5,0,25.81,0.0,0,1
27,1,6,0,31.95,0.0,0,1
28,1,7,1,51.45,0.0,1,1
29,1,8,0,38.02,0.0,0,1
30,1,9,0,34.89,0.0,0,1
31,1,10,1,62.61,0.0,1,1
32,1,11,1,59.89,0.0,1,1
33,1,12,0,43.01,0.0,0,1
34,1,13,1,55.81,0.0,1,1
35,1,14,1,61.91,0.0,1,1
36,1,15,0,45.8,0.0,0,1
37,1,16,0,35.21,0.0,0,1
38,1,17,0,47.78,0.0,0,1
39,1,18,0,49.46,0.0,0,1
40,1,19,0,41.67,0.0,1,1
41,2,0,0,47.65,0.0,1,1
42,2,1,1,35.18,0.0,0,1
43,2,2,0,70.2,0.0,1,1
44,2,3,1,34.24,0.0,0,1
45,2,4,1,32.23,0.0,0,1
46,2,5,0,56.66,0.0,1,1
47,2,6,1,29.36,0.0,0,1
48,2,7,0,44.45,0.0,1,1
49,2,8,1,43.0,0.0,0,1
50,2,9,0,65.48,0.0,1,1
51,2,10,0,66.3,0.0,1,1
52,2,11,0,62.08,0.0,1,1
53,2,12,1,33.42,0.0,0,1
54,2,13,1,35.77,0.0,0,1
55,2,14,0,66.93,0.0,1,1
56,2,15,1,44.23,0.0,0,1
57,2,16,1,43.95,0.0,0,1
58,2,17,0,58.4,0.0,1,1
59,2,18,1,32.91,0.0,0,1
60,2,19,1,36.2,0.0,1,1
61,3,0,0,43.02,0.0,0,1
62,3,1,0,34.3,0.0,0,1
63,3,2,1,55.57,0.0,1,1
64,3,3,1,67.55,0.0,1,1
65,3,4,1,68.4,0.0,1,1
66,3,5,1,49.03,0.0,1,1
67,3,6,0,46.09,0.0,0,1
68,3,7,1,48.15,0.0,1,1
69,3,8,0,47.63,0.0,0,1
70,3,9,1,57.24,0.0,1,1
71,3,10,0,29.25,0.0,0,1
72,3,11,1,50.08,0.0,1,1
73,3,12,0,38.62,0.0,0,1
74,3,13,0,51.74,0.0,0,1
75,3,14,1,52.63,0.0,1,1
76,3,15,0,39.98,0.0,0,1
77,3,16,0,45.91,0.0,0,1
78,3,17,0,52.22,0.0,0,1
79,3,18,0,33.69,0.0,1,1
0,0,0,0,37.72,0.0,0,2
1,0,1,1,61.37,0.0,1,2
2,0,2,1,71.45,0.0,1,2
3,0,3,0,44.29,0.0,0,2
4,0,4,0,39.59,0.0,0,2
5,0,5,1,65.0,0.0,1,2
6,0,6,1,63.43,0.0,1,2
7,0,7,0,46.52,0.0,0,2
8,0,8,0,42.52,0.0,0,2
9,0,9,0,39.8,0.0,0,2
10,0,10,1,58.74,0.0,1,2
11,0,11,0,37.78,0.0,0,2
12,0,12,0,24.53,0.0,0,2
13,0,13,0,43.45,0.0,0,2
14,0,14,1,57.2,0.0,1,2
15,0,15,0,37.98,0.0,0,2
16,0,16,0,49.32,0.0,0,2
17,0,17,0,28.79,0.0,0,2
18,0,18,0,39.94,0.0,0,2
19,0,19,0,52.56,0.0,0,2
20,0,20,1,57.58,0.0,0,2
21,1,0,0,58.48,0.0,1,2
22,1,1,0,52.53,0.0,1,2
23,1,2,0,49.29,0.0,1,2
24,1,3,1,41.8,0.0,0,2
25,1,4,0,67.3,0.0,1,2
26,1,5,1,35.97,0.0,0,2
27,1,6,0,48.39,0.0,1,2
28,1,7,0,55.85,0.0,1,2
29,1,8,1,41.46,0.0,0,2
30,1,9,0,70.45,0.0,1,2
31,1,10,0,55.35,0.0,1,2
32,1,11,1,30.12,0.0,0,2
33,1,12,1,37.26,0.0,0,2
34,1,13,1,31.57,0.0,0,2
35,1,14,1,38.85,0.0,0,2
36,1,15,1,39.19,0.0,0,2
37,1,16,0,64.31,0.0,1,2
38,1,17,0,50.25,0.0,1,2
39,1,18,0,66.33,0.0,1,2
40,1,19,1,32.78,0.0,1,2
41,2,0,1,64.57,0.0,1,2
42,2,1,0,35.93,0.0,0,2
43,2,2,0,39.37,0.0,0,2
44,2,3,1,59.97,0.0,1,2
45,2,4,0,46.74,0.0,0,2
46,2,5,0,43.57,0.0,0,2
47,2,6,0,42.53,0.0,0,2
48,2,7,1,67.5,0.0,1,2
49,2,8,0,28.24,0.0,0,2
50,2,9,0,32.51,0.0,0,2
51,2,10,0,31.88,0.0,0,2
52,2,11,1,34.18,0.0,1,2
53,2,12,0,29.67,0.0,0,2
54,2,13,0,35.37,0.0,0,2
55,2,14,0,40.92,0.0,0,2
56,2,15,0,52.68,0.0,0,2
57,2,16,0,39.23,0.0,0,2
58,2,17,1,54.07,0.0,1,2
59,2,18,1,72.76,0.0,1,2
60,2,19,1,52.53,0.0,0,2
61,3,0,0,52.13,0.0,1,2
62,3,1,0,55.35,0.0,1,2
63,3,2,0,59.31,0.0,1,2
64,3,3,0,65.95,0.0,1,2
65,3,4,0,75.18,0.0,1,2
66,3,5,1,42.71,0.0,0,2
67,3,6,0,57.41,0.0,1,2
68,3,7,1,42.52,0.0,0,2
69,3,8,1,52.48,0.0,0,2
70,3,9,0,56.23,0.0,1,2
71,3,10,0,57.66,0.0,1,2
72,3,11,1,44.55,0.0,0,2
73,3,12,0,50.1,0.0,1,2
74,3,13,0,47.41,0.0,1,2
75,3,14,1,41.05,0.0,0,2
76,3,15,1,45.86,0.0,0,2
77,3,16,0,47.36,0.0,1,2
78,3,17,0,51.62,0.0,1,2
79,3,18,1,40.72,0.0,1,2
0,0,0,1,82.05,0.0,1,3
1,0,1,1,65.47,0.0,1,3
2,0,2,0,40.23,0.0,0,3
3,0,3,0,41.17,0.0,0,3
4,0,4,0,34.75,0.0,0,3
5,0,5,0,43.64,0.0,0,3
6,0,6,0,33.3,0.0,0,3
7,0,7,0,28.04,0.0,0,3
8,0,8,1,48.05,0.0,1,3
9,0,9,0,33.32,0.0,0,3
10,0,10,0,37.99,0.0,0,3
11,0,11,1,55.16,0.0,1,3
12,0,12,1,56.79,0.0,1,3
13,0,13,1,59.6,0.0,1,3
14,0,14,0,54.54,0.0,0,3
15,0,15,1,61.41,0.0,1,3
16,0,16,0,50.45,0.0,0,3
17,0,17,1,69.39,0.0,1,3
18,0,18,1,67.83,0.0,1,3
