trial,block,block_trial,choice,reward,confidence,accurate,run
0,0,0,0,52.1,0.0,0,0
1,0,1,0,30.75,0.0,0,0
2,0,2,0,49.41,0.0,0,0
3,0,3,1,63.1,0.0,1,0
4,0,4,0,47.47,0.0,0,0
5,0,5,0,40.71,0.0,0,0
6,0,6,1,62.91,0.0,1,0
7,0,7,0,50.85,0.0,0,0
8,0,8,0,38.27,0.0,0,0
9,0,9,1,63.96,0.0,1,0
10,0,10,0,51.5,0.0,0,0
11,0,11,1,54.68,0.0,1,0
12,0,12,1,64.92,0.0,1,0
13,0,13,0,42.64,0.0,0,0
14,0,14,1,57.61,0.0,1,0
15,0,15,1,80.07,0.0,1,0
16,0,16,0,34.8,0.0,0,0
17,0,17,1,62.32,0.0,1,0
18,0,18,0,28.47,0.0,0,0
19,0,19,1,60.31,0.0,1,0
20,0,20,0,45.29,0.0,1,0
21,1,0,0,55.03,0.0,1,0
22,1,1,0,45.56,0.0,1,0
23,1,2,0,59.99,0.0,1,0
24,1,3,1,46.1,0.0,0,0
25,1,4,1,40.33,0.0,0,0
26,1,5,0,79.0,0.0,1,0
27,1,6,1,54.35,0.0,0,0
28,1,7,1,44.13,0.0,0,0
29,1,8,1,41.49,0.0,0,0
30,1,9,1,26.57,0.0,0,0
31,1,10,0,60.7,0.0,1,0
32,1,11,0,68.04,0.0,1,0
33,1,12,1,31.29,0.0,0,0
34,1,13,1,48.95,0.0,0,0
35,1,14,1,48.73,0.0,0,0
36,1,15,1,43.68,0.0,0,0
37,1,16,0,59.55,0.0,1,0
38,1,17,1,57.76,0.0,0,0
39,1,18,1,41.09,0.0,0,0
40,1,19,1,30.04,0.0,1,0
41,2,0,0,32.03,0.0,0,0
42,2,1,0,42.07,0.0,0,0
43,2,2,1,48.95,0.0,1,0
44,2,3,1,65.01,0.0,1,0
45,2,4,0,46.38,0.0,0,0
46,2,5,1,54.96,0.0,1,0
47,2,6,0,33.46,0.0,0,0
48,2,7,0,53.89,0.0,0,0
49,2,8,1,62.78,0.0,1,0
50,2,9,0,33.15,0.0,0,0
51,2,10,1,50.38,0.0,1,0
52,2,11,0,36.99,0.0,0,0
53,2,12,0,33.72,0.0,0,0
54,2,13,1,52.1,0.0,1,0
55,2,14,0,33.83,0.0,0,0
56,2,15,1,69.05,0.0,1,0
57,2,16,1,53.61,0.0,1,0
58,2,17,1,57.29,0.0,1,0
59,2,18,1,71.66,0.0,1,0
60,2,19,1,41.76,0.0,0,0
61,3,0,1,18.06,0.0,0,0
62,3,1,0,73.51,0.0,1,0
63,3,2,0,60.11,0.0,1,0
64,3,3,0,61.4,0.0,1,0
65,3,4,0,45.21,0.0,1,0
66,3,5,1,54.67,0.0,0,0
67,3,6,1,48.23,0.0,0,0
68,3,7,0,69.47,0.0,1,0
69,3,8,1,18.8,0.0,0,0
70,3,9,0,59.31,0.0,1,0
71,3,10,0,55.37,0.0,1,0
72,3,11,1,36.41,0.0,0,0
73,3,12,1,38.77,0.0,0,0
74,3,13,1,38.9,0.0,0,0
75,3,14,1,43.57,0.0,0,0
76,3,15,0,57.23,0.0,1,0
77,3,16,1,51.48,0.0,0,0
78,3,17,1,31.74,0.0,0,0
79,3,18,1,35.74,0.0,1,0
0,0,0,1,36.66,0.0,0,1
1,0,1,1,42.8,0.0,0,1
2,0,2,0,45.07,0.0,1,1
3,0,3,1,45.84,0.0,0,1
4,0,4,1,41.31,0.0,0,1
5,0,5,1,36.07,0.0,0,1
6,0,6,1,38.59,0.0,0,1
7,0,7,0,56.52,0.0,1,1
8,0,8,1,41.99,0.0,0,1
9,0,9,1,40.03,0.0,0,1
10,0,10,1,37.19,0.0,0,1
11,0,11,1,54.75,0.0,0,1
12,0,12,1,34.17,0.0,0,1
13,0,13,0,58.85,0.0,1,1
14,0,14,0,69.93,0.0,1,1
15,0,15,0,69.65,0.0,1,1
16,0,16,1,40.64,0.0,0,1
17,0,17,1,27.23,0.0,0,1
18,0,18,0,59.02,0.0,1,1
19,0,19,1,27.01,0.0,0,1
20,0,20,1,30.68,0.0,1,1
21,1,0,0,45.27,0.0,0,1
22,1,1,0,45.41,0.0,0,1
23,1,2,1,53.53,0.0,1,1
24,1,3,1,74.89,0.0,1,1
25,1,4,1,65.76,0.0,1,1
26,1,5,0,37.78,0.0,0,1
27,1,6,1,69.15,0.0,1,1
28,1,7,1,68.51,0.0,1,1
29,1,8,1,57.09,0.0,1,1
30,1,9,1,49.06,0.0,1,1
31,1,10,1,54.7,0.0,1,1
32,1,11,1,49.03,0.0,1,1
33,1,12,1,68.32,0.0,1,1
34,1,13,1,52.73,0.0,1,1
35,1,14,1,49.04,0.0,1,1
36,1,15,1,51.77,0.0,1,1
37,1,16,1,68.86,0.0,1,1
38,1,17,1,61.26,0.0,1,1
39,1,18,1,58.15,0.0,1,1
40,1,19,1,60.91,0.0,0,1
41,2,0,1,47.42,0.0,0,1
42,2,1,1,29.73,0.0,0,1
43,2,2,1,48.5,0.0,0,1
44,2,3,0,61.54,0.0,1,1
45,2,4,1,38.89,0.0,0,1
46,2,5,1,38.13,0.0,0,1
