trial,block,block_trial,choice,reward,confidence,accurate,run
0,0,0,1,57.79,0.5,1,0
1,0,1,0,33.07,0.5,0,0
2,0,2,1,58.6,0.5,1,0
3,0,3,0,51.86,0.5,0,0
4,0,4,0,38.72,0.5,0,0
5,0,5,1,45.55,0.5,1,0
6,0,6,1,59.39,0.5,1,0
7,0,7,1,77.06,0.7,1,0
8,0,8,0,38.97,0.7,0,0
9,0,9,0,47.42,0.5,0,0
10,0,10,1,69.89,0.8,1,0
11,0,11,1,61.79,0.8,1,0
12,0,12,0,45.08,0.8,0,0
13,0,13,1,62.19,0.8,1,0
14,0,14,0,45.18,0.8,0,0
15,0,15,1,59.96,0.8,1,0
16,0,16,0,36.73,0.8,0,0
17,0,17,1,55.61,0.8,1,0
18,0,18,0,45.89,0.8,0,0
19,0,19,1,53.94,0.8,1,0
20,0,20,1,55.21,0.8,0,0
21,1,0,1,40.3,0.8,0,0
22,1,1,1,39.69,0.8,0,0
23,1,2,0,64.67,0.6,1,0
24,1,3,1,38.29,0.8,0,0
25,1,4,1,24.05,0.8,0,0
26,1,5,1,41.51,0.8,0,0
27,1,6,0,63.26,0.8,1,0
28,1,7,1,32.1,0.8,0,0
29,1,8,1,28.02,0.8,0,0
30,1,9,0,62.24,0.8,1,0
31,1,10,1,35.42,0.8,0,0
32,1,11,1,34.46,0.8,0,0
33,1,12,0,55.61,0.8,1,0
34,1,13,0,69.32,0.8,1,0
35,1,14,0,62.03,0.8,1,0
36,1,15,0,56.62,0.8,1,0
37,1,16,0,45.63,0.8,1,0
38,1,17,0,56.56,0.8,1,0
39,1,18,0,56.34,0.8,1,0
40,1,19,0,59.23,0.8,0,0
41,2,0,0,43.06,0.8,0,0
42,2,1,0,45.03,0.8,0,0
43,2,2,0,39.2,0.8,0,0
44,2,3,1,64.44,0.8,1,0
45,2,4,1,49.64,0.8,1,0
46,2,5,1,60.62,0.8,1,0
47,2,6,0,53.38,0.8,0,0
48,2,7,0,38.73,0.8,0,0
49,2,8,0,44.45,0.8,0,0
50,2,9,1,55.27,0.8,1,0
51,2,10,1,55.69,0.8,1,0
52,2,11,1,55.34,0.8,1,0
53,2,12,1,59.4,0.8,1,0
54,2,13,1,65.9,0.8,1,0
55,2,14,1,57.71,0.8,1,0
