trial,block,block_trial,choice,reward,confidence,accurate,run
0,0,0,0,71.24,0.0,1,0
1,0,1,0,64.52,0.0,1,0
2,0,2,0,68.58,0.0,1,0
3,0,3,0,61.69,0.0,1,0
4,0,4,1,40.52,0.0,0,0
5,0,5,1,41.26,0.0,0,0
6,0,6,1,39.53,0.0,0,0
7,0,7,1,50.66,0.0,0,0
8,0,8,0,60.42,0.0,1,0
9,0,9,1,52.63,0.0,0,0
10,0,10,1,33.28,0.0,0,0
11,0,11,0,64.14,0.0,1,0
12,0,12,1,28.72,0.0,0,0
13,0,13,0,65.0,0.0,1,0
14,0,14,1,42.69,0.0,0,0
15,0,15,1,47.96,0.0,0,0
16,0,16,1,29.54,0.0,0,0
17,0,17,0,56.04,0.0,1,0
18,0,18,0,49.59,0.0,1,0
19,0,19,1,41.69,0.0,0,0
20,0,20,1,49.22,0.0,1,0
21,1,0,0,41.21,0.0,0,0
22,1,1,0,54.11,0.0,0,0
23,1,2,0,32.47,0.0,0,0
24,1,3,0,28.08,0.0,0,0
25,1,4,1,44.38,0.0,1,0
26,1,5,1,60.37,0.0,1,0
27,1,6,0,43.6,0.0,0,0
28,1,7,0,43.3,0.0,0,0
29,1,8,0,40.0,0.0,0,0
30,1,9,0,27.85,0.0,0,0
31,1,10,0,44.27,0.0,0,0
32,1,11,1,65.56,0.0,1,0
33,1,12,0,43.82,0.0,0,0
34,1,13,1,52.37,0.0,1,0
35,1,14,0,45.05,0.0,0,0
36,1,15,0,37.8,0.0,0,0
37,1,16,1,67.38,0.0,1,0
38,1,17,0,32.78,0.0,0,0
39,1,18,1,56.24,0.0,1,0
40,1,19,1,60.03,0.0,0,0
41,2,0,1,34.15,0.0,0,0
42,2,1,0,64.53,0.0,1,0
43,2,2,0,58.41,0.0,1,0
44,2,3,0,61.26,0.0,1,0
45,2,4,0,64.41,0.0,1,0
46,2,5,0,56.51,0.0,1,0
47,2,6,1,37.17,0.0,0,0
48,2,7,0,73.41,0.0,1,0
49,2,8,1,47.1,0.0,0,0
50,2,9,1,34.4,0.0,0,0
51,2,10,1,39.48,0.0,0,0
52,2,11,1,40.87,0.0,0,0
53,2,12,1,35.65,0.0,0,0
54,2,13,1,49.32,0.0,0,0
55,2,14,1,54.71,0.0,0,0
56,2,15,0,60.0,0.0,1,0
57,2,16,1,64.6,0.0,0,0
58,2,17,1,39.98,0.0,0,0
59,2,18,0,62.96,0.0,1,0
60,2,19,0,59.19,0.0,0,0
61,3,0,0,48.03,0.0,0,0
62,3,1,0,50.63,0.0,0,0
63,3,2,0,38.57,0.0,0,0
64,3,3,1,58.6,0.0,1,0
65,3,4,1,57.21,0.0,1,0
66,3,5,0,43.31,0.0,0,0
67,3,6,0,37.28,0.0,0,0
68,3,7,0,45.14,0.0,0,0
69,3,8,0,47.6,0.0,0,0
70,3,9,0,27.67,0.0,0,0
71,3,10,0,25.78,0.0,0,0
72,3,11,0,52.91,0.0,0,0
73,3,12,1,59.62,0.0,1,0
74,3,13,1,51.91,0.0,1,0
75,3,14,1,58.23,0.0,1,0
76,3,15,0,40.48,0.0,0,0
77,3,16,1,62.23,0.0,1,0
78,3,17,0,37.02,0.0,0,0
79,3,18,1,42.89,0.0,0,0
0,0,0,0,63.23,0.0,1,1
1,0,1,0,56.6,0.0,1,1
2,0,2,1,35.78,0.0,0,1
3,0,3,1,45.42,0.0,0,1
4,0,4,1,28.45,0.0,0,1
5,0,5,1,51.12,0.0,0,1
6,0,6,0,68.22,0.0,1,1
7,0,7,1,28.16,0.0,0,1
8,0,8,1,37.02,0.0,0,1
9,0,9,1,43.77,0.0,0,1
10,0,10,0,60.74,0.0,1,1
11,0,11,1,24.23,0.0,0,1
12,0,12,0,60.03,0.0,1,1
13,0,13,0,67.36,0.0,1,1
14,0,14,0,54.54,0.0,1,1
15,0,15,1,35.86,0.0,0,1
16,0,16,0,42.94,0.0,1,1
17,0,17,0,60.04,0.0,1,1
18,0,18,1,38.83,0.0,0,1
19,0,19,0,69.65,0.0,1,1
20,0,20,0,61.93,0.0,0,1
21,1,0,1,53.86,0.0,1,1
22,1,1,1,58.49,0.0,1,1
23,1,2,0,42.1,0.0,0,1
24,1,3,1,65.92,0.0,1,1
25,1,4,1,46.25,0.0,1,1
26,1,5,0,30.52,0.0,0,1
27,1,6,1,45.17,0.0,1,1
28,1,7,1,67.62,0.0,1,1
29,1,8,1,73.78,0.0,1,1
30,1,9,1,57.42,0.0,1,1
31,1,10,0,40.07,0.0,0,1
32,1,11,0,38.86,0.0,0,1
33,1,12,1,72.33,0.0,1,1
34,1,13,0,53.47,0.0,0,1
35,1,14,0,51.16,0.0,0,1
36,1,15,1,56.78,0.0,1,1
37,1,16,0,28.24,0.0,0,1
38,1,17,0,25.64,0.0,0,1
39,1,18,1,55.98,0.0,1,1
40,1,19,0,42.93,0.0,1,1
41,2,0,1,43.17,0.0,0,1
42,2,1,0,63.26,0.0,1,1
43,2,2,1,29.98,0.0,0,1
44,2,3,1,39.58,0.0,0,1
45,2,4,0,63.14,0.0,1,1
46,2,5,0,67.85,0.0,1,1
47,2,6,0,65.2,0.0,1,1
48,2,7,0,45.5,0.0,1,1
49,2,8,1,37.19,0.0,0,1
50,2,9,1,28.0,0.0,0,1
51,2,10,0,63.85,0.0,1,1
52,2,11,1,44.31,0.0,0,1
53,2,12,0,58.86,0.0,1,1
54,2,13,0,58.46,0.0,1,1
55,2,14,0,67.65,0.0,1,1
56,2,15,0,66.92,0.0,1,1
57,2,16,1,35.88,0.0,0,1
58,2,17,0,75.35,0.0,1,1
59,2,18,0,56.7,0.0,1,1
60,2,19,0,74.14,0.0,0,1
61,3,0,1,62.45,0.0,1,1
62,3,1,0,37.8,0.0,0,1
63,3,2,1,61.15,0.0,1,1
64,3,3,1,74.62,0.0,1,1
65,3,4,0,40.01,0.0,0,1
66,3,5,1,73.9,0.0,1,1
67,3,6,1,67.44,0.0,1,1
68,3,7,0,30.93,0.0,0,1
69,3,8,0,35.3,0.0,0,1
70,3,9,0,62.8,0.0,0,1
71,3,10,1,65.99,0.0,1,1
72,3,11,0,51.12,0.0,0,1
73,3,12,0,41.16,0.0,0,1
74,3,13,1,51.96,0.0,1,1
75,3,14,0,19.73,0.0,0,1
76,3,15,1,58.79,0.0,1,1
77,3,16,1,66.19,0.0,1,1
78,3,17,1,45.52,0.0,1,1
79,3,18,0,54.65,0.0,1,1
0,0,0,0,63.2,0.0,1,2
1,0,1,0,61.01,0.0,1,2
2,0,2,1,37.41,0.0,0,2
3,0,3,0,69.04,0.0,1,2
4,0,4,0,48.65,0.0,1,2
5,0,5,0,63.05,0.0,1,2
6,0,6,1,40.59,0.0,0,2
7,0,7,1,36.54,0.0,0,2
8,0,8,0,68.58,0.0,1,2
9,0,9,0,62.48,0.0,1,2
10,0,10,1,40.66,0.0,0,2
11,0,11,0,65.27,0.0,1,2
12,0,12,0,58.54,0.0,1,2
13,0,13,0,63.98,0.0,1,2
14,0,14,0,65.41,0.0,1,2
15,0,15,0,60.63,0.0,1,2
16,0,16,1,40.41,0.0,0,2
17,0,17,0,60.96,0.0,1,2
18,0,18,0,64.45,0.0,1,2
19,0,19,1,34.25,0.0,0,2
20,0,20,0,69.09,0.0,0,2
21,1,0,1,56.4,0.0,1,2
22,1,1,1,62.12,0.0,1,2
23,1,2,0,34.59,0.0,0,2
24,1,3,1,69.23,0.0,1,2
25,1,4,1,51.41,0.0,1,2
26,1,5,1,61.36,0.0,1,2
27,1,6,1,66.03,0.0,1,2
28,1,7,0,48.55,0.0,0,2
29,1,8,0,31.08,0.0,0,2
30,1,9,1,53.79,0.0,1,2
31,1,10,0,36.99,0.0,0,2
32,1,11,1,73.15,0.0,1,2
33,1,12,1,65.09,0.0,1,2
34,1,13,0,36.92,0.0,0,2
35,1,14,0,44.14,0.0,0,2
36,1,15,0,41.38,0.0,0,2
37,1,16,0,29.82,0.0,0,2
38,1,17,1,68.63,0.0,1,2
39,1,18,1,65.61,0.0,1,2
40,1,19,1,61.13,0.0,0,2
41,2,0,1,32.88,0.0,0,2
42,2,1,1,21.53,0.0,0,2
43,2,2,0,54.88,0.0,1,2
44,2,3,0,61.54,0.0,1,2
45,2,4,0,66.73,0.0,1,2
46,2,5,0,59.97,0.0,1,2
47,2,6,1,49.12,0.0,0,2
48,2,7,1,29.32,0.0,0,2
49,2,8,0,52.29,0.0,1,2
50,2,9,0,60.34,0.0,1,2
51,2,10,0,75.22,0.0,1,2
52,2,11,1,31.88,0.0,0,2
53,2,12,0,54.49,0.0,1,2
54,2,13,1,52.87,0.0,0,2
55,2,14,0,55.17,0.0,1,2
56,2,15,0,54.57,0.0,1,2
57,2,16,0,46.9,0.0,1,2
58,2,17,0,57.19,0.0,1,2
59,2,18,1,44.04,0.0,0,2
60,2,19,0,64.25,0.0,0,2
61,3,0,1,62.31,0.0,1,2
62,3,1,0,47.63,0.0,0,2
63,3,2,1,56.98,0.0,1,2
64,3,3,0,43.58,0.0,0,2
65,3,4,0,31.22,0.0,0,2
66,3,5,1,56.84,0.0,1,2
67,3,6,1,61.95,0.0,1,2
68,3,7,1,66.06,0.0,1,2
69,3,8,0,29.31,0.0,0,2
70,3,9,0,34.17,0.0,0,2
71,3,10,0,42.15,0.0,0,2
72,3,11,1,47.08,0.0,1,2
73,3,12,1,56.72,0.0,1,2
74,3,13,0,32.76,0.0,0,2
75,3,14,0,38.85,0.0,0,2
76,3,15,1,63.92,0.0,1,2
77,3,16,1,69.87,0.0,1,2
78,3,17,0,41.26,0.0,0,2
79,3,18,1,60.41,0.0,0,2
0,0,0,0,38.8,0.0,0,3
1,0,1,1,64.57,0.0,1,3
