trial,block,block_trial,choice,reward,confidence,accurate,run
0,0,0,0,40.48,0.0,0,0
1,0,1,0,31.11,0.0,0,0
2,0,2,0,35.34,0.0,0,0
3,0,3,0,34.04,0.0,0,0
4,0,4,1,64.37,0.0,1,0
5,0,5,1,55.64,0.0,1,0
6,0,6,0,37.54,0.0,0,0
7,0,7,0,32.98,0.0,0,0
8,0,8,1,64.4,0.0,1,0
9,0,9,1,65.98,0.0,1,0
10,0,10,0,40.09,0.0,0,0
11,0,11,0,37.93,0.0,0,0
12,0,12,0,44.07,0.0,0,0
13,0,13,1,66.63,0.0,1,0
14,0,14,0,41.34,0.0,0,0
15,0,15,0,53.05,0.0,0,0
16,0,16,0,39.94,0.0,0,0
17,0,17,0,42.55,0.0,0,0
18,0,18,1,71.72,0.0,1,0
19,0,19,1,55.76,0.0,1,0
20,0,20,1,65.47,0.0,0,0
21,1,0,0,59.68,0.0,1,0
22,1,1,1,55.16,0.0,0,0
23,1,2,0,74.03,0.0,1,0
24,1,3,1,38.69,0.0,0,0
25,1,4,0,55.0,0.0,1,0
26,1,5,1,47.18,0.0,0,0
27,1,6,0,58.58,0.0,1,0
28,1,7,0,58.3,0.0,1,0
29,1,8,1,45.31,0.0,0,0
30,1,9,1,49.83,0.0,0,0
31,1,10,1,48.39,0.0,0,0
32,1,11,0,59.6,0.0,1,0
33,1,12,0,71.04,0.0,1,0
34,1,13,0,62.48,0.0,1,0
35,1,14,0,62.46,0.0,1,0
36,1,15,1,45.95,0.0,0,0
37,1,16,0,59.11,0.0,1,0
38,1,17,0,60.64,0.0,1,0
39,1,18,1,42.14,0.0,0,0
40,1,19,1,39.07,0.0,1,0
41,2,0,0,33.46,0.0,0,0
42,2,1,0,36.94,0.0,0,0
43,2,2,1,49.24,0.0,1,0
44,2,3,1,70.87,0.0,1,0
45,2,4,0,54.03,0.0,0,0
46,2,5,0,40.34,0.0,0,0
47,2,6,0,41.66,0.0,0,0
48,2,7,1,63.25,0.0,1,0
49,2,8,1,51.61,0.0,1,0
50,2,9,1,55.27,0.0,1,0
51,2,10,0,41.24,0.0,0,0
52,2,11,0,31.97,0.0,0,0
53,2,12,0,52.54,0.0,0,0
54,2,13,0,31.35,0.0,0,0
55,2,14,0,39.48,0.0,0,0
56,2,15,1,77.02,0.0,1,0
57,2,16,0,37.23,0.0,0,0
58,2,17,0,34.86,0.0,0,0
59,2,18,0,54.19,0.0,0,0
60,2,19,0,46.41,0.0,1,0
61,3,0,1,62.56,0.0,0,0
62,3,1,1,26.62,0.0,0,0
63,3,2,0,55.09,0.0,1,0
64,3,3,1,47.32,0.0,0,0
65,3,4,0,80.74,0.0,1,0
66,3,5,1,33.2,0.0,0,0
67,3,6,0,58.58,0.0,1,0
68,3,7,1,35.24,0.0,0,0
69,3,8,1,38.93,0.0,0,0
70,3,9,1,29.33,0.0,0,0
71,3,10,0,57.06,0.0,1,0
72,3,11,0,58.66,0.0,1,0
73,3,12,1,43.48,0.0,0,0
74,3,13,1,44.25,0.0,0,0
75,3,14,0,47.25,0.0,1,0
76,3,15,0,68.82,0.0,1,0
77,3,16,1,33.31,0.0,0,0
78,3,17,0,61.71,0.0,1,0
79,3,18,0,70.34,0.0,0,0
0,0,0,0,40.33,0.0,0,1
1,0,1,0,32.15,0.0,0,1
2,0,2,1,63.41,0.0,1,1
3,0,3,1,49.67,0.0,1,1
4,0,4,0,39.18,0.0,0,1
5,0,5,0,36.34,0.0,0,1
6,0,6,0,37.98,0.0,0,1
7,0,7,1,64.14,0.0,1,1
8,0,8,0,20.52,0.0,0,1
9,0,9,0,48.69,0.0,0,1
10,0,10,1,75.83,0.0,1,1
11,0,11,0,38.29,0.0,0,1
12,0,12,0,35.66,0.0,0,1
13,0,13,0,36.91,0.0,0,1
14,0,14,1,41.9,0.0,1,1
15,0,15,0,37.72,0.0,0,1
16,0,16,0,30.57,0.0,0,1
17,0,17,1,66.39,0.0,1,1
18,0,18,0,30.15,0.0,0,1
19,0,19,0,48.34,0.0,0,1
20,0,20,0,40.83,0.0,1,1
21,1,0,0,58.35,0.0,1,1
22,1,1,0,51.15,0.0,1,1
23,1,2,1,42.11,0.0,0,1
24,1,3,0,49.51,0.0,1,1
25,1,4,0,64.07,0.0,1,1
26,1,5,1,43.4,0.0,0,1
27,1,6,0,60.74,0.0,1,1
28,1,7,0,56.23,0.0,1,1
29,1,8,0,45.0,0.0,1,1
30,1,9,1,42.12,0.0,0,1
31,1,10,0,65.71,0.0,1,1
32,1,11,1,42.95,0.0,0,1
33,1,12,0,68.66,0.0,1,1
34,1,13,0,45.38,0.0,1,1
35,1,14,0,56.15,0.0,1,1
36,1,15,0,66.01,0.0,1,1
37,1,16,0,60.72,0.0,1,1
38,1,17,1,42.42,0.0,0,1
39,1,18,1,44.88,0.0,0,1
40,1,19,1,37.43,0.0,1,1
41,2,0,0,40.4,0.0,0,1
42,2,1,1,64.55,0.0,1,1
43,2,2,1,54.88,0.0,1,1
44,2,3,1,66.69,0.0,1,1
45,2,4,0,31.6,0.0,0,1
46,2,5,0,43.23,0.0,0,1
47,2,6,0,30.18,0.0,0,1
48,2,7,0,59.24,0.0,0,1
49,2,8,1,67.74,0.0,1,1
50,2,9,1,72.1,0.0,1,1
51,2,10,0,34.26,0.0,0,1
52,2,11,0,34.77,0.0,0,1
53,2,12,0,28.22,0.0,0,1
54,2,13,0,47.39,0.0,0,1
55,2,14,0,40.69,0.0,0,1
56,2,15,1,56.68,0.0,1,1
57,2,16,1,64.34,0.0,1,1
58,2,17,1,55.42,0.0,1,1
59,2,18,0,49.43,0.0,0,1
60,2,19,1,46.87,0.0,0,1
61,3,0,1,44.86,0.0,0,1
62,3,1,1,36.88,0.0,0,1
63,3,2,0,65.17,0.0,1,1
64,3,3,1,52.72,0.0,0,1
65,3,4,0,64.37,0.0,1,1
66,3,5,1,52.66,0.0,0,1
67,3,6,0,55.45,0.0,1,1
68,3,7,0,52.19,0.0,1,1
69,3,8,0,74.29,0.0,1,1
70,3,9,0,57.15,0.0,1,1
71,3,10,1,35.94,0.0,0,1
72,3,11,1,41.91,0.0,0,1
73,3,12,1,44.15,0.0,0,1
74,3,13,0,63.82,0.0,1,1
75,3,14,0,59.65,0.0,1,1
76,3,15,0,66.23,0.0,1,1
77,3,16,1,40.53,0.0,0,1
78,3,17,1,46.98,0.0,0,1
79,3,18,0,61.07,0.0,0,1
0,0,0,0,46.58,0.0,0,2
1,0,1,0,21.7,0.0,0,2
2,0,2,0,36.56,0.0,0,2
3,0,3,0,50.66,0.0,0,2
4,0,4,1,79.27,0.0,1,2
5,0,5,0,35.28,0.0,0,2
6,0,6,0,42.37,0.0,0,2
7,0,7,0,46.35,0.0,0,2
8,0,8,0,22.98,0.0,0,2
9,0,9,0,33.47,0.0,0,2
10,0,10,1,57.08,0.0,1,2
11,0,11,1,52.38,0.0,1,2
12,0,12,1,64.63,0.0,1,2
13,0,13,0,41.99,0.0,0,2
14,0,14,0,38.69,0.0,0,2
15,0,15,1,50.75,0.0,1,2
16,0,16,0,43.1,0.0,0,2
17,0,17,1,51.17,0.0,1,2
18,0,18,0,34.27,0.0,0,2
19,0,19,0,48.21,0.0,0,2
20,0,20,0,39.89,0.0,1,2
21,1,0,0,60.76,0.0,1,2
22,1,1,1,35.33,0.0,0,2
23,1,2,0,62.16,0.0,1,2
24,1,3,1,41.68,0.0,0,2
25,1,4,0,62.32,0.0,1,2
26,1,5,0,55.55,0.0,1,2
27,1,6,0,64.24,0.0,1,2
28,1,7,0,47.82,0.0,1,2
29,1,8,1,40.56,0.0,0,2
30,1,9,0,65.57,0.0,1,2
31,1,10,0,63.59,0.0,1,2
32,1,11,0,61.68,0.0,1,2
33,1,12,1,29.29,0.0,0,2
34,1,13,1,51.79,0.0,0,2
35,1,14,0,46.25,0.0,1,2
36,1,15,1,32.78,0.0,0,2
37,1,16,1,37.58,0.0,0,2
38,1,17,0,69.9,0.0,1,2
39,1,18,1,28.43,0.0,0,2
40,1,19,0,55.36,0.0,0,2
41,2,0,1,53.87,0.0,1,2
42,2,1,0,47.76,0.0,0,2
43,2,2,1,66.84,0.0,1,2
44,2,3,0,42.35,0.0,0,2
45,2,4,0,21.39,0.0,0,2
46,2,5,1,51.38,0.0,1,2
47,2,6,0,44.38,0.0,0,2
48,2,7,1,49.05,0.0,1,2
49,2,8,0,41.0,0.0,0,2
50,2,9,1,67.78,0.0,1,2
51,2,10,0,47.04,0.0,0,2
52,2,11,0,35.89,0.0,0,2
53,2,12,0,39.73,0.0,0,2
54,2,13,0,38.3,0.0,0,2
55,2,14,1,56.74,0.0,1,2
56,2,15,0,40.52,0.0,0,2
57,2,16,0,29.1,0.0,0,2
58,2,17,0,43.76,0.0,0,2
59,2,18,1,67.59,0.0,1,2
60,2,19,1,71.99,0.0,0,2
61,3,0,1,11.86,0.0,0,2
62,3,1,1,35.67,0.0,0,2
63,3,2,0,62.98,0.0,1,2
64,3,3,0,60.06,0.0,1,2
65,3,4,1,37.11,0.0,0,2
66,3,5,1,44.04,0.0,0,2
67,3,6,0,67.72,0.0,1,2
68,3,7,0,69.97,0.0,1,2
69,3,8,1,32.21,0.0,0,2
70,3,9,1,38.78,0.0,0,2
71,3,10,0,57.82,0.0,1,2
72,3,11,0,60.14,0.0,1,2
73,3,12,0,55.98,0.0,1,2
74,3,13,0,57.02,0.0,1,2
75,3,14,0,68.85,0.0,1,2
76,3,15,1,45.85,0.0,0,2
77,3,16,1,43.84,0.0,0,2
78,3,17,1,35.84,0.0,0,2
79,3,18,1,32.35,0.0,1,2
0,0,0,0,55.29,0.0,1,3
1,0,1,0,54.62,0.0,1,3
2,0,2,1,33.9,0.0,0,3
3,0,3,0,52.98,0.0,1,3
4,0,4,1,37.4,0.0,0,3
5,0,5,0,71.06,0.0,1,3
6,0,6,0,65.13,0.0,1,3
