trial,block,block_trial,choice,reward,confidence,accurate,run
0,0,0,0,44.98,0.0,0,0
1,0,1,0,26.76,0.0,0,0
2,0,2,1,65.54,0.0,1,0
3,0,3,0,43.07,0.0,0,0
4,0,4,1,64.32,0.0,1,0
5,0,5,0,30.63,0.0,0,0
6,0,6,1,57.75,0.0,1,0
7,0,7,1,67.37,0.0,1,0
8,0,8,1,62.76,0.0,1,0
9,0,9,0,43.71,0.0,0,0
10,0,10,1,70.34,0.0,1,0
11,0,11,1,45.81,0.0,1,0
12,0,12,0,40.97,0.0,0,0
13,0,13,0,34.57,0.0,0,0
14,0,14,0,34.53,0.0,0,0
15,0,15,1,75.58,0.0,1,0
16,0,16,1,59.15,0.0,1,0
17,0,17,1,74.98,0.0,1,0
18,0,18,0,30.04,0.0,0,0
19,0,19,0,37.89,0.0,0,0
20,0,20,1,52.95,0.0,0,0
21,1,0,0,65.24,0.0,1,0
22,1,1,1,31.31,0.0,0,0
23,1,2,1,52.94,0.0,0,0
24,1,3,1,37.97,0.0,0,0
25,1,4,0,64.99,0.0,1,0
26,1,5,0,56.1,0.0,1,0
27,1,6,0,57.15,0.0,1,0
28,1,7,1,45.01,0.0,0,0
29,1,8,0,62.97,0.0,1,0
30,1,9,0,60.83,0.0,1,0
31,1,10,0,48.78,0.0,1,0
32,1,11,0,50.94,0.0,1,0
33,1,12,1,44.59,0.0,0,0
34,1,13,0,52.12,0.0,1,0
35,1,14,0,59.45,0.0,1,0
36,1,15,1,36.82,0.0,0,0
37,1,16,0,69.85,0.0,1,0
38,1,17,1,39.61,0.0,0,0
39,1,18,1,41.92,0.0,0,0
40,1,19,1,38.88,0.0,1,0
41,2,0,1,52.38,0.0,1,0
42,2,1,1,69.41,0.0,1,0
43,2,2,1,57.8,0.0,1,0
44,2,3,1,55.44,0.0,1,0
45,2,4,0,45.84,0.0,0,0
46,2,5,0,42.04,0.0,0,0
47,2,6,0,42.59,0.0,0,0
48,2,7,0,28.27,0.0,0,0
49,2,8,0,51.15,0.0,0,0
50,2,9,1,53.6,0.0,1,0
51,2,10,1,48.29,0.0,1,0
52,2,11,0,40.93,0.0,0,0
53,2,12,0,45.4,0.0,0,0
54,2,13,0,36.51,0.0,0,0
55,2,14,1,55.2,0.0,1,0
56,2,15,0,38.41,0.0,0,0
57,2,16,0,39.24,0.0,0,0
58,2,17,1,52.37,0.0,1,0
59,2,18,0,35.31,0.0,0,0
60,2,19,0,37.58,0.0,1,0
61,3,0,1,55.63,0.0,0,0
62,3,1,0,73.6,0.0,1,0
63,3,2,1,37.73,0.0,0,0
64,3,3,0,55.81,0.0,1,0
65,3,4,1,36.86,0.0,0,0
66,3,5,0,49.09,0.0,1,0
67,3,6,0,49.19,0.0,1,0
68,3,7,0,58.43,0.0,1,0
69,3,8,0,57.1,0.0,1,0
70,3,9,1,41.56,0.0,0,0
71,3,10,0,66.92,0.0,1,0
72,3,11,0,56.14,0.0,1,0
73,3,12,0,44.64,0.0,1,0
74,3,13,0,57.12,0.0,1,0
75,3,14,1,45.23,0.0,0,0
76,3,15,0,53.51,0.0,1,0
77,3,16,1,49.57,0.0,0,0
78,3,17,1,47.51,0.0,0,0
79,3,18,1,50.53,0.0,1,0
0,0,0,0,69.25,0.0,1,1
1,0,1,0,63.8,0.0,1,1
2,0,2,0,65.92,0.0,1,1
3,0,3,0,46.57,0.0,1,1
4,0,4,1,49.48,0.0,0,1
5,0,5,0,43.09,0.0,1,1
6,0,6,0,48.89,0.0,1,1
7,0,7,1,36.29,0.0,0,1
8,0,8,0,71.24,0.0,1,1
9,0,9,0,49.47,0.0,1,1
10,0,10,0,56.53,0.0,1,1
11,0,11,1,38.8,0.0,0,1
12,0,12,1,45.73,0.0,0,1
13,0,13,0,64.82,0.0,1,1
14,0,14,0,52.32,0.0,1,1
15,0,15,0,52.43,0.0,1,1
16,0,16,0,54.25,0.0,1,1
17,0,17,0,52.56,0.0,1,1
18,0,18,1,42.83,0.0,0,1
19,0,19,1,39.78,0.0,0,1
20,0,20,0,53.11,0.0,0,1
21,1,0,1,51.89,0.0,1,1
22,1,1,1,46.81,0.0,1,1
23,1,2,0,38.31,0.0,0,1
24,1,3,1,64.62,0.0,1,1
25,1,4,1,51.76,0.0,1,1
26,1,5,0,48.72,0.0,0,1
27,1,6,0,26.64,0.0,0,1
28,1,7,0,40.4,0.0,0,1
29,1,8,0,43.85,0.0,0,1
30,1,9,1,83.14,0.0,1,1
31,1,10,0,43.45,0.0,0,1
32,1,11,1,51.19,0.0,1,1
33,1,12,0,47.5,0.0,0,1
34,1,13,0,43.2,0.0,0,1
35,1,14,1,64.93,0.0,1,1
36,1,15,0,36.18,0.0,0,1
37,1,16,0,50.51,0.0,0,1
38,1,17,0,37.9,0.0,0,1
39,1,18,0,38.7,0.0,0,1
40,1,19,1,56.67,0.0,0,1
41,2,0,1,39.28,0.0,0,1
42,2,1,0,66.22,0.0,1,1
43,2,2,1,45.36,0.0,0,1
44,2,3,0,40.58,0.0,1,1
45,2,4,0,50.25,0.0,1,1
46,2,5,1,42.48,0.0,0,1
47,2,6,0,71.95,0.0,1,1
48,2,7,0,58.71,0.0,1,1
49,2,8,0,56.23,0.0,1,1
50,2,9,0,53.54,0.0,1,1
51,2,10,0,63.93,0.0,1,1
52,2,11,1,41.87,0.0,0,1
53,2,12,1,47.36,0.0,0,1
54,2,13,0,56.66,0.0,1,1
55,2,14,0,58.39,0.0,1,1
56,2,15,0,50.28,0.0,1,1
57,2,16,1,46.21,0.0,0,1
58,2,17,1,42.22,0.0,0,1
59,2,18,0,67.24,0.0,1,1
60,2,19,0,67.02,0.0,0,1
61,3,0,0,52.56,0.0,0,1
62,3,1,0,44.41,0.0,0,1
63,3,2,1,60.04,0.0,1,1
64,3,3,1,53.91,0.0,1,1
65,3,4,0,42.4,0.0,0,1
66,3,5,0,44.77,0.0,0,1
67,3,6,0,49.1,0.0,0,1
68,3,7,0,48.56,0.0,0,1
69,3,8,1,69.58,0.0,1,1
70,3,9,0,43.99,0.0,0,1
71,3,10,0,39.38,0.0,0,1
72,3,11,1,52.18,0.0,1,1
73,3,12,0,32.09,0.0,0,1
74,3,13,1,69.57,0.0,1,1
75,3,14,0,44.69,0.0,0,1
76,3,15,0,51.84,0.0,0,1
77,3,16,1,72.63,0.0,1,1
78,3,17,1,54.79,0.0,1,1
79,3,18,1,54.25,0.0,0,1
0,0,0,1,30.75,0.0,0,2
1,0,1,0,57.97,0.0,1,2
2,0,2,0,55.01,0.0,1,2
3,0,3,0,69.16,0.0,1,2
4,0,4,0,57.54,0.0,1,2
5,0,5,1,31.8,0.0,0,2
6,0,6,0,56.85,0.0,1,2
