trial,block,block_trial,choice,reward,confidence,accurate,run
0,0,0,0,38.22,0.0,0,0
1,0,1,1,66.38,0.0,1,0
2,0,2,0,39.69,0.0,0,0
3,0,3,1,54.93,0.0,1,0
4,0,4,0,37.81,0.0,0,0
5,0,5,0,39.45,0.0,0,0
6,0,6,0,41.08,0.0,0,0
7,0,7,0,44.06,0.0,0,0
8,0,8,0,41.71,0.0,0,0
9,0,9,0,43.8,0.0,0,0
10,0,10,1,64.96,0.0,1,0
11,0,11,0,30.99,0.0,0,0
12,0,12,0,39.85,0.0,0,0
13,0,13,0,55.33,0.0,0,0
14,0,14,0,50.28,0.0,0,0
15,0,15,0,48.81,0.0,0,0
16,0,16,0,32.34,0.0,0,0
17,0,17,1,47.9,0.0,1,0
18,0,18,0,45.26,0.0,0,0
19,0,19,0,40.98,0.0,0,0
20,0,20,1,42.38,0.0,0,0
21,1,0,0,59.89,0.0,1,0
22,1,1,1,46.03,0.0,0,0
23,1,2,0,69.0,0.0,1,0
24,1,3,0,55.6,0.0,1,0
25,1,4,1,17.36,0.0,0,0
26,1,5,1,45.76,0.0,0,0
27,1,6,1,41.67,0.0,0,0
28,1,7,0,74.42,0.0,1,0
29,1,8,1,42.19,0.0,0,0
30,1,9,1,26.84,0.0,0,0
31,1,10,0,70.52,0.0,1,0
32,1,11,1,34.61,0.0,0,0
33,1,12,0,58.12,0.0,1,0
34,1,13,0,53.68,0.0,1,0
35,1,14,0,60.52,0.0,1,0
36,1,15,1,38.51,0.0,0,0
37,1,16,1,36.06,0.0,0,0
38,1,17,1,39.55,0.0,0,0
39,1,18,1,39.85,0.0,0,0
40,1,19,0,61.38,0.0,0,0
41,2,0,0,36.03,0.0,0,0
42,2,1,0,39.66,0.0,0,0
43,2,2,0,44.92,0.0,0,0
44,2,3,0,46.08,0.0,0,0
45,2,4,1,50.75,0.0,1,0
46,2,5,0,25.66,0.0,0,0
47,2,6,0,43.46,0.0,0,0
48,2,7,0,38.73,0.0,0,0
49,2,8,1,51.02,0.0,1,0
50,2,9,0,28.33,0.0,0,0
51,2,10,0,41.01,0.0,0,0
52,2,11,0,39.97,0.0,0,0
53,2,12,0,35.75,0.0,0,0
54,2,13,0,42.09,0.0,0,0
55,2,14,1,58.69,0.0,1,0
56,2,15,0,44.23,0.0,0,0
57,2,16,1,65.65,0.0,1,0
58,2,17,0,54.25,0.0,0,0
59,2,18,0,42.71,0.0,0,0
60,2,19,0,23.07,0.0,1,0
61,3,0,0,61.24,0.0,1,0
62,3,1,1,41.57,0.0,0,0
63,3,2,0,50.3,0.0,1,0
64,3,3,0,71.02,0.0,1,0
65,3,4,1,28.96,0.0,0,0
66,3,5,1,51.66,0.0,0,0
67,3,6,0,39.41,0.0,1,0
68,3,7,0,48.83,0.0,1,0
69,3,8,0,62.52,0.0,1,0
70,3,9,1,38.63,0.0,0,0
71,3,10,1,23.96,0.0,0,0
72,3,11,0,48.58,0.0,1,0
73,3,12,1,40.41,0.0,0,0
74,3,13,0,67.37,0.0,1,0
75,3,14,0,54.8,0.0,1,0
76,3,15,0,73.04,0.0,1,0
77,3,16,0,61.54,0.0,1,0
78,3,17,1,54.11,0.0,0,0
79,3,18,1,34.69,0.0,1,0
0,0,0,1,38.15,0.0,0,1
1,0,1,0,50.87,0.0,1,1
2,0,2,1,43.34,0.0,0,1
3,0,3,0,51.84,0.0,1,1
4,0,4,0,48.33,0.0,1,1
5,0,5,0,67.28,0.0,1,1
6,0,6,0,67.02,0.0,1,1
7,0,7,1,39.02,0.0,0,1
8,0,8,1,38.52,0.0,0,1
9,0,9,1,32.71,0.0,0,1
10,0,10,0,50.29,0.0,1,1
11,0,11,0,62.68,0.0,1,1
12,0,12,1,52.84,0.0,0,1
13,0,13,0,68.65,0.0,1,1
14,0,14,1,37.68,0.0,0,1
15,0,15,0,72.27,0.0,1,1
16,0,16,0,65.58,0.0,1,1
17,0,17,1,36.5,0.0,0,1
18,0,18,0,70.57,0.0,1,1
19,0,19,0,54.4,0.0,1,1
20,0,20,1,43.32,0.0,1,1
21,1,0,1,48.33,0.0,1,1
22,1,1,0,40.6,0.0,0,1
23,1,2,0,34.95,0.0,0,1
24,1,3,1,67.61,0.0,1,1
25,1,4,0,30.2,0.0,0,1
26,1,5,0,37.97,0.0,0,1
27,1,6,0,51.7,0.0,0,1
28,1,7,1,50.64,0.0,1,1
29,1,8,0,37.63,0.0,0,1
30,1,9,0,32.54,0.0,0,1
31,1,10,0,37.74,0.0,0,1
32,1,11,0,36.53,0.0,0,1
33,1,12,0,45.81,0.0,0,1
34,1,13,1,66.49,0.0,1,1
35,1,14,0,52.32,0.0,0,1
36,1,15,0,41.09,0.0,0,1
37,1,16,1,53.27,0.0,1,1
38,1,17,0,37.33,0.0,0,1
39,1,18,1,62.16,0.0,1,1
40,1,19,0,31.21,0.0,1,1
41,2,0,0,67.5,0.0,1,1
42,2,1,0,62.22,0.0,1,1
43,2,2,0,70.37,0.0,1,1
44,2,3,1,47.04,0.0,0,1
45,2,4,0,47.39,0.0,1,1
46,2,5,0,46.87,0.0,1,1
47,2,6,0,68.73,0.0,1,1
48,2,7,0,57.24,0.0,1,1
49,2,8,0,63.54,0.0,1,1
50,2,9,0,67.26,0.0,1,1
51,2,10,0,71.7,0.0,1,1
52,2,11,1,33.42,0.0,0,1
53,2,12,0,69.6,0.0,1,1
54,2,13,0,53.74,0.0,1,1
55,2,14,1,35.54,0.0,0,1
56,2,15,0,65.58,0.0,1,1
57,2,16,1,51.29,0.0,0,1
