trial,block,block_trial,choice,reward,confidence,accurate,run
0,0,0,0,58.99,0.0,1,0
1,0,1,0,62.36,0.0,1,0
2,0,2,1,36.88,0.0,0,0
3,0,3,1,42.28,0.0,0,0
4,0,4,1,49.34,0.0,0,0
5,0,5,1,36.87,0.0,0,0
6,0,6,0,45.38,0.0,1,0
7,0,7,1,32.31,0.0,0,0
8,0,8,0,70.87,0.0,1,0
9,0,9,1,44.86,0.0,0,0
10,0,10,1,41.47,0.0,0,0
11,0,11,1,59.16,0.0,0,0
12,0,12,0,53.49,0.0,1,0
13,0,13,0,66.8,0.0,1,0
14,0,14,1,38.38,0.0,0,0
15,0,15,0,53.48,0.0,1,0
16,0,16,0,66.84,0.0,1,0
17,0,17,0,48.29,0.0,1,0
18,0,18,0,65.87,0.0,1,0
19,0,19,1,33.38,0.0,0,0
20,0,20,1,38.43,0.0,1,0
21,1,0,1,47.46,0.0,1,0
22,1,1,1,62.26,0.0,1,0
23,1,2,0,56.3,0.0,0,0
24,1,3,0,42.17,0.0,0,0
25,1,4,0,54.15,0.0,0,0
26,1,5,0,40.53,0.0,0,0
27,1,6,0,42.85,0.0,0,0
28,1,7,0,43.3,0.0,0,0
29,1,8,0,42.99,0.0,0,0
30,1,9,0,28.07,0.0,0,0
31,1,10,0,38.82,0.0,0,0
32,1,11,0,31.86,0.0,0,0
33,1,12,0,48.01,0.0,0,0
34,1,13,1,34.91,0.0,1,0
35,1,14,1,59.1,0.0,1,0
36,1,15,0,34.68,0.0,0,0
37,1,16,0,40.33,0.0,0,0
38,1,17,0,38.73,0.0,0,0
39,1,18,0,52.94,0.0,0,0
40,1,19,0,56.3,0.0,1,0
41,2,0,0,48.7,0.0,1,0
42,2,1,0,60.86,0.0,1,0
43,2,2,0,63.82,0.0,1,0
44,2,3,0,63.46,0.0,1,0
45,2,4,0,51.57,0.0,1,0
46,2,5,1,44.44,0.0,0,0
47,2,6,1,34.76,0.0,0,0
48,2,7,0,74.39,0.0,1,0
49,2,8,0,60.19,0.0,1,0
50,2,9,1,39.63,0.0,0,0
51,2,10,1,38.51,0.0,0,0
52,2,11,0,44.36,0.0,1,0
53,2,12,0,67.67,0.0,1,0
54,2,13,0,71.51,0.0,1,0
55,2,14,1,29.03,0.0,0,0
56,2,15,1,26.1,0.0,0,0
57,2,16,0,61.9,0.0,1,0
58,2,17,1,30.14,0.0,0,0
59,2,18,0,58.04,0.0,1,0
