trial,block,block_trial,choice,reward,confidence,accurate,run
0,0,0,1,54.87,0.0,0,0
1,0,1,1,31.47,0.0,0,0
2,0,2,0,62.69,0.0,1,0
3,0,3,1,39.58,0.0,0,0
4,0,4,1,45.56,0.0,0,0
5,0,5,1,27.02,0.0,0,0
6,0,6,1,41.88,0.0,0,0
7,0,7,1,45.91,0.0,0,0
8,0,8,0,62.58,0.0,1,0
9,0,9,1,43.77,0.0,0,0
10,0,10,0,53.08,0.0,1,0
11,0,11,0,53.44,0.0,1,0
12,0,12,0,60.58,0.0,1,0
13,0,13,0,62.74,0.0,1,0
14,0,14,1,46.91,0.0,0,0
15,0,15,0,59.9,0.0,1,0
16,0,16,0,43.6,0.0,1,0
17,0,17,0,63.61,0.0,1,0
18,0,18,0,48.48,0.0,1,0
19,0,19,1,43.22,0.0,0,0
20,0,20,0,65.52,0.0,0,0
21,1,0,0,52.12,0.0,0,0
22,1,1,0,44.24,0.0,0,0
23,1,2,0,24.92,0.0,0,0
24,1,3,0,45.38,0.0,0,0
25,1,4,1,54.17,0.0,1,0
26,1,5,0,38.38,0.0,0,0
27,1,6,1,68.18,0.0,1,0
28,1,7,1,51.14,0.0,1,0
29,1,8,0,33.43,0.0,0,0
30,1,9,0,40.33,0.0,0,0
31,1,10,0,49.27,0.0,0,0
32,1,11,1,62.96,0.0,1,0
33,1,12,0,35.8,0.0,0,0
34,1,13,0,48.32,0.0,0,0
35,1,14,0,33.15,0.0,0,0
36,1,15,0,34.89,0.0,0,0
37,1,16,1,49.04,0.0,1,0
38,1,17,1,50.77,0.0,1,0
39,1,18,0,40.12,0.0,0,0
40,1,19,0,56.82,0.0,1,0
41,2,0,0,62.62,0.0,1,0
42,2,1,1,16.96,0.0,0,0
43,2,2,0,49.09,0.0,1,0
44,2,3,1,31.18,0.0,0,0
45,2,4,0,56.38,0.0,1,0
46,2,5,1,34.26,0.0,0,0
47,2,6,1,35.35,0.0,0,0
48,2,7,0,50.56,0.0,1,0
49,2,8,0,55.93,0.0,1,0
50,2,9,0,49.95,0.0,1,0
51,2,10,0,68.87,0.0,1,0
52,2,11,1,41.88,0.0,0,0
53,2,12,0,70.7,0.0,1,0
54,2,13,1,45.17,0.0,0,0
55,2,14,0,51.66,0.0,1,0
56,2,15,1,46.61,0.0,0,0
57,2,16,0,73.83,0.0,1,0
58,2,17,1,35.75,0.0,0,0
59,2,18,1,49.16,0.0,0,0
60,2,19,0,62.91,0.0,0,0
61,3,0,0,45.69,0.0,0,0
62,3,1,1,59.86,0.0,1,0
63,3,2,0,42.95,0.0,0,0
64,3,3,1,56.96,0.0,1,0
65,3,4,1,64.42,0.0,1,0
66,3,5,0,29.53,0.0,0,0
67,3,6,0,22.93,0.0,0,0
68,3,7,0,51.89,0.0,0,0
69,3,8,0,42.21,0.0,0,0
70,3,9,0,45.37,0.0,0,0
71,3,10,0,35.71,0.0,0,0
72,3,11,0,44.64,0.0,0,0
73,3,12,0,63.54,0.0,0,0
74,3,13,1,48.17,0.0,1,0
75,3,14,0,46.49,0.0,0,0
76,3,15,0,36.18,0.0,0,0
77,3,16,1,68.33,0.0,1,0
78,3,17,0,38.92,0.0,0,0
79,3,18,0,30.83,0.0,1,0
0,0,0,0,61.46,0.0,1,1
1,0,1,0,54.9,0.0,1,1
2,0,2,1,34.02,0.0,0,1
3,0,3,1,39.83,0.0,0,1
4,0,4,0,64.8,0.0,1,1
5,0,5,1,38.55,0.0,0,1
6,0,6,0,70.13,0.0,1,1
7,0,7,0,61.87,0.0,1,1
