trial,block,block_trial,choice,reward,confidence,accurate,run
0,0,0,1,50.64,0.0,1,0
1,0,1,1,71.33,0.0,1,0
2,0,2,1,48.89,0.0,1,0
3,0,3,1,56.25,0.0,1,0
4,0,4,0,35.86,0.0,0,0
5,0,5,0,42.19,0.0,0,0
6,0,6,0,43.16,0.0,0,0
7,0,7,1,66.81,0.0,1,0
8,0,8,0,39.68,0.0,0,0
9,0,9,0,33.88,0.0,0,0
10,0,10,0,36.29,0.0,0,0
11,0,11,1,49.28,0.0,1,0
12,0,12,1,55.55,0.0,1,0
13,0,13,0,43.88,0.0,0,0
14,0,14,1,40.85,0.0,1,0
15,0,15,1,50.27,0.0,1,0
16,0,16,1,55.32,0.0,1,0
17,0,17,0,32.58,0.0,0,0
18,0,18,1,52.92,0.0,1,0
19,0,19,0,35.51,0.0,0,0
20,0,20,1,54.8,0.0,0,0
21,1,0,0,73.49,0.0,1,0
22,1,1,1,36.8,0.0,0,0
23,1,2,1,35.26,0.0,0,0
24,1,3,1,47.89,0.0,0,0
25,1,4,0,68.5,0.0,1,0
26,1,5,1,28.78,0.0,0,0
27,1,6,0,61.84,0.0,1,0
28,1,7,1,31.07,0.0,0,0
29,1,8,0,60.21,0.0,1,0
30,1,9,0,59.22,0.0,1,0
31,1,10,0,63.71,0.0,1,0
32,1,11,0,58.15,0.0,1,0
33,1,12,1,46.06,0.0,0,0
34,1,13,0,56.37,0.0,1,0
35,1,14,0,62.43,0.0,1,0
36,1,15,1,34.45,0.0,0,0
37,1,16,0,54.5,0.0,1,0
38,1,17,0,69.94,0.0,1,0
39,1,18,0,73.0,0.0,1,0
40,1,19,1,48.43,0.0,1,0
41,2,0,0,39.08,0.0,0,0
42,2,1,0,38.06,0.0,0,0
43,2,2,0,40.41,0.0,0,0
44,2,3,1,58.97,0.0,1,0
45,2,4,0,38.49,0.0,0,0
46,2,5,0,35.34,0.0,0,0
47,2,6,1,65.92,0.0,1,0
48,2,7,0,44.43,0.0,0,0
49,2,8,0,50.4,0.0,0,0
50,2,9,0,41.15,0.0,0,0
51,2,10,1,59.92,0.0,1,0
52,2,11,0,50.27,0.0,0,0
53,2,12,0,41.06,0.0,0,0
54,2,13,1,52.06,0.0,1,0
55,2,14,1,64.29,0.0,1,0
56,2,15,0,42.39,0.0,0,0
57,2,16,0,40.1,0.0,0,0
58,2,17,1,67.09,0.0,1,0
59,2,18,0,48.18,0.0,0,0
60,2,19,0,37.38,0.0,1,0
61,3,0,0,53.93,0.0,1,0
62,3,1,1,33.8,0.0,0,0
63,3,2,1,29.95,0.0,0,0
64,3,3,0,44.12,0.0,1,0
65,3,4,1,41.72,0.0,0,0
66,3,5,1,31.09,0.0,0,0
67,3,6,0,51.67,0.0,1,0
68,3,7,0,49.98,0.0,1,0
69,3,8,0,62.98,0.0,1,0
70,3,9,0,69.05,0.0,1,0
71,3,10,0,65.44,0.0,1,0
72,3,11,1,49.05,0.0,0,0
73,3,12,0,66.12,0.0,1,0
74,3,13,1,38.45,0.0,0,0
75,3,14,0,54.6,0.0,1,0
76,3,15,0,65.09,0.0,1,0
77,3,16,0,51.09,0.0,1,0
78,3,17,1,43.81,0.0,0,0
79,3,18,0,69.86,0.0,0,0
0,0,0,1,43.81,0.0,0,1
1,0,1,1,46.83,0.0,0,1
2,0,2,0,50.47,0.0,1,1
3,0,3,0,51.24,0.0,1,1
4,0,4,1,37.23,0.0,0,1
5,0,5,0,57.85,0.0,1,1
6,0,6,1,46.95,0.0,0,1
7,0,7,0,74.99,0.0,1,1
8,0,8,0,55.63,0.0,1,1
9,0,9,0,56.81,0.0,1,1
10,0,10,0,48.75,0.0,1,1
11,0,11,0,73.35,0.0,1,1
12,0,12,0,44.66,0.0,1,1
13,0,13,0,66.2,0.0,1,1
14,0,14,0,60.53,0.0,1,1
15,0,15,1,32.2,0.0,0,1
16,0,16,1,39.38,0.0,0,1
17,0,17,0,62.52,0.0,1,1
18,0,18,0,60.63,0.0,1,1
19,0,19,0,58.32,0.0,1,1
20,0,20,1,27.94,0.0,1,1
21,1,0,1,65.78,0.0,1,1
22,1,1,1,66.76,0.0,1,1
23,1,2,0,39.26,0.0,0,1
24,1,3,1,81.46,0.0,1,1
25,1,4,0,46.94,0.0,0,1
26,1,5,0,45.42,0.0,0,1
27,1,6,1,72.24,0.0,1,1
28,1,7,0,35.84,0.0,0,1
29,1,8,1,64.5,0.0,1,1
30,1,9,0,53.51,0.0,0,1
31,1,10,0,52.75,0.0,0,1
32,1,11,1,59.24,0.0,1,1
33,1,12,1,63.95,0.0,1,1
34,1,13,1,60.05,0.0,1,1
35,1,14,0,48.43,0.0,0,1
36,1,15,0,37.84,0.0,0,1
37,1,16,1,64.57,0.0,1,1
38,1,17,0,46.59,0.0,0,1
39,1,18,1,66.25,0.0,1,1
40,1,19,1,50.93,0.0,0,1
