trial,block,block_trial,choice,reward,confidence,accurate,run
0,0,0,0,67.64,0.0,1,0
1,0,1,1,39.18,0.0,0,0
2,0,2,0,58.21,0.0,1,0
3,0,3,0,61.48,0.0,1,0
4,0,4,0,68.09,0.0,1,0
5,0,5,0,73.51,0.0,1,0
6,0,6,1,48.88,0.0,0,0
7,0,7,0,53.62,0.0,1,0
8,0,8,1,44.24,0.0,0,0
9,0,9,0,59.61,0.0,1,0
10,0,10,0,58.56,0.0,1,0
11,0,11,0,53.4,0.0,1,0
12,0,12,0,62.83,0.0,1,0
13,0,13,0,59.74,0.0,1,0
14,0,14,1,32.36,0.0,0,0
15,0,15,1,39.91,0.0,0,0
16,0,16,0,54.33,0.0,1,0
17,0,17,0,62.21,0.0,1,0
18,0,18,1,42.86,0.0,0,0
19,0,19,0,68.55,0.0,1,0
20,0,20,1,37.57,0.0,1,0
21,1,0,1,64.05,0.0,1,0
22,1,1,1,60.36,0.0,1,0
23,1,2,0,39.16,0.0,0,0
24,1,3,0,32.53,0.0,0,0
25,1,4,1,63.18,0.0,1,0
26,1,5,0,39.79,0.0,0,0
27,1,6,1,59.19,0.0,1,0
28,1,7,0,33.94,0.0,0,0
29,1,8,0,44.76,0.0,0,0
30,1,9,0,54.92,0.0,0,0
31,1,10,0,31.25,0.0,0,0
32,1,11,1,55.47,0.0,1,0
33,1,12,1,59.33,0.0,1,0
34,1,13,1,69.07,0.0,1,0
35,1,14,0,45.52,0.0,0,0
36,1,15,0,41.37,0.0,0,0
37,1,16,1,56.64,0.0,1,0
38,1,17,0,39.5,0.0,0,0
39,1,18,0,45.45,0.0,0,0
40,1,19,1,62.91,0.0,0,0
41,2,0,1,38.24,0.0,0,0
42,2,1,0,56.91,0.0,1,0
43,2,2,1,38.31,0.0,0,0
44,2,3,0,62.08,0.0,1,0
45,2,4,1,35.83,0.0,0,0
46,2,5,0,44.84,0.0,1,0
47,2,6,1,38.51,0.0,0,0
48,2,7,0,52.24,0.0,1,0
49,2,8,1,42.54,0.0,0,0
50,2,9,0,66.23,0.0,1,0
51,2,10,0,64.25,0.0,1,0
52,2,11,0,51.28,0.0,1,0
53,2,12,0,49.72,0.0,1,0
54,2,13,1,39.85,0.0,0,0
55,2,14,1,50.16,0.0,0,0
56,2,15,0,61.37,0.0,1,0
57,2,16,0,67.99,0.0,1,0
58,2,17,0,65.66,0.0,1,0
59,2,18,0,50.72,0.0,1,0
60,2,19,1,46.07,0.0,1,0
61,3,0,0,43.94,0.0,0,0
62,3,1,0,28.73,0.0,0,0
63,3,2,0,46.46,0.0,0,0
64,3,3,1,70.32,0.0,1,0
65,3,4,0,46.13,0.0,0,0
66,3,5,1,62.75,0.0,1,0
67,3,6,1,56.45,0.0,1,0
68,3,7,0,40.16,0.0,0,0
69,3,8,1,73.01,0.0,1,0
70,3,9,0,41.36,0.0,0,0
71,3,10,1,58.91,0.0,1,0
72,3,11,0,36.95,0.0,0,0
73,3,12,0,39.7,0.0,0,0
74,3,13,0,37.47,0.0,0,0
75,3,14,1,50.55,0.0,1,0
76,3,15,1,57.85,0.0,1,0
77,3,16,0,46.84,0.0,0,0
78,3,17,0,40.07,0.0,0,0
79,3,18,0,42.79,0.0,1,0
0,0,0,1,55.73,0.0,1,1
1,0,1,0,44.19,0.0,0,1
2,0,2,1,51.56,0.0,1,1
3,0,3,0,52.07,0.0,0,1
4,0,4,0,30.83,0.0,0,1
5,0,5,1,49.32,0.0,1,1
6,0,6,0,42.32,0.0,0,1
7,0,7,0,34.61,0.0,0,1
8,0,8,0,23.46,0.0,0,1
9,0,9,1,52.76,0.0,1,1
10,0,10,0,35.49,0.0,0,1
11,0,11,0,36.31,0.0,0,1
12,0,12,0,38.91,0.0,0,1
13,0,13,1,52.45,0.0,1,1
14,0,14,1,57.63,0.0,1,1
15,0,15,0,39.31,0.0,0,1
16,0,16,0,39.75,0.0,0,1
17,0,17,0,35.85,0.0,0,1
18,0,18,0,33.06,0.0,0,1
19,0,19,1,68.12,0.0,1,1
20,0,20,0,41.54,0.0,1,1
21,1,0,0,59.29,0.0,1,1
22,1,1,0,72.92,0.0,1,1
23,1,2,1,31.43,0.0,0,1
24,1,3,1,61.38,0.0,0,1
25,1,4,0,57.61,0.0,1,1
26,1,5,1,54.18,0.0,0,1
27,1,6,0,47.93,0.0,1,1
28,1,7,0,52.06,0.0,1,1
29,1,8,0,53.99,0.0,1,1
30,1,9,0,72.65,0.0,1,1
31,1,10,0,54.17,0.0,1,1
32,1,11,0,49.07,0.0,1,1
33,1,12,0,48.39,0.0,1,1
34,1,13,0,64.4,0.0,1,1
35,1,14,0,62.26,0.0,1,1
36,1,15,1,41.97,0.0,0,1
37,1,16,0,62.36,0.0,1,1
38,1,17,0,55.62,0.0,1,1
39,1,18,0,61.98,0.0,1,1
40,1,19,0,57.12,0.0,0,1
41,2,0,1,62.04,0.0,1,1
42,2,1,0,39.44,0.0,0,1
43,2,2,1,62.52,0.0,1,1
44,2,3,1,72.23,0.0,1,1
45,2,4,0,41.08,0.0,0,1
46,2,5,0,41.42,0.0,0,1
47,2,6,1,48.58,0.0,1,1
48,2,7,0,36.58,0.0,0,1
49,2,8,0,43.29,0.0,0,1
50,2,9,0,44.73,0.0,0,1
51,2,10,0,24.34,0.0,0,1
52,2,11,0,25.41,0.0,0,1
53,2,12,1,64.43,0.0,1,1
54,2,13,0,40.81,0.0,0,1
55,2,14,1,62.66,0.0,1,1
56,2,15,1,60.05,0.0,1,1
57,2,16,0,46.04,0.0,0,1
58,2,17,0,45.91,0.0,0,1
59,2,18,0,38.51,0.0,0,1
60,2,19,1,64.84,0.0,0,1
61,3,0,1,43.87,0.0,0,1
62,3,1,1,32.61,0.0,0,1
63,3,2,0,49.32,0.0,1,1
64,3,3,0,54.34,0.0,1,1
65,3,4,0,67.25,0.0,1,1
66,3,5,1,37.16,0.0,0,1
67,3,6,0,60.29,0.0,1,1
68,3,7,0,56.24,0.0,1,1
69,3,8,0,57.72,0.0,1,1
70,3,9,1,43.9,0.0,0,1
71,3,10,0,57.98,0.0,1,1
72,3,11,0,55.66,0.0,1,1
73,3,12,0,46.05,0.0,1,1
74,3,13,1,47.68,0.0,0,1
75,3,14,1,33.63,0.0,0,1
76,3,15,0,58.71,0.0,1,1
77,3,16,0,64.66,0.0,1,1
78,3,17,0,71.72,0.0,1,1
79,3,18,0,62.07,0.0,0,1
0,0,0,0,50.05,0.0,1,2
1,0,1,1,32.41,0.0,0,2
2,0,2,0,54.41,0.0,1,2
3,0,3,0,55.45,0.0,1,2
4,0,4,1,34.62,0.0,0,2
5,0,5,0,56.96,0.0,1,2
6,0,6,1,33.33,0.0,0,2
7,0,7,1,48.28,0.0,0,2
8,0,8,1,27.48,0.0,0,2
