trial,action1,state,action2,reward,probsA,probsB,probsC,probsD,run
0,X,X,D,0,0.5976620265981041,0.6881417346578795,0.33907202649536666,0.37145334962344245,0
1,X,X,F,1,0.6213377848481703,0.7103418411442752,0.36296981962084596,0.37676805806628433,0
2,Y,Y,K,1,0.6576457243058652,0.7184097177686555,0.38579855421744624,0.38823135708772394,0
3,Y,X,D,1,0.6458434012892511,0.7459626275857033,0.3824683889062018,0.3884180872648101,0
4,Y,Y,J,1,0.6622948207316368,0.75,0.42663060812993564,0.37339357938538764,0
5,X,X,F,1,0.7199432190217712,0.7469362286842773,0.42532146706323737,0.37470867954168824,0
6,Y,X,D,1,0.7319511031828457,0.7148304757214984,0.4356130273204544,0.3796131425657279,0
7,X,Y,J,1,0.6872660872650871,0.6823336849603789,0.4372289934628,0.39976951551734186,0
8,X,X,D,1,0.75,0.6867963064083847,0.40489379918534896,0.38869618089460994,0
9,X,X,D,0,0.7157750747593192,0.6315774560816987,0.423037516206221,0.3974514885051051,0
10,Y,Y,K,0,0.7160523913733059,0.6612661438948665,0.4217508120950074,0.41557551297472145,0
11,X,X,D,1,0.7190928671873587,0.6942413805767849,0.40461231228896516,0.4267162281344585,0
12,X,X,F,1,0.7420447579286711,0.6886706754178377,0.38840093321793745,0.4148120823784157,0
13,X,X,D,1,0.75,0.6999372242496656,0.3908028737541476,0.44884650756952976,0
14,X,X,D,1,0.7379508058250449,0.6892007374755487,0.38039260319258195,0.48598358515754264,0
15,Y,X,F,1,0.7113895528172324,0.734292188926261,0.4202756940886624,0.48600075715369945,0
16,X,X,D,1,0.7339695442108994,0.6792046287931557,0.42461180125794845,0.4855128764919773,0
17,X,Y,J,1,0.7004166167066297,0.6501453554285318,0.4193114194966626,0.48492672020226324,0
18,Y,Y,K,1,0.7016256592453154,0.702835918252344,0.39317106947854036,0.5007648364761665,0
19,Y,X,D,0,0.7116427230346755,0.7072669659617904,0.363755863691701,0.5081563299039913,0
0,X,X,D,1,0.6776301600309974,0.28844850184888027,0.5857090257600737,0.3555572638148738,1
1,Y,Y,J,0,0.704407463770801,0.25,0.5868951022355633,0.32934472922464963,1
2,X,X,D,1,0.7035318991499464,0.25,0.5783302970496328,0.3284874161172222,1
3,X,X,F,0,0.6803055887407874,0.25,0.5332461804118488,0.319521641008115,1
4,X,X,D,1,0.6917728736628537,0.2631585820961954,0.5724694734967115,0.328430038746849,1
5,X,X,D,1,0.6771454287379532,0.2740844350356494,0.5241084219522207,0.32362601566515925,1
6,Y,Y,K,1,0.6690914695517579,0.25,0.5020688319542448,0.3587948061779705,1
7,X,X,D,1,0.6787857869181744,0.2679203148693964,0.4748729251408641,0.3942045652433956,1
8,X,Y,J,0,0.6815302109134391,0.25,0.4807048524739013,0.3647351775800122,1
