trial,action1,state,action2,reward,probsA,probsB,probsC,probsD,run
0,X,X,D,0,0.44340097462245626,0.35790344854593675,0.28856323233282805,0.6614410254661963,0
1,Y,Y,J,0,0.4631527766147243,0.36085498927119897,0.3102560188087384,0.6101107680827388,0
2,X,X,D,0,0.4529857556023998,0.3518727376752493,0.28098402108948367,0.588264506112735,0
3,Y,Y,K,0,0.4407625983326976,0.2784932305737138,0.28715221832244486,0.6191107204175901,0
4,X,Y,K,1,0.4725427140181259,0.3098787729096097,0.29614260223349304,0.5909972869811195,0
5,Y,X,D,0,0.5169814017329546,0.2721740026138625,0.25,0.5899375823416916,0
6,X,X,D,0,0.5159668328001249,0.3119585729859443,0.2578993859033379,0.580245469654619,0
7,X,Y,K,1,0.5080296060062582,0.3055572455586456,0.25446762737076317,0.580677452617031,0
8,X,X,F,0,0.5048131836315254,0.3084933341836614,0.25,0.5928380942568775,0
9,X,X,D,0,0.5171795543179345,0.3454006332167916,0.25,0.5808832865786421,0
10,X,Y,J,1,0.5155547511556551,0.37157733009656674,0.25910004312705504,0.5842194411395655,0
11,X,Y,K,0,0.5139214794452668,0.4121883675992954,0.2513430399599829,0.6217379806475216,0
12,X,Y,J,0,0.4991059611127614,0.4271603960127508,0.2689381206076593,0.6100674322882447,0
13,X,X,F,0,0.4716036074028652,0.42293780586567326,0.25,0.5910182841307569,0
14,X,Y,K,0,0.47859208855134794,0.398063525852171,0.2696116528467659,0.5842574216551837,0
15,X,X,D,1,0.4647807075332192,0.381363390295184,0.2914069509894728,0.590519698045146,0
16,Y,Y,J,0,0.4653549436762179,0.35728265322311736,0.2958968477129091,0.5849648033818308,0
17,Y,Y,J,0,0.4698250748543298,0.34664565515421364,0.2822174972981473,0.5667003368185685,0
18,X,X,D,0,0.4162832967882774,0.3450749135907982,0.25,0.5719729172542446,0
19,Y,X,D,1,0.40019585490684373,0.34841257714733787,0.25,0.5811781334274294,0
0,X,Y,J,0,0.4855061527421731,0.5470506675973278,0.34521450888051286,0.6577334036232619,1
1,X,X,F,0,0.4999215231387463,0.5098561622143909,0.37905236469171594,0.6652126745743013,1
2,X,X,F,1,0.47212604594163604,0.4900004015851175,0.4013188272193488,0.6626770968596519,1
3,X,X,D,1,0.4489941493789427,0.5071865369507849,0.38884936569594836,0.6496516527653019,1
4,Y,Y,J,0,0.44956640341187776,0.4674468789989399,0.377535121382229,0.7086239505544306,1
5,X,Y,J,0,0.4623618886523467,0.47057752578581097,0.3909959957914275,0.670948214796117,1
6,X,Y,J,0,0.4361482241740732,0.46724687556031,0.3901370395980146,0.6395972606686332,1
7,Y,Y,J,0,0.4216606083702955,0.4733000135173519,0.44729943041237336,0.6283703969356746,1
8,X,Y,K,0,0.4347207006772913,0.5139798450881082,0.41626398179590507,0.6054754184874346,1
9,X,X,D,0,0.4184584158194318,0.5437123701271831,0.37209192679336783,0.563245821871841,1
10,Y,Y,K,1,0.3804180526120404,0.5014760636138929,0.3370532906886069,0.5437585811809375,1
11,X,X,D,0,0.3463506397699867,0.5044494015397731,0.34494861099258434,0.5404784484431973,1
12,Y,Y,J,0,0.3314086349586317,0.5119837230517714,0.33320933481203757,0.5492354950316849,1
13,Y,X,F,0,0.367373670217219,0.5124480001130556,0.28705574911147336,0.5244646646978036,1
14,X,X,D,0,0.3358382230868557,0.5152564811764835,0.26975625288209004,0.5206311718893836,1
15,X,X,D,0,0.3173487257670601,0.4837855336246465,0.2538410005806039,0.539672923153752,1
16,X,X,F,1,0.3285797543855452,0.4794443768840173,0.27884787492472624,0.5220679851217856,1
17,X,X,D,0,0.33341232904293394,0.4787147858166559,0.3091595019947029,0.5274460702439894,1
18,X,X,D,0,0.34988816635758907,0.4577328416250276,0.30205265449394464,0.54992427412659,1
19,Y,Y,J,1,0.3621782174717794,0.500928562768615,0.296699335559841,0.5365093103412569,1
0,X,X,D,0,0.3051357729863105,0.6638506142868339,0.6756338663945367,0.7339543859043568,2
1,Y,Y,J,1,0.30780282866379494,0.7012862256718888,0.7016166786041372,0.7321049005474155,2
2,X,X,D,0,0.31510607852897626,0.6982973987723501,0.66010714219843,0.7482344257474437,2
3,X,Y,J,1,0.3498347537011398,0.726786274931406,0.6403838766789786,0.74352772309789,2
4,Y,Y,J,1,0.35052986154088117,0.704618640707387,0.7125938048309066,0.75,2
5,X,X,D,0,0.3972920168014855,0.7227253663637505,0.7293249700669185,0.75,2
6,Y,X,D,0,0.3946354104620945,0.7372682370979682,0.7067158315367482,0.7448586951896627,2
7,X,Y,J,1,0.38186011838645384,0.6904617399319802,0.7084831475748874,0.75,2
8,Y,X,D,0,0.37653602491852434,0.6662971115613681,0.700478600915498,0.7161058950543079,2
9,X,X,D,1,0.42652796068170673,0.6610954913332361,0.7108838552683643,0.6646104029239269,2
10,X,X,D,0,0.4121222533299033,0.6595684475839829,0.7015753841330523,0.7003034928442338,2
11,X,Y,K,1,0.4199685699467663,0.673594215112066,0.6879045519494736,0.7150298312723424,2
12,Y,Y,K,1,0.43885805959236074,0.6475336771833893,0.6569491924523462,0.7358269238247344,2
13,Y,X,D,0,0.47568041120186677,0.6302616628647992,0.6056801911192015,0.75,2
14,X,X,F,1,0.4630560634009788,0.6237676185636896,0.6320828583063082,0.7395735317479821,2
15,X,X,D,0,0.4516781374317935,0.625244406503331,0.6491113018175579,0.75,2
16,X,Y,K,0,0.43180400138698893,0.5892836894671925,0.6414946976493389,0.75,2
17,X,X,D,0,0.4439027025847612,0.5913530022194352,0.632398992616684,0.7407047201056695,2
18,Y,X,D,0,0.46360063726975387,0.6026575074853671,0.6244208353980929,0.75,2
19,Y,Y,J,1,0.46108496399155263,0.5933758299151599,0.6130335748084159,0.7210286566113788,2
0,X,X,D,1,0.3570929208840674,0.3627073267073243,0.7001870872819391,0.6505053727741492,3
1,Y,Y,J,1,0.35478589066558175,0.41333794131425616,0.7045948311132573,0.6404969922109731,3
2,X,X,F,0,0.36972457087419214,0.4237287146767453,0.75,0.636850165697345,3
3,Y,Y,K,0,0.38336547425165934,0.40580752612130466,0.75,0.6368604066422688,3
4,Y,Y,J,1,0.41101820232463687,0.3853858264315903,0.7223144553317515,0.615603054486659,3
5,Y,X,D,0,0.42210634542182,0.37667806087517913,0.75,0.6165141550451946,3
6,Y,Y,J,1,0.48495449536789464,0.405769063202356,0.75,0.6174382011296466,3
7,X,X,D,0,0.5322150933342169,0.3991617985047812,0.7159291995304987,0.5966129523814055,3
8,X,X,D,0,0.5290419162470381,0.38834724957275624,0.7125690247387184,0.5820607591956961,3
9,Y,Y,J,1,0.49463596326505943,0.35965840652077335,0.7198548185230565,0.5347339797359683,3
10,X,X,D,0,0.48519615391909304,0.3719655376599239,0.7151540860289243,0.5924872304884079,3
11,X,X,F,0,0.5037278272026947,0.3782724725902685,0.719783571997884,0.6158328199749055,3
12,Y,Y,J,1,0.4799225561297393,0.3922262242920655,0.7376192440468702,0.6199872764663614,3
13,Y,Y,J,1,0.4623575297406809,0.40509705513225674,0.7172362916839802,0.5910276208758178,3
14,Y,X,F,0,0.46115360486926743,0.41154808432564555,0.7284180103383119,0.5720315004249991,3
15,Y,Y,J,1,0.47320042083788066,0.4477166120143699,0.7132901052223168,0.5526495389816951,3
16,X,X,F,0,0.489148038068902,0.41139095235533035,0.7294148161693838,0.5241310511483411,3
17,X,X,F,1,0.4893719635289772,0.40410263607767133,0.7204167043594454,0.5391209207455605,3
18,X,X,D,1,0.4798528840155835,0.431866523506975,0.701246541096301,0.5653515149767775,3
19,X,X,D,1,0.46305739488252534,0.44669506263244785,0.7005354583178417,0.5487794341362333,3
0,X,X,D,0,0.6142448045175168,0.5274233394133648,0.4879568289610317,0.5869580735710542,4
1,Y,Y,J,0,0.664998291017486,0.5313359015985746,0.49292588173124086,0.5614280915074933,4
2,Y,Y,J,0,0.6545031648647884,0.5215376217513124,0.5151860736069294,0.5493553092793518,4
3,X,X,F,1,0.6345976248313022,0.5189475288080029,0.5359883784078658,0.49967413015335066,4
4,X,X,F,1,0.6069811614594496,0.5087596558532864,0.5701422517651576,0.5121352669520313,4
5,X,X,D,1,0.5874890320801602,0.49892718899267374,0.6210668931959582,0.5472826883139987,4
6,X,X,F,1,0.5755803612656917,0.5028199232338907,0.613510577075289,0.5537383067006867,4
7,X,Y,K,1,0.5539270497812858,0.5166159519548508,0.6138410349326675,0.5571746579823644,4
8,X,Y,J,0,0.5478018321724839,0.4990247588234742,0.6428094829282885,0.5440198187771165,4
9,Y,Y,J,0,0.5281105035098655,0.5137462555987325,0.6581657085994788,0.5485625338827417,4
10,Y,Y,K,1,0.5118687728356985,0.4847032154644367,0.6272197891610367,0.5015690926443697,4
11,X,Y,K,0,0.5072521406571926,0.45364768025148927,0.6480749936808398,0.4689931001235669,4
12,X,X,D,0,0.5018945949220537,0.44819719177203154,0.6567523859152723,0.5000288749734614,4
13,X,X,F,0,0.5071872299720633,0.47720417812931437,0.6485274282743069,0.5047896078396581,4
14,X,Y,J,0,0.5075808941848701,0.49234081797555906,0.630315685854511,0.4678260819207075,4
15,Y,Y,K,0,0.5091718769190209,0.4811816784344298,0.6246117930294635,0.46444179487308196,4
16,X,Y,J,0,0.486760132389681,0.5054552506556028,0.604795361842406,0.4515043382824085,4
17,X,Y,K,0,0.5305652554643898,0.4769050912930039,0.5847415271847963,0.46166649123680337,4
18,X,X,D,1,0.5225944848531093,0.48711575822983466,0.5669002536728333,0.4805324494714198,4
19,X,Y,J,0,0.4950408050133082,0.47614250513345596,0.568446793189785,0.4733132746500799,4
0,X,X,D,1,0.6048628424182246,0.5547550929955816,0.429548563401339,0.41746891598320557,5
1,Y,X,F,1,0.6352680973072904,0.5827602881011182,0.4709785343501351,0.43447544493665846,5
2,Y,X,D,0,0.6341364173577525,0.6018801256368008,0.47064108089290757,0.4344941771042389,5
3,Y,X,D,1,0.6253465171182992,0.634938986819163,0.46988559172689104,0.43174728835040177,5
4,X,X,D,0,0.6029495572922261,0.6183001057068344,0.48636614257639055,0.4275781340642736,5
5,Y,X,D,1,0.5566093342613551,0.6155193818863435,0.4805488106742453,0.4438437509510944,5
6,Y,Y,J,0,0.5894476170695357,0.6135820940178491,0.478036284939234,0.4283368874281356,5
7,X,Y,J,0,0.6455721836372046,0.6139155202052212,0.45270718047355907,0.429750638549909,5
8,Y,X,D,0,0.6315300676198767,0.6393521801262966,0.45048205772607125,0.4513791875914998,5
9,Y,Y,K,1,0.6212982141389827,0.5985081614123122,0.4754691956078327,0.436689924380057,5
10,Y,X,D,1,0.5942640659245445,0.5571817517644589,0.5051566011639411,0.4047998309546145,5
11,X,X,D,1,0.5676670037286543,0.5665039836005249,0.5038161048250012,0.44056338097454495,5
12,X,X,D,1,0.6074221972814583,0.5718973825201443,0.5325702120441206,0.3931745119652363,5
13,X,X,D,1,0.6181525923477519,0.584331416246816,0.5847608041926196,0.40513923135603963,5
14,Y,Y,K,0,0.6534786921105388,0.5848150253974551,0.5924259586659048,0.3974395880159355,5
15,Y,Y,J,1,0.7083104251354374,0.6220707989719249,0.602157845568877,0.37872103766629067,5
16,X,Y,J,0,0.697392259449814,0.621736447093854,0.6133249875506825,0.3749128999066772,5
