trial,action1,state,action2,reward,probsA,probsB,probsC,probsD,run
0,X,X,D,0,0.4183797071602377,0.3029211200560166,0.6122224678313116,0.38711004289235823,0
1,X,X,D,0,0.368907487265612,0.28195618305922626,0.6063698373181133,0.4104131290441135,0
2,X,Y,J,1,0.35895613184944464,0.3411902767682,0.584263826034458,0.4292468114691609,0
3,X,X,F,0,0.3616096916245548,0.36486533624143025,0.5635756163067116,0.389905321132723,0
4,X,Y,K,1,0.341203781957399,0.38849334475363995,0.5550995572795953,0.3966964823666739,0
5,Y,Y,K,1,0.32968498139151436,0.4017374859517667,0.5620701375913073,0.3933729367130014,0
6,X,X,D,1,0.30277585505615795,0.3719810927027488,0.598332667359539,0.42985405520031605,0
7,X,X,F,0,0.29532575464658956,0.37629445382944676,0.5964400102284211,0.41142538163493314,0
8,X,X,D,0,0.2817978830683888,0.4085406716322457,0.6097197181015578,0.42470237974425135,0
9,X,Y,J,1,0.2919733630301761,0.4159973548324955,0.6106698374046649,0.44613656408729657,0
10,Y,X,D,0,0.3226983039620939,0.3976911715009606,0.6196334558318493,0.43249999177072757,0
11,X,X,F,1,0.32354135037299026,0.394325995587262,0.6220720065858976,0.42119403818149026,0
12,X,X,D,0,0.3165797285148413,0.3931948106422615,0.6982708957715332,0.42278978355364694,0
13,X,X,F,0,0.33687940801687716,0.40760680690696677,0.6899223652267988,0.39809787844148337,0
14,X,Y,J,1,0.3261984205473748,0.4119410740663373,0.6770145836583592,0.4434190172161353,0
15,X,Y,K,0,0.3569652142613083,0.4200759352771594,0.6674826293725015,0.43986437372337855,0
16,X,X,F,1,0.37590167653509376,0.4269746925274644,0.6587764859076978,0.4210958075495843,0
17,Y,Y,J,0,0.40068823316467655,0.39850070158487216,0.6331550967696745,0.4466934575749756,0
18,X,Y,K,0,0.41259701607576826,0.4038052957990415,0.6653707691464655,0.42938596992187683,0
19,X,X,D,1,0.4345717893174878,0.39753614106347107,0.6408051091309621,0.45720942797299313,0
0,X,X,F,1,0.5502208957273916,0.39751402027903976,0.4338330562618227,0.6206955642628481,1
1,X,X,F,1,0.5571577778109185,0.4233782743955801,0.4481212758936855,0.5929176781912096,1
2,X,X,D,1,0.5706212440238376,0.39869922629131344,0.41644126144172505,0.5966340261622332,1
3,X,X,D,1,0.5433138327930463,0.44921308666006593,0.44572244969666486,0.6044246189060443,1
4,Y,X,D,0,0.544750520852067,0.40798259316094965,0.48366339454119645,0.5827430307925057,1
5,Y,Y,K,0,0.534681044088834,0.4371865965233587,0.46967611102576956,0.6143182566460343,1
6,X,Y,J,0,0.5167611259381997,0.4500810227143011,0.4774448179564304,0.5537589261895963,1
7,X,X,D,1,0.542981731662257,0.48423287441846763,0.4572976439592004,0.5515689225440521,1
8,X,X,D,0,0.5259908239012133,0.48685900485935174,0.44696378393340014,0.5547805844547298,1
9,X,X,D,1,0.5395384532504094,0.448589820854127,0.4318662111140872,0.5330740002629857,1
10,Y,Y,J,1,0.5167125110707907,0.3982007602038334,0.4179924414200493,0.5334702967954298,1
11,X,Y,J,1,0.5472654205446169,0.41702835322815934,0.3812572156130752,0.4781092997759397,1
12,X,X,F,0,0.529993802430194,0.48049510219886676,0.3829569212270029,0.4993772115604415,1
13,X,X,D,1,0.523278548334856,0.4979040706321535,0.4219934568165004,0.5037407996357414,1
