trial,action1,state,action2,reward,probsA,probsB,probsC,probsD,run
0,X,X,D,1,0.37599551493385613,0.6369067619147557,0.6873159068276885,0.605786928542283,0
1,Y,X,D,1,0.34221624281753366,0.6710358068131902,0.6590007091978917,0.6159583461273146,0
2,X,X,F,1,0.3488430982026267,0.662045765881918,0.6986251640099689,0.6061706866917901,0
3,X,X,F,1,0.3501752715952522,0.6731101751156807,0.7187931014848877,0.6062188488257197,0
4,X,X,D,0,0.3544670866858298,0.7009454001398767,0.706334236284092,0.5642121621031443,0
5,X,X,F,1,0.37867939787279276,0.658674904967478,0.7244183422937386,0.607931283974272,0
6,X,X,F,1,0.4283546640335055,0.6405017238228332,0.6996535612115117,0.5511878423336989,0
7,X,X,F,1,0.42585344290564026,0.6257713603631476,0.6785410316492319,0.5215133103612761,0
8,X,X,F,0,0.4582028599061916,0.6677995770510664,0.6996292600013767,0.551472673763999,0
9,X,Y,J,0,0.42258329282425705,0.6755298559110152,0.6619111531200048,0.5425622099955615,0
10,X,X,F,1,0.4396689054058543,0.6703700178147343,0.6714081066276394,0.5514581325915104,0
11,X,Y,K,0,0.43232616017090997,0.6932352723794315,0.7007633330802738,0.5694527545549539,0
12,X,X,F,1,0.4340098851876687,0.7048863232580913,0.7054838582611875,0.5474423903667672,0
13,X,X,F,0,0.46902886719004105,0.7319879754596257,0.75,0.5622712014450567,0
14,X,X,F,1,0.44257969154687976,0.75,0.75,0.5387201889557955,0
15,X,X,F,1,0.44614591772853396,0.75,0.75,0.5456314493479103,0
16,X,X,F,1,0.4039902661877105,0.75,0.75,0.5306737049094683,0
17,X,Y,K,0,0.3864250719321752,0.75,0.75,0.4949906927262705,0
18,X,X,F,1,0.37629495190508067,0.75,0.75,0.44532748382878334,0
19,X,X,F,1,0.37341678749949164,0.7476308345939183,0.7415598680912641,0.4412566618324697,0
0,X,X,D,1,0.5513617518879165,0.613811613326808,0.42325189308120936,0.642409557044074,1
1,Y,Y,J,0,0.5208142800342718,0.5955835959353226,0.40716837643422815,0.6664855146267997,1
2,Y,Y,K,1,0.5016823143333243,0.622816418660478,0.40818876940424964,0.6738727007837515,1
3,Y,X,D,1,0.4878979411494108,0.6057086640003794,0.4077084218133771,0.6311074670434242,1
4,Y,X,F,1,0.506805697581066,0.6121972364319875,0.40304114754414205,0.6170144936786633,1
5,Y,Y,K,0,0.49498960404460873,0.6088767124575922,0.4250667052911783,0.6097520422872029,1
6,Y,Y,K,1,0.4832740411230411,0.6473120528150149,0.4375823227768143,0.6045609869916637,1
7,Y,X,D,0,0.4459779899801573,0.6685784983357309,0.43365356127062205,0.5867617149759274,1
8,Y,X,D,1,0.4693578273296807,0.6718595516469003,0.45368759313863627,0.586833495607945,1
9,Y,X,D,0,0.4835722056099929,0.6822374903247795,0.4700623305581309,0.5819156500529445,1
10,Y,Y,K,0,0.4262586142306419,0.6407583335436052,0.41748362744679207,0.5966800351118864,1
11,Y,Y,K,1,0.4416257239951638,0.6452326304811665,0.40802325895908875,0.5767480781571608,1
12,Y,X,D,0,0.4204044836378187,0.596052936285884,0.44448374083238423,0.6016302880814697,1
13,Y,Y,K,0,0.4165521285573367,0.5976572078971485,0.419963648573575,0.5579091820770293,1
14,Y,Y,K,0,0.43382535791834054,0.6155660896499677,0.4219359666843336,0.5605187596875938,1
15,Y,Y,K,1,0.4873219138510933,0.5971445274593066,0.38699155464189416,0.5472837008199632,1
16,Y,Y,K,0,0.4375973670213617,0.5873955067159783,0.3718848098169119,0.5615729142082436,1
17,Y,Y,K,1,0.44793738819848183,0.5882052027165091,0.4168024437470087,0.5916664105359699,1
18,Y,Y,K,1,0.42286050840656725,0.6018176227272197,0.44256632453002787,0.5400940317952797,1
19,Y,Y,K,1,0.4661610888414527,0.6177680849769421,0.4427347335679518,0.5138581253113057,1
0,X,X,D,0,0.48070398245901946,0.4181951407640169,0.5836042001164751,0.4974676809059051,2
1,X,X,F,0,0.4921263106111338,0.419021552667757,0.5568657489380017,0.49071234631537974,2
2,Y,Y,J,1,0.47784259110869315,0.37928002929994087,0.5726216219819394,0.4579749329965527,2
3,Y,Y,K,0,0.4405792160268435,0.34786383453308023,0.5669608429357655,0.49596935589768043,2
4,Y,X,D,1,0.4976436725710954,0.3677870623417697,0.5113874676880272,0.5082507373109114,2
5,Y,X,D,1,0.46304959720029776,0.393024805139685,0.5160714847345486,0.5299040093022376,2
6,Y,X,D,1,0.451449510698871,0.3649767663852643,0.4822895098162246,0.514971343129289,2
7,Y,Y,J,1,0.45458316056136683,0.38733396022087596,0.4923553553021692,0.5308314858142089,2
8,Y,Y,J,0,0.443734906394349,0.36572018541386103,0.4918348169722962,0.5528472471633895,2
9,Y,Y,J,0,0.42169746391048946,0.43464231044946416,0.5280931792486058,0.5451949238742412,2
10,Y,X,D,0,0.41002471965226983,0.49086445522722344,0.506980354815391,0.48367116186969517,2
11,Y,X,D,0,0.3723213306857137,0.48141839985702856,0.45338953037101104,0.5029668343271689,2
12,Y,Y,J,1,0.419578711710538,0.4390486179277996,0.47933134683428424,0.5114992442514139,2
13,Y,Y,J,1,0.42301562542866006,0.41292887892614705,0.4694131119882754,0.4956060990511332,2
14,Y,Y,J,0,0.4577861570767907,0.4040655233326697,0.44531625057277063,0.48547370723837796,2
15,Y,X,D,0,0.46206292028989615,0.42386643685946135,0.48633522866398926,0.47870660737555865,2
16,Y,Y,J,0,0.4777964414453915,0.42918827102817386,0.4628988165552655,0.4208331163676784,2
17,Y,Y,J,1,0.48132861079766825,0.46637153947567783,0.4682370066446565,0.435170527706079,2
18,Y,Y,J,1,0.4764743076027887,0.4427336472587104,0.5126537215604915,0.4541791001663974,2
19,Y,Y,J,0,0.46034351376291055,0.4605368863878997,0.5187510852703514,0.43833970439094183,2
0,X,X,D,1,0.2874518267295034,0.321260686335819,0.42619021688578546,0.46924448941418734,3
1,X,X,F,1,0.2874641618505401,0.37646428073905663,0.43171721702559096,0.47944769770874107,3
2,X,Y,J,0,0.2913009453063871,0.4118847334328313,0.41689189252328634,0.4761273756688643,3
3,Y,X,D,0,0.2987132740175825,0.4371436071687965,0.4015664378153804,0.48634699379871393,3
4,X,X,D,1,0.29809973603018575,0.4171654867829716,0.3751725009246705,0.4726447924427207,3
5,X,X,D,0,0.2830581334147594,0.4081123750318094,0.3640495231600748,0.48588618985144877,3
6,X,X,D,0,0.25,0.4147274413830101,0.36852264341982943,0.4931760345270494,3
7,X,Y,K,1,0.26685949967216616,0.4115106830817383,0.33681925668350815,0.4837135970319198,3
8,X,X,D,0,0.27120229397044204,0.4261158209711063,0.34665832667056046,0.4860996070415001,3
9,X,Y,K,0,0.25,0.4215185218032115,0.3339232634346334,0.5201739612220764,3
10,X,Y,K,1,0.28111176888260203,0.4531836846989233,0.3594386871366131,0.5795866058960746,3
11,X,X,D,0,0.3059932390072427,0.5270916856608686,0.3697569756197,0.5638546645220426,3
12,X,X,D,0,0.326135579588444,0.48424755348913895,0.3898180792210979,0.5440329056495821,3
13,X,X,D,1,0.3443301445424097,0.5338275760934201,0.4463133441718665,0.554123665853098,3
14,X,X,D,0,0.3535830101957906,0.5493685230368547,0.5148562905193391,0.5095761971634136,3
15,X,X,D,1,0.3447760376009301,0.5377708149034675,0.5035849867614665,0.527649673876966,3
16,X,X,D,0,0.3453724041765599,0.5536654365360905,0.534437339913723,0.5089106264638616,3
17,X,Y,K,1,0.32683451810173847,0.5840803944611268,0.5418745829582146,0.4563257234095651,3
18,X,X,D,0,0.3469260031366573,0.6084099859339724,0.540788080092572,0.4392007489661252,3
19,X,X,D,1,0.37644515170731074,0.6062545934798269,0.502588061984355,0.4225098299660098,3
0,Y,Y,J,1,0.6003252467876896,0.6487178021543168,0.5521608422197031,0.4399806729280718,4
1,Y,X,D,1,0.6163385958918348,0.6238017645614976,0.5286531308990985,0.441283476562256,4
2,X,X,F,1,0.5948009705850793,0.6198564084081617,0.5218467842182648,0.4411267270146549,4
3,X,Y,K,1,0.5296447877566846,0.627879820727861,0.5443015859611223,0.4355723609788003,4
4,X,X,D,0,0.5535673533845922,0.5913326221690114,0.5390378044352303,0.4300546736690459,4
5,X,Y,K,0,0.5523478584464314,0.544977671997799,0.5610238420593185,0.3914332034638272,4
6,X,X,D,0,0.5822306857496944,0.5941400803244089,0.5069514554258064,0.3512457294470695,4
7,X,X,D,0,0.5899895472443923,0.5993046070819692,0.5171644427950628,0.32083997156182165,4
8,X,Y,J,1,0.6068497746602256,0.612169774092639,0.4987955988085348,0.3382622068514186,4
9,X,X,D,0,0.6211116487041742,0.6412064459780269,0.5064107541254386,0.32202477794975104,4
10,X,X,D,1,0.6073746292316837,0.6782823848433281,0.4903269063602558,0.32586212218490834,4
11,X,Y,J,0,0.5582147351060015,0.6866820112791799,0.4755796465444814,0.29434469330536167,4
12,X,X,D,1,0.5684002055062356,0.6832408297406334,0.4324015575227863,0.2865546085833022,4
13,X,X,D,0,0.5427417577898991,0.6968581319091967,0.4279711058238457,0.26872479261604193,4
14,X,X,D,1,0.5576203095558951,0.7320544613758375,0.4634680024566572,0.3105167165851847,4
15,X,Y,J,0,0.5909182328601326,0.7286449205154084,0.43830732124244687,0.2778208068044315,4
16,X,X,D,0,0.5562732605790458,0.75,0.47514755480790355,0.28122272894774675,4
17,X,X,D,0,0.5290996804344931,0.75,0.4677476200878354,0.2699243945318241,4
18,X,X,D,1,0.4912897831549382,0.75,0.443701776422836,0.25903054321986224,4
19,X,Y,J,0,0.491030084090604,0.75,0.4938254694953203,0.25,4
0,X,X,D,0,0.28426668297714536,0.30972210676921513,0.5297235728726267,0.7485758597722996,5
1,X,Y,K,1,0.3341332720309743,0.2616388574692651,0.5494924343281952,0.75,5
2,Y,Y,J,0,0.3200498882434028,0.2962888254084118,0.4983789241296779,0.75,5
3,Y,Y,J,1,0.3007591960759874,0.3052701224648971,0.5084373710326531,0.75,5
4,Y,X,D,0,0.32703083262812077,0.3052266325308574,0.5046474563349443,0.7372237537634824,5
5,Y,Y,J,1,0.3434628890070231,0.3129273120766596,0.48345681733025536,0.7077488339480916,5
6,Y,Y,J,0,0.3773568585901849,0.3042916030787059,0.4908550078893793,0.730585258484115,5
7,Y,Y,J,0,0.35603732014750866,0.29134164313345157,0.5254727134497647,0.6905775913394141,5
8,Y,X,D,0,0.36589489612394754,0.32379437884084167,0.4965117653900353,0.6976211568287384,5
9,Y,X,D,0,0.36014430126855534,0.33887526133354684,0.46581365655967893,0.7093267786755537,5
10,Y,Y,J,1,0.354032769771005,0.34648993178217385,0.49189066378762136,0.6776816112963576,5
11,Y,Y,J,1,0.3783583152825495,0.3415572712306171,0.4974975014556121,0.6884018830478261,5
12,Y,Y,J,1,0.3939119323109288,0.34420543082294913,0.4830121222519549,0.7373859396679209,5
13,Y,X,D,0,0.4426309066609454,0.29114680584904795,0.4864897081089684,0.7109743176146578,5
14,Y,Y,J,0,0.4186078701344646,0.28809487226636504,0.45365834052464515,0.6870017452273275,5
15,Y,Y,J,1,0.4333278883327624,0.30922507526026366,0.47691690213106064,0.7240804085221413,5
16,Y,X,D,0,0.46527040915656825,0.2809312192571081,0.5058119775861966,0.75,5
17,Y,X,D,0,0.49133359353357176,0.3043792490952885,0.5004703702620866,0.75,5
18,Y,X,D,0,0.5041032905539804,0.27890163100070936,0.49598562442992605,0.7361231715755095,5
19,Y,X,D,0,0.4642668864694016,0.28571905078119464,0.5196299575970285,0.75,5
0,Y,X,F,1,0.6719212719789149,0.3990588470525175,0.7009217165212557,0.6674815053859249,6
1,Y,X,D,1,0.6600339172663072,0.3621185235479423,0.6837002560126604,0.6879687218186677,6
2,X,X,D,1,0.6523162158137161,0.3322571994125413,0.6492633909677614,0.6396789792227449,6
3,X,X,D,1,0.6526244629715352,0.3087758897443549,0.6928044939302785,0.5918997802176631,6
4,X,X,D,1,0.661246188379255,0.3071751982452314,0.7264713605454094,0.6048632512113724,6
5,X,Y,J,1,0.6729080963705947,0.3563786381009149,0.7313201103879874,0.5830239563272654,6
6,X,Y,K,0,0.6742665495941654,0.3457761776220294,0.75,0.6096809859296439,6
7,X,X,D,1,0.6723873591420396,0.34051542249777295,0.7498935826320906,0.6481356313404286,6
8,X,X,D,0,0.6555107391123937,0.30537223031797645,0.7429257165213264,0.6918758600748386,6
9,X,X,D,0,0.6700294545141137,0.3690757615475019,0.75,0.7245452891948679,6
10,X,X,D,1,0.6656553569953518,0.36043276709010935,0.75,0.7259902613710504,6
11,X,X,D,0,0.6981043475224509,0.41409904701969913,0.75,0.7284190517806807,6
12,X,X,D,1,0.6899637169258964,0.37209141690410963,0.7471357893890207,0.75,6
13,X,X,D,1,0.6684586437325332,0.3646480609215493,0.75,0.7494664604177613,6
14,X,Y,J,0,0.6213540519181511,0.35610349420549714,0.7341949667065041,0.75,6
15,X,Y,J,1,0.629806516821913,0.3363683065394926,0.75,0.7446924223504873,6
16,X,Y,K,1,0.5994358105736208,0.3031317259487387,0.7402230337474447,0.7354911082720825,6
