trial,action1,state,action2,reward,probsA,probsB,probsC,probsD,run
0,X,Y,K,1,0.3592915617520186,0.4011520260516342,0.5802493398442231,0.3795632647855105,0
1,Y,Y,J,1,0.4028864173685983,0.38393368299972547,0.5838858905214575,0.34860210987491824,0
2,Y,Y,K,1,0.3806663799867496,0.388707012347449,0.5428460801534718,0.37117200657297134,0
3,X,X,D,1,0.3567774519590749,0.3763702739020666,0.5384730156980837,0.3721712211500979,0
4,Y,Y,J,0,0.3842999282220804,0.3487205292201302,0.5885268388331397,0.3345066324068865,0
5,Y,X,F,0,0.35791996440074925,0.3550320794840409,0.5690233465588366,0.351257668442329,0
6,Y,X,D,0,0.32606032804858626,0.37751395248743835,0.5498455899934064,0.3485578289702692,0
7,Y,Y,J,0,0.3066259671433885,0.3942663946425753,0.5616461010141565,0.3657346427305764,0
8,Y,Y,J,1,0.3162810334431346,0.39429267346377317,0.5397222935943552,0.3855354718005667,0
9,Y,X,D,0,0.3051577730561205,0.4354415521105951,0.5881768947679813,0.40063384176055516,0
10,X,X,D,0,0.2851729225706429,0.43305652636682807,0.579654408648632,0.4234864123660415,0
11,X,X,D,0,0.255779670115995,0.42995473704467146,0.5886154449039595,0.42843329573604505,0
12,X,Y,J,1,0.25,0.45611705961082677,0.6458553806760117,0.44985979934262815,0
13,Y,Y,K,0,0.25,0.4734003538928462,0.6422570346117327,0.4426715408627202,0
14,Y,Y,J,1,0.25736547275678506,0.4438401143655534,0.6417136042375224,0.46465481082946897,0
15,X,X,D,0,0.25,0.498044681516179,0.6391595231857323,0.4878035743158271,0
16,X,Y,J,1,0.25,0.529566002020633,0.6351310286495809,0.4852956598090139,0
17,Y,Y,J,1,0.25,0.5442991440206392,0.6178355985779788,0.48241183917719244,0
18,X,Y,J,1,0.25,0.5376173041921484,0.6371907734940059,0.4832068933000171,0
19,X,Y,J,1,0.25120243232650674,0.5292795420423312,0.6687532176166935,0.48990619823879433,0
0,X,X,D,0,0.6530213466377646,0.4060714900137536,0.4045295714900891,0.6507289487514332,1
1,X,X,F,0,0.6500142625653709,0.4242708738278029,0.35374226055645636,0.6244512398774745,1
2,X,X,F,0,0.6176482057178211,0.38348739138652377,0.33805473552559245,0.6688851800231996,1
3,Y,Y,J,0,0.6279932817942296,0.38120953143048847,0.3021038121865116,0.6708355081497964,1
4,Y,X,D,0,0.6130488256097694,0.40618600845278185,0.30053313074671156,0.7154001461287072,1
5,Y,Y,J,0,0.6305609986057421,0.4003823530566414,0.2927883325707592,0.729982226659568,1
6,X,X,F,1,0.6325374686173251,0.40610606214380207,0.295075792412804,0.743391241346092,1
7,Y,Y,J,0,0.6037065772302254,0.4121705583178159,0.2901041044135268,0.75,1
8,X,Y,J,0,0.5893535759651408,0.4102920490467668,0.3065533340284701,0.7492698403414568,1
9,X,X,D,1,0.5783214875741499,0.4127375124853807,0.31549759782977443,0.75,1
10,Y,Y,K,1,0.5923460862967002,0.40652401153881507,0.3546202961377418,0.75,1
11,X,X,D,0,0.568360750802193,0.4036197265976419,0.3986259030066464,0.75,1
12,X,Y,J,0,0.5665268583388212,0.4178752329202991,0.38924569493341216,0.7268434586775764,1
13,X,Y,J,1,0.5386875338980279,0.4323187655848653,0.40483278671009837,0.702935450644359,1
14,Y,X,F,0,0.5614385941168549,0.4422965330990801,0.38546254182311684,0.7181531625921853,1
15,X,X,F,1,0.5641639140707789,0.5134346997671398,0.3632465007921163,0.7136050587585413,1
16,X,X,D,0,0.5534843617251779,0.5171875165906027,0.36573222260535176,0.6840585285435122,1
17,X,X,D,0,0.5752096623919934,0.4740574453866462,0.33301491274939754,0.6809460656363614,1
18,X,X,F,0,0.5880638352116633,0.4516617369879903,0.2894500877418208,0.6726455539903121,1
19,X,X,F,0,0.5383423003463468,0.44699630867176016,0.31553738449811164,0.7055680726787718,1
0,Y,Y,K,0,0.694421490927359,0.5937097067121161,0.6504617603690883,0.30279129072274663,2
1,X,X,D,1,0.6649315351101716,0.6125763201714817,0.6713138610304961,0.2955475431860617,2
2,X,Y,J,1,0.6896622192613618,0.5918873466332013,0.6324464992546726,0.32173855318821665,2
3,Y,Y,K,1,0.7137481708803918,0.5924828313737484,0.6256073178932777,0.30387133577707803,2
4,X,X,D,1,0.7000528484621436,0.5860767947561846,0.6494450767208548,0.33009028335182583,2
5,X,X,D,1,0.7160891433854245,0.6098149959007962,0.6337724030467753,0.2964549533456756,2
6,X,X,D,1,0.7225433730115858,0.616393553134438,0.647818382971301,0.3313745661017582,2
7,X,X,F,0,0.7111501384984646,0.647863598594526,0.667891573933437,0.3176566882089959,2
8,X,Y,J,1,0.7462871657210158,0.6786909148190967,0.6894818270605311,0.32218621037238876,2
9,Y,Y,J,1,0.7320789855923775,0.6937163263533984,0.702345235297624,0.29334908742418303,2
10,X,Y,K,1,0.7425257385627597,0.6656587688689657,0.672479842158585,0.2816407552098278,2
11,X,X,D,1,0.75,0.6686564087257715,0.6805368144469268,0.2785365287188135,2
12,Y,X,D,1,0.7436113041559818,0.6609386298841861,0.6163915395116641,0.3214485122217882,2
13,Y,Y,J,0,0.7043368613631065,0.6623652489589313,0.6369486134598416,0.3022283263274421,2
14,Y,Y,J,1,0.7277725010926633,0.6852911348744303,0.6013632606096677,0.3126335748493,2
15,Y,Y,K,1,0.7023592137989467,0.6824163680576798,0.5623361756872635,0.3201291160350836,2
16,X,X,D,0,0.7172274333430749,0.678777992718522,0.5831085668078902,0.30396074142922624,2
17,Y,X,D,1,0.7179045481954751,0.6932514677605862,0.6293235425391006,0.32023089694791756,2
18,X,X,D,1,0.7429170460438174,0.6849055729626564,0.6116721779702476,0.32232227348351594,2
19,Y,X,F,0,0.7441283733915407,0.67521026036853,0.5858066708310548,0.33451724239180025,2
0,X,Y,J,0,0.25520433641997203,0.43813769190397417,0.6711593775273326,0.28938313790497544,3
1,X,X,F,0,0.253812140400217,0.3982916780422121,0.7046913090289099,0.2517740424314805,3
2,X,X,F,0,0.25174550230063647,0.37794791441018794,0.7127296973877727,0.25,3
3,X,X,D,1,0.25075066818544917,0.37232274918076647,0.7107959499423031,0.25590506636748145,3
4,Y,Y,K,0,0.25,0.3736470154022906,0.7121814928718151,0.25,3
