trial,action1,state,action2,reward,probsA,probsB,probsC,probsD,run
0,Y,X,F,0,0.492861964067601,0.4654053294875163,0.46940960413051963,0.525024725494442,0
1,Y,Y,J,0,0.5139028717747733,0.44804147846575426,0.4966804069465096,0.5630301106953776,0
2,X,X,F,0,0.5162831590904536,0.44462638580828084,0.5072682134703422,0.5589639168848438,0
3,X,X,D,1,0.5363940750849432,0.42079453578692827,0.4628122045107538,0.5509970519680562,0
4,Y,X,D,1,0.5415956857762375,0.44175826248655053,0.4636512228631309,0.522794208419768,0
5,X,X,D,0,0.5637665886757107,0.4425640521227661,0.4871544185525108,0.5072164111061319,0
6,X,Y,K,0,0.5085258827683748,0.4208546905653663,0.47681902862732967,0.48191297054014515,0
7,X,X,D,1,0.5016587431389053,0.4448290113424854,0.44838456818807515,0.4847415780474741,0
8,Y,X,D,0,0.4920218022224957,0.43123357006817964,0.4245808463714868,0.5322462096744828,0
9,X,X,D,0,0.46754828064588616,0.3992050629779646,0.40612018424248375,0.5091904535681142,0
10,X,X,D,1,0.435892401877601,0.45083851145673987,0.44243560130607995,0.520920613439693,0
11,X,Y,K,1,0.5189230111192883,0.4232161049088192,0.40246392177896473,0.5346131964297174,0
12,X,X,D,0,0.48125738555906145,0.43625271711900676,0.4044633917746147,0.5435126863030199,0
13,X,X,D,0,0.4519397373414525,0.44501195779895036,0.3934010744709863,0.5610037262970768,0
14,X,Y,J,1,0.4627943324748049,0.4312539109881919,0.39443307554991014,0.5731992408036244,0
15,X,X,D,0,0.47925490884345334,0.47243173553676804,0.3679692205331192,0.5532498076845117,0
16,X,Y,J,1,0.4826804491049078,0.4766517111920076,0.3951995915908885,0.5700602332596367,0
17,X,Y,J,1,0.4576944415987124,0.5079287924942104,0.40795461884703305,0.5907069783998394,0
18,X,Y,J,0,0.46875739236675723,0.4924627139431898,0.39112678818110674,0.5989183692696296,0
19,X,X,F,0,0.4764096642628862,0.5043871784312698,0.4019369107309963,0.6360317514565671,0
0,Y,X,F,0,0.32580198591047294,0.4609875516417698,0.46439337785216306,0.4951562814266642,1
1,X,Y,K,1,0.3129113965308553,0.47192756390915735,0.4495432233452928,0.49762840875458886,1
2,X,X,F,0,0.31557798118772096,0.48191645357655866,0.45737780333055367,0.4935799818290713,1
3,X,X,D,0,0.3161456482033306,0.4970672515638139,0.4400165588205783,0.4977115884363933,1
4,Y,Y,K,1,0.3479548277966809,0.45060346870721835,0.4067918647997495,0.537985583332806,1
5,Y,X,F,1,0.33748951750081185,0.4523243157744576,0.4493851186871317,0.522745999693774,1
6,X,X,D,1,0.36037329676896657,0.40323724522371895,0.45647737420758183,0.5392586432776405,1
7,Y,Y,J,1,0.3659114099154216,0.41707766120098466,0.4464342153526036,0.5583088512240821,1
8,Y,X,D,0,0.339799358807761,0.4100211520676218,0.4430458698081167,0.552462224825784,1
9,Y,Y,J,0,0.3700509702345475,0.3920786854833478,0.4568350222467284,0.5328282999197306,1
10,X,X,D,0,0.35909281342621185,0.41301619005446316,0.4667924553609138,0.5736589896974149,1
11,Y,X,D,1,0.35249517780743506,0.41775171991981475,0.47714741503181185,0.6047558752721433,1
12,Y,X,F,1,0.3301260186091633,0.4365064347073233,0.4722739449441867,0.6095662471046636,1
13,Y,Y,J,1,0.34093372190492033,0.4387353729270542,0.4559721425004353,0.6451354711000211,1
14,X,X,D,0,0.3564758780983582,0.46864895484352176,0.48663419323217183,0.6688196807177763,1
15,X,Y,K,0,0.34346896898663726,0.44432090513061606,0.4889667708305588,0.6633505564970478,1
16,X,Y,K,0,0.36308480897501705,0.4232615592379435,0.47273213300901096,0.6747602687973213,1
17,X,X,D,0,0.39374372287696247,0.42031895077007475,0.4692027990085435,0.6643105947299777,1
18,X,Y,K,1,0.3755168119972266,0.4027199305477433,0.4393204096224235,0.6737076151765523,1
19,X,X,D,1,0.3848499530593306,0.40674581786276537,0.46904806598777515,0.7134543098068613,1
0,Y,Y,J,0,0.664457280143725,0.5168583679906942,0.4538753603394489,0.39076203105683366,2
1,X,Y,K,0,0.6231160639968887,0.4953857398524546,0.4347158272014508,0.42071620073636623,2
2,Y,Y,J,0,0.6061827106518751,0.48750938482822814,0.4060743034183717,0.45190523920135517,2
3,X,Y,K,0,0.6256907282786252,0.44503842182198544,0.4032802832026771,0.44930453251390945,2
4,X,Y,K,0,0.6424159258093364,0.45612078519765165,0.4317826494768769,0.46410922459293097,2
5,Y,Y,K,0,0.6520484558337974,0.42282687483387943,0.4378353281870289,0.4639645305341314,2
6,X,Y,K,1,0.6793827624028088,0.40289984378337046,0.42898444891834775,0.500769431074305,2
7,Y,Y,K,0,0.6640815754139249,0.40905774534448885,0.4496978203984179,0.49403019305074775,2
8,Y,Y,K,1,0.6510758555094812,0.42204254868230934,0.4406018472355465,0.5052744106444401,2
9,X,X,D,1,0.6894072838283617,0.4263605181236513,0.4012767696776287,0.47292147420651287,2
10,Y,Y,J,1,0.7124567540791419,0.4164506623654712,0.4258176950196963,0.48114790241357835,2
11,Y,Y,J,1,0.7430537764154648,0.38727121457539626,0.44146307674341007,0.4513390164163883,2
12,X,X,D,0,0.7323230831838259,0.4095621395240918,0.4564031534825414,0.40720707581938004,2
13,Y,Y,K,0,0.7219112978716068,0.3444570042081825,0.4054695569204057,0.41015264847122657,2
14,X,X,D,1,0.7358496814488051,0.38663839925404864,0.39420586278301717,0.43231260703873475,2
15,X,X,D,1,0.75,0.3773434019515357,0.39094448528603615,0.44089444965754754,2
16,X,Y,J,1,0.7315335684252788,0.38222763761866185,0.37018306814169266,0.4134305028149405,2
17,X,Y,J,1,0.684553462016605,0.38785199177575497,0.3549245519527872,0.3869496400347062,2
18,X,X,D,1,0.6430232899551964,0.39636278126732294,0.33616407236477497,0.4072215382801688,2
19,X,X,F,0,0.6458789967483403,0.3950228187707452,0.34133179418660403,0.44056631414700115,2
0,Y,Y,K,0,0.39403178373173414,0.5119267923768309,0.6702004975235551,0.4344277413498407,3
1,Y,Y,K,1,0.396975019023179,0.4947069832823156,0.6816093285941318,0.4746677009618192,3
2,X,Y,J,0,0.39585153368826187,0.4979550083601719,0.6865459997183544,0.48046722413757625,3
3,X,Y,K,0,0.41761089685343517,0.4578103015777888,0.6949937797946792,0.4881970156497841,3
4,X,Y,K,0,0.4389707627075038,0.48507656979625047,0.6818695342385122,0.5163305318363003,3
5,X,X,D,0,0.4692181623449861,0.48698269044717246,0.6730355226300125,0.5085709646580802,3
