trial,action1,state,action2,reward,probsA,probsB,probsC,probsD,run
0,Y,Y,J,0,0.4073472422519511,0.6695114411663068,0.5331526467912606,0.5150855036312423,0
1,Y,Y,J,1,0.37538181878845756,0.6652472210220928,0.5489547521398688,0.534938707258268,0
2,Y,Y,J,0,0.39181622997353993,0.6473221637391933,0.5611619902446645,0.550004801165749,0
3,X,X,D,1,0.3955922109970555,0.668812877072204,0.5587131454987276,0.5108835250708251,0
4,X,X,D,0,0.3933058588727306,0.6437712512430742,0.5658184830693124,0.5191938158895526,0
5,X,X,F,1,0.38102972590264983,0.6450701287780936,0.5897634734819047,0.5355508273795332,0
6,X,X,D,0,0.3665000812113322,0.5874973123692869,0.6058657616407052,0.5221169638966273,0
7,X,X,F,0,0.36250148369110347,0.5849234146932784,0.5543457684321075,0.5709874030099502,0
8,X,X,D,0,0.36493467574666716,0.6243626607405237,0.5556493048951469,0.5525965151824292,0
9,Y,Y,K,1,0.4142567752380849,0.6060318573875074,0.5498437921322994,0.5959194640566303,0
10,X,X,F,0,0.3606002594676386,0.5749688491969056,0.5470850728095242,0.5984796622737519,0
11,X,Y,K,1,0.3891867909687715,0.5920282738490209,0.573865105701763,0.5915044093387397,0
12,X,X,F,0,0.37863506889797244,0.6084049493261079,0.6003283996865768,0.6004723334447942,0
13,Y,Y,J,0,0.4208096881374807,0.6113002413566719,0.6227094734514665,0.6128908104404499,0
14,X,X,D,0,0.4277735208731968,0.6274991084150456,0.602557320324297,0.58583734816208,0
15,X,Y,J,1,0.45205501886088817,0.6564599074189853,0.6327160663753033,0.5495875641944729,0
16,Y,X,D,0,0.4799929887501848,0.6540075238766605,0.6769960116855143,0.5309538068287047,0
17,Y,Y,J,0,0.4899764606232815,0.6857145182703921,0.6327657558452922,0.5331145889717561,0
18,X,Y,J,1,0.44874669157190195,0.6828859057897947,0.6397400168318558,0.5374376348879333,0
19,X,X,F,1,0.44883558928040734,0.6378310658427608,0.6493436961783771,0.5724468515778047,0
0,Y,Y,J,0,0.3193009584261606,0.2584973099466454,0.5743248450840293,0.6063297834405819,1
1,X,X,F,0,0.2786745213275948,0.25,0.5955119591754623,0.6177693302300747,1
2,X,X,D,0,0.25916105674690604,0.25,0.6305826565384935,0.5571051160695963,1
3,X,Y,J,0,0.250482136850594,0.25,0.6246754599950236,0.5796119359728917,1
4,X,X,D,1,0.2621467672727256,0.25,0.6780794267324424,0.5627865808008609,1
5,Y,Y,J,1,0.27095407222922674,0.25,0.713897959389999,0.5671382520663723,1
6,X,X,D,0,0.26702760803822007,0.25,0.7133895878369381,0.5468778784402241,1
7,Y,Y,K,1,0.27721525720861456,0.26758072088599666,0.7363906276877944,0.536493087144053,1
8,X,X,F,0,0.28850953765249165,0.252149649961659,0.7281251640532831,0.5652572526612991,1
9,Y,X,F,1,0.2739768854338313,0.25,0.7319076058760504,0.5610892418817207,1
10,Y,X,F,0,0.29033512721718474,0.25,0.75,0.5742618826832658,1
