trial,action1,state,action2,reward,probsA,probsB,probsC,probsD,run
0,X,Y,K,0,0.3144779472724322,0.6935782887540518,0.34125808411350905,0.35568301166809074,0
1,X,Y,J,1,0.2936997043711577,0.6552895289935934,0.32060730525878645,0.3628826910442949,0
2,X,X,D,1,0.2664148826088441,0.6407526921479763,0.32900507519189415,0.3286737035867979,0
3,X,Y,K,0,0.25,0.6055262700050399,0.37639856013606876,0.29884217843088123,0
4,X,X,F,1,0.25,0.57034314518252,0.38912574741169864,0.31441073451556734,0
5,X,X,F,1,0.2518884279026461,0.5772938004728475,0.39406706829835925,0.30850707639771374,0
6,X,X,D,1,0.2881224497976334,0.5917290266420744,0.36367762347493005,0.3041041372445704,0
7,X,X,D,0,0.28314789275202806,0.6251304176640784,0.3777065984835885,0.2905001475259545,0
8,Y,Y,K,0,0.28619680310174894,0.6667140991124767,0.3601323699529116,0.2958134387624053,0
9,Y,Y,K,1,0.28755440834076834,0.6807836060530785,0.364734657182534,0.29589782106215595,0
10,X,X,F,1,0.3133910056306772,0.7128111675017459,0.3664398085335191,0.26449225498650425,0
11,Y,X,D,0,0.28560957124076614,0.6694867706857166,0.3856275370064292,0.2621769680569501,0
12,X,X,F,1,0.28962972380437596,0.665340204625238,0.3912063537022497,0.2625296601247831,0
13,X,X,F,0,0.320807026428621,0.672265158196849,0.41364071875649316,0.283740116851762,0
14,X,X,F,1,0.3181501933562064,0.6116501038132149,0.410840524710367,0.2853945297563057,0
15,X,Y,K,1,0.33969855621105294,0.5622664261035706,0.39160688123320314,0.2820979810719102,0
16,X,Y,K,1,0.34678611695872236,0.5942772478257945,0.3999107804021532,0.3177369702342972,0
17,X,Y,K,0,0.3676488061052683,0.6329141276695376,0.4257000365914079,0.3327281172808055,0
18,Y,X,D,0,0.3911319393234174,0.6420273777554937,0.4277294671711424,0.3828151471347697,0
19,X,X,D,0,0.4329195258208481,0.6792576995381586,0.4598979488713848,0.337682710864368,0
0,X,X,F,0,0.5419995042038741,0.48069140244561764,0.49400344681931063,0.73702536535644,1
1,Y,X,D,0,0.5193614337470126,0.4472497312276127,0.5177294288473503,0.7166460217822163,1
2,X,X,D,1,0.5462419971411578,0.4443928502114517,0.5631826574946213,0.7011392727180601,1
3,X,X,D,1,0.6144170456497279,0.45931108758582784,0.5940240081804496,0.7127679582243998,1
4,X,X,D,1,0.6546122246052836,0.47374881819722847,0.5614648078210651,0.7145766846470025,1
5,X,X,F,0,0.5850486386575011,0.4836434180880602,0.5861619796781311,0.7255234230718449,1
6,X,X,D,0,0.5999376356666457,0.46388182530291283,0.6147515531279811,0.7417288479437237,1
7,X,X,D,1,0.591087146100796,0.5114589091155443,0.6225531791075579,0.7185664432257558,1
8,X,X,D,1,0.5768278618839289,0.5138064595385171,0.6781509507610877,0.7264922243624363,1
9,Y,X,D,1,0.5642915949859963,0.5214778461289669,0.7238259609551467,0.7254075278904859,1
10,X,X,D,1,0.5342072355657149,0.5087539678837681,0.7010478554858732,0.7202937251703811,1
11,X,X,F,1,0.5345622886685276,0.4514951912172602,0.6824503333884782,0.7106424643061647,1
12,X,X,D,0,0.5641776469203457,0.4605330991628364,0.6975019090844142,0.7426829521064319,1
13,X,X,F,0,0.5692670031688641,0.4551781579896466,0.6611839629302365,0.7447436078897517,1
14,X,X,F,0,0.5806523041127988,0.4295041843496437,0.6551710615659342,0.75,1
15,X,Y,K,0,0.5800554214023849,0.4341544697215293,0.648161612158259,0.75,1
16,Y,Y,J,0,0.551256676972995,0.43099630459874694,0.6341455028799922,0.75,1
17,X,X,D,0,0.5590655571387592,0.4047467867650493,0.6425652201750123,0.75,1
18,X,X,F,1,0.558882151319102,0.38334986296620943,0.6483474901445864,0.75,1
19,Y,Y,J,1,0.5445221016549412,0.38258624121070006,0.6714005374754524,0.6984259882503996,1
0,Y,Y,K,0,0.444480357747204,0.354189252509334,0.5601945449659758,0.42202469925632496,2
1,Y,Y,J,0,0.45781469537994324,0.35151140346924376,0.5558712537042237,0.472623830285846,2
2,X,Y,K,1,0.46477933850276815,0.30154607560747676,0.5953581163000418,0.44150389238642845,2
3,X,Y,J,1,0.44593395835954763,0.31216636526411806,0.6122240138153556,0.45691250241977155,2
4,X,X,D,1,0.47268508682405663,0.3418292186567274,0.6160829724565065,0.48554412392312696,2
5,X,Y,J,0,0.4975357302007398,0.3689315182507284,0.6132085859192741,0.484551540338711,2
6,X,Y,J,1,0.48089706490751966,0.3696563431753112,0.6077171009896035,0.5374521140938782,2
7,X,X,F,1,0.49877218216329366,0.36827559190936904,0.6283111628100548,0.5521754986933388,2
8,X,X,D,1,0.45048552271042674,0.3676125869246276,0.6456990744801138,0.5840539666144376,2
9,X,X,F,0,0.45032846300021095,0.38718633430158117,0.6432512888830275,0.5971251369009349,2
10,Y,Y,J,1,0.441372102842669,0.37850393356373013,0.6637694046387101,0.5724573824801001,2
11,Y,Y,J,1,0.44375476499814837,0.40050065616541247,0.6717913858517222,0.5880564870833196,2
12,X,X,D,1,0.43777315961486324,0.41642167675403324,0.70289492022292,0.58302691249783,2
13,Y,Y,J,0,0.4501026920276943,0.4267219769266531,0.7484556354375156,0.566635796332535,2
14,X,X,D,1,0.45458714275908785,0.4164929930184002,0.7252508769476251,0.5837488134674338,2
15,X,X,D,0,0.48610911747311714,0.4711008675713838,0.7205057002596041,0.5245480430479793,2
16,Y,X,D,1,0.46315825381802145,0.4261851047179794,0.6930612022370313,0.5441412213155772,2
17,X,X,D,0,0.4243423458705792,0.40176464795409367,0.6478491157769072,0.5466877666042432,2
18,X,X,D,1,0.4412468724277079,0.4082904239237928,0.6156385474969318,0.5126513670927049,2
19,X,Y,J,1,0.4925058970163218,0.37913144673029764,0.6023321390555146,0.4494443299314338,2
0,X,X,D,1,0.3031801685500591,0.5890108436454202,0.7256432908253057,0.4233957424789135,3
1,X,Y,J,1,0.28126062314703526,0.6064467251805116,0.716733490704301,0.430853551757361,3
2,X,X,D,1,0.25,0.6420597115818059,0.7368550613923082,0.4360699534938744,3
3,X,X,F,1,0.28726464773948285,0.6085333543503826,0.75,0.3831468142008486,3
4,X,X,D,0,0.3208904855854451,0.600942381885863,0.7301494182177226,0.4111380219944093,3
5,Y,Y,K,1,0.3096736645026324,0.6567792225195505,0.727955203154354,0.40267220778991986,3
6,X,X,F,1,0.2712097052327004,0.6933493377374909,0.6955831383188057,0.4121224357422483,3
7,Y,Y,K,0,0.2524643614175109,0.7459808395782125,0.7417945466983393,0.40845598647356396,3
8,X,X,D,0,0.25,0.7445875272951954,0.7472610841447347,0.39362940800347357,3
9,X,X,D,1,0.3065670951081707,0.75,0.6966918483370759,0.4242106563564627,3
10,X,X,F,1,0.32426718749825656,0.75,0.6999376772392372,0.4579913942264414,3
11,Y,Y,K,1,0.36083120551708014,0.7389783227628679,0.6888237329401597,0.4491487152672236,3
12,X,X,F,1,0.3261924442252767,0.7113300995799601,0.6857144124326533,0.45650112221863015,3
13,Y,Y,K,0,0.35998999653906766,0.6781676768676957,0.681643795305771,0.4788067129336979,3
14,X,X,D,0,0.3723294834882542,0.6623954709334152,0.6781929453187748,0.5171256814477546,3
15,Y,Y,J,1,0.4030941713257195,0.6359719308711758,0.6622274507244832,0.5391934651472086,3
16,X,X,D,0,0.44453801417412064,0.6432035038322245,0.6521243474627305,0.5177571948666726,3
17,Y,Y,K,1,0.43293172600273244,0.6832245550657925,0.6272156647323006,0.47506738937978404,3
18,Y,Y,J,0,0.39364201793089293,0.7066847316347264,0.5968798241151035,0.44540014118031074,3
19,Y,Y,J,1,0.3890966558054855,0.6874409761497856,0.6116530383853052,0.4802989055522271,3
0,X,Y,J,1,0.32263429024684837,0.5577034922496837,0.4833063022828975,0.506473489591734,4
1,Y,Y,K,1,0.34757973054403524,0.5292501776794273,0.4686374046940674,0.4925174988888892,4
2,Y,Y,K,1,0.35418231786624,0.5218936676438588,0.49652262067732617,0.4689624191947527,4
3,Y,X,F,1,0.3050240020696082,0.5543155693566549,0.4857368499144138,0.45398409528313294,4
4,X,X,F,0,0.3566719383161776,0.5340728333067057,0.48962388044916483,0.45109076430674816,4
5,Y,Y,J,1,0.3195033280823472,0.5398743460995328,0.48435330371573854,0.4678556236589423,4
6,X,Y,J,0,0.31870683049585086,0.5437353453578991,0.49412274128702816,0.4422227485505503,4
7,X,X,D,1,0.33155273690078546,0.5511480413585064,0.48222767791886134,0.4382002749964323,4
8,Y,Y,J,1,0.34533722007398115,0.5829552838129235,0.4895164835682085,0.4578018210038899,4
9,X,X,D,0,0.3232551713435366,0.6310051514755397,0.48602406738567,0.47912368625921076,4
10,Y,X,D,0,0.32258570269550435,0.6512826400052621,0.4581457894289827,0.508706286211594,4
11,Y,X,D,0,0.3439673444199995,0.669972182150714,0.49160966853145344,0.5138327220860306,4
12,X,X,D,0,0.3130316442108556,0.6226903376512959,0.45706932713405846,0.4962295489863893,4
13,X,X,F,0,0.30879162139221794,0.6217748477632502,0.4117026237793118,0.4779574712514107,4
14,Y,Y,J,0,0.3055349353621814,0.6069128776393296,0.42824702466255965,0.4652784604356804,4
15,X,X,D,0,0.2646665957602486,0.6097768656909931,0.3981465170203609,0.5056395742137497,4
16,Y,Y,J,1,0.25,0.5846985078517691,0.36678515583538657,0.504362330152989,4
17,X,X,D,0,0.285220530417714,0.6298407013937491,0.39150776173112456,0.49141970565316623,4
18,Y,Y,J,0,0.28669703100242583,0.6464362418759992,0.41179893992555844,0.5014544121826419,4
19,X,Y,K,1,0.30362645668159555,0.6092460156310019,0.40324244500046946,0.46958318618228556,4
0,X,Y,K,0,0.6527651061635175,0.5028652507733378,0.6854977142753687,0.3360014415989079,5
1,Y,Y,J,1,0.6151677961150863,0.48064567760211224,0.7043701970925134,0.3562987261060623,5
2,Y,Y,K,0,0.5684952560890142,0.4903350148266425,0.6916099395293488,0.3686701004773537,5
3,X,Y,K,0,0.6021745278212608,0.49264499973819803,0.7039999509859984,0.3588813046168576,5
4,X,Y,J,1,0.5908690812205866,0.48741049422865906,0.6978940738262134,0.34654023452405613,5
5,X,X,D,0,0.5688378563927885,0.4918722764254254,0.71000642525458,0.3080427068920122,5
6,X,X,D,1,0.5699092482758351,0.4447367462541539,0.7349828314984436,0.3195457240483587,5
7,X,X,D,1,0.5757892852193833,0.428565192510742,0.7224277306376286,0.31382822073750943,5
8,X,X,D,1,0.5743544193433978,0.4467301706005781,0.7032063112010869,0.3135212901030609,5
9,X,Y,J,1,0.5461716416907562,0.4379350678281805,0.6983848674544832,0.33237677750644307,5
10,X,X,F,1,0.5786824217167633,0.45186613949474913,0.7061912790325295,0.3329848107155924,5
11,X,X,D,1,0.6084398512087646,0.48156777164286424,0.7163150557496349,0.3439465870661025,5
12,X,Y,J,0,0.6231828703243403,0.52092880337213,0.7367542126664682,0.3811123289175331,5
13,Y,X,D,1,0.5971868337827743,0.56301869914285,0.75,0.385672601496079,5
14,X,Y,J,1,0.612486106457872,0.5560282941001502,0.75,0.34393159456723443,5
15,Y,X,F,0,0.6303958744676293,0.5634530074822288,0.7455545324096258,0.3332406876608725,5
16,X,X,D,0,0.6302123156034699,0.5334496247119241,0.7333191400728106,0.32006504240180894,5
17,X,X,F,1,0.6470655182053758,0.5466505479125464,0.7371458027032834,0.37726307575891627,5
