trial,action1,state,action2,reward,probsA,probsB,probsC,probsD,run
0,X,X,D,0,0.2664640998578177,0.3578783542072351,0.3567678969595047,0.5904619679312858,0
1,X,Y,J,0,0.25,0.37774740498052745,0.36856903772415023,0.5387504872136206,0
2,Y,Y,J,0,0.25553094646747077,0.38156622439831983,0.42022824003903303,0.532814649644883,0
3,Y,X,D,1,0.2598365037869042,0.3967983779115157,0.3813244518000751,0.5595464228699526,0
4,X,X,D,0,0.2798670174358167,0.4251474620794058,0.3742957542460156,0.5751200498199533,0
5,X,X,F,0,0.2685166595316628,0.3766932788510855,0.3372696427365014,0.5283759257867331,0
6,X,Y,J,0,0.2577453856155814,0.36296204477609895,0.35505816507783694,0.5209225819613956,0
7,Y,Y,K,0,0.25,0.35810355590135773,0.3440039649809617,0.5341135973963732,0
8,Y,Y,J,1,0.25,0.32454745614271063,0.30091748540317,0.5191614807228888,0
9,Y,Y,J,1,0.25,0.32513558224579114,0.2913536921066871,0.5363467313732154,0
10,X,X,D,1,0.2704313787138878,0.3667740136186517,0.2808235300445553,0.5464800881065064,0
11,Y,Y,J,1,0.28765897171517,0.32786557885040074,0.29251253001383193,0.5678338718982673,0
12,Y,Y,J,1,0.2650296956510522,0.30823235042901276,0.2909033874744223,0.5838905914634964,0
13,X,X,F,1,0.28072902385868165,0.3177989373657081,0.3023009324563678,0.5628018473254849,0
14,Y,X,D,0,0.27413819730217276,0.31592246634108545,0.30543698488574766,0.5431428338087043,0
15,X,X,D,0,0.25006286175566733,0.2879788515895787,0.3304212312881362,0.5841660683305644,0
16,X,Y,J,0,0.25,0.2784979750764396,0.2882154923135496,0.6152395182534841,0
17,Y,Y,K,1,0.25,0.3015226600951356,0.27004837706561124,0.6336837711377674,0
18,X,Y,J,0,0.2511466782668692,0.27672087557767716,0.2633880751937163,0.5806640365713988,0
19,X,X,D,0,0.2752863456645888,0.25648711111919936,0.25175403507695804,0.5605409268303616,0
0,Y,Y,K,0,0.40579421409043376,0.43713957936839304,0.6917827489858992,0.25466872190028605,1
1,X,X,D,1,0.385148739951785,0.44380999634061974,0.696625266194996,0.25483298149384886,1
2,Y,Y,K,0,0.3842101274518777,0.45430301367211917,0.7041168164713438,0.25,1
3,Y,X,D,1,0.3372965503085963,0.45312921169981274,0.699028749135387,0.25,1
4,X,Y,J,1,0.3211520777567436,0.4577007750644111,0.6932437101744543,0.25,1
5,Y,Y,J,1,0.32994258019719663,0.42099531176162924,0.6993877107593589,0.25,1
6,X,X,D,0,0.2849656851803576,0.41758187579011313,0.7126555287608534,0.25,1
7,Y,Y,J,1,0.27974731503911854,0.40063315867541205,0.6837092808661553,0.25,1
8,X,Y,K,0,0.25573634474015905,0.4381617020020875,0.7264612543442234,0.2785942307850384,1
9,Y,Y,K,0,0.25,0.424063533733265,0.7182800019959337,0.3071929949027711,1
10,X,X,D,0,0.26210315249447375,0.41869962382207154,0.7240559551443582,0.3322969678873169,1
11,Y,X,D,0,0.2565871984824873,0.4057778700178127,0.69023177325707,0.3395122689795575,1
12,X,X,D,0,0.25,0.42370847584362276,0.712361574173883,0.34921168948997966,1
13,Y,Y,J,0,0.279658827067061,0.43467994548654676,0.7142987301646118,0.349995177725597,1
14,X,Y,J,1,0.25,0.4599338108131118,0.6483609371794492,0.3648559540474485,1
15,X,X,D,0,0.25,0.4864953347690534,0.6738771074136719,0.3771735513706335,1
16,X,X,D,1,0.25,0.5143890873456379,0.6694570616618967,0.3805877580194804,1
17,X,X,D,0,0.29640373569433837,0.5342199152748945,0.6501188636249468,0.3743074865569367,1
18,X,X,D,0,0.29341693459618734,0.5564023334163881,0.6251903767277521,0.3875301991520336,1
19,Y,X,D,1,0.3218004742172929,0.5309200764476493,0.6167718770975466,0.3803492412431198,1
0,X,X,D,1,0.36781519641522303,0.40689303650344283,0.3814100755934045,0.2747028014781907,2
1,X,Y,J,1,0.3937265377838008,0.4159902952759058,0.4287188536014471,0.25880214352799813,2
2,X,Y,J,1,0.38139243243612525,0.43538742067749825,0.44209226716599825,0.2670938945698003,2
3,Y,X,D,1,0.42581479604052574,0.3813639042255792,0.4651178231556508,0.26838429569316746,2
4,Y,X,F,1,0.42326266472547586,0.31363072878362297,0.480255879622764,0.2710755068866497,2
5,X,Y,J,0,0.4466173228553524,0.2946984852398159,0.4490817752334191,0.2668448410559041,2
6,Y,Y,K,0,0.4217245595890717,0.2916097356163324,0.43241715974739314,0.27804822363747456,2
7,Y,Y,K,1,0.4692890104235562,0.3097203411553334,0.41430106206752104,0.2762468214296681,2
8,X,X,D,0,0.43103550433813603,0.3596857596557162,0.40321382966546643,0.2625563235776637,2
9,X,X,F,1,0.4172628952050741,0.38404732113458917,0.42178821573775294,0.261317199783722,2
10,X,X,D,0,0.40681194153524153,0.40097729402260235,0.4160669432066422,0.26979949576035034,2
11,X,X,D,0,0.42513163666672077,0.39850220060747316,0.4026126208018072,0.25296427829357065,2
12,Y,X,D,1,0.4201577799962499,0.36205823392012887,0.39152327033981976,0.29686713991212405,2
13,X,X,D,0,0.4106697765186833,0.34936169230813574,0.3861799197289282,0.30786960755589177,2
14,X,X,F,1,0.43828082853686184,0.3472623068015332,0.3438982133248612,0.3225742847106518,2
