trial,action1,state,action2,reward,probsA,probsB,probsC,probsD,run
0,X,X,D,0,0.5178650810728307,0.48963233008256485,0.5394439193346415,0.4728300838008529,0
1,X,X,D,0,0.5558699408701688,0.48571150445756966,0.5141232856772845,0.4729312074256858,0
2,X,X,F,0,0.5795458466074409,0.4223664823530676,0.5529581970935901,0.45265597444679584,0
3,X,X,D,0,0.5879215940864585,0.4122603897260055,0.52446154624963,0.4511196030216687,0
4,Y,Y,J,1,0.6021668582876152,0.4217409057285753,0.531190298881907,0.4728761102881488,0
5,Y,X,D,0,0.6151884907538421,0.4391356311786769,0.534695483218843,0.49281314441355,0
6,Y,Y,K,1,0.5949858500335021,0.4613780320704706,0.5175059968801597,0.4551211561571269,0
7,Y,X,D,0,0.5739367911008186,0.46736087656787734,0.5052929941500238,0.46373600697351125,0
8,Y,Y,J,1,0.5859690946084734,0.47945844054182996,0.4898582339716538,0.5156431409984746,0
9,X,X,D,0,0.6151958150458466,0.48309033049005484,0.49260016671674905,0.47917480461717465,0
10,Y,Y,J,1,0.6163964133087181,0.46932002947587886,0.5060762039943227,0.4767635276859385,0
11,X,X,F,1,0.581298250286262,0.496821293492535,0.48696013606822425,0.47190425452798673,0
12,X,Y,J,1,0.5708199986592337,0.5420965020526245,0.4604842331317775,0.47505547659138364,0
13,X,Y,K,0,0.5360454689838581,0.5862320121575442,0.4437608596516734,0.4499498434753041,0
14,Y,Y,K,0,0.5585563587392841,0.5453555731892121,0.4302967398506098,0.4883862948151775,0
15,X,X,F,1,0.5309354901388071,0.5606017168205559,0.44771987011247155,0.48610439402440325,0
16,X,X,D,0,0.5921972864510543,0.5588073178528487,0.49696936220688614,0.4682648412975253,0
17,X,Y,J,1,0.5771558393380264,0.5600569955709772,0.5166645880615419,0.499669669908201,0
18,X,X,F,0,0.5821331500262935,0.5463242035290441,0.5179680202772118,0.484791428402112,0
19,X,X,F,1,0.5707077218671668,0.5626898173205453,0.57637184986743,0.48062528631348544,0
0,Y,Y,K,1,0.5270821129398995,0.485365053551557,0.3621859987018238,0.4479715891425157,1
1,Y,Y,J,1,0.5355569866351539,0.4641627700644724,0.38482282694013314,0.4359129735340644,1
2,Y,X,F,1,0.5386427938775379,0.4522924678412165,0.37101030656848205,0.3913214592278256,1
3,X,Y,J,0,0.5850124991895527,0.4724098279848278,0.3591099291893195,0.3887305449995025,1
4,X,X,F,1,0.5641295156725399,0.5009968801108541,0.3490638671855986,0.40401332871391066,1
5,X,X,F,0,0.5465357853556781,0.49368270912909035,0.39666362467648497,0.42325117534907464,1
6,Y,Y,J,0,0.5307508498021082,0.4794203906763398,0.3820389031473163,0.4244118164658973,1
7,Y,X,D,1,0.5260996172397856,0.4849488581581321,0.3654165796041237,0.4281755697361473,1
8,X,X,D,0,0.5588446919934563,0.43763864724626617,0.4007519669924354,0.45180809940276717,1
