trial,action1,state,action2,reward,probsA,probsB,probsC,probsD,run
0,X,X,D,1,0.6940743220310701,0.4453140729656564,0.6142138817433814,0.664345833450632,0
1,Y,Y,K,1,0.7017100700968213,0.4348241320887681,0.6272408803604449,0.683174604137922,0
2,X,X,D,0,0.6982632709573917,0.4390904085164687,0.6445627419042083,0.632437875891471,0
3,X,Y,J,1,0.707794226444368,0.4157193042413041,0.6517745922746796,0.6062959114596785,0
4,Y,Y,J,0,0.6499176326679512,0.45090486347006314,0.634953259717062,0.6725369622033198,0
5,X,X,D,0,0.6330182566596894,0.4359005087066875,0.6705457692841957,0.6488238056432613,0
6,X,X,F,1,0.6229914986140136,0.4642238010140665,0.6605627749841743,0.6222500865472697,0
7,X,X,D,0,0.6151359372041676,0.45242051537883893,0.698198615194398,0.6102790685048212,0
8,X,X,D,0,0.640066610118385,0.4659108096290063,0.6705674049774292,0.6017892539018603,0
9,X,X,D,0,0.65056694165702,0.4397499952365006,0.6908718572897737,0.5798745423437875,0
10,X,X,F,0,0.6505516647422022,0.452187637456336,0.6468542503095891,0.6014307126070851,0
11,X,X,F,1,0.6222177208721811,0.4301480840270929,0.623373522293945,0.5830843881420769,0
12,X,X,D,1,0.5774291510451539,0.47248192107092923,0.5677966571222148,0.5909569265682982,0
13,X,X,D,0,0.5658342662083341,0.46930925388211214,0.559441254043242,0.56749122727129,0
14,X,Y,J,0,0.5558319493614614,0.44749769043197724,0.5522663233184385,0.5509538269338337,0
15,X,X,D,0,0.5323867543888775,0.48155907440767903,0.6275382347875657,0.6031158964187199,0
16,X,X,F,1,0.491493567459824,0.5184867275995931,0.6233060565792952,0.5925937116141496,0
17,X,X,D,0,0.5036339582578726,0.4895734053852445,0.5885304422392663,0.5834182604789556,0
18,X,Y,J,1,0.5019466605709477,0.49618473685511383,0.6036625105882403,0.5914911670061774,0
19,X,Y,J,0,0.47185731224137034,0.48739486498674117,0.6061462553680104,0.5670772410952056,0
0,X,X,F,0,0.6671426963093312,0.26953482771607745,0.34136913031794164,0.3765505688667738,1
1,Y,Y,J,0,0.6176181333965697,0.2673143372759778,0.31380954789583876,0.3886092748299315,1
2,X,Y,J,1,0.6025240751287229,0.25,0.29437889855824195,0.39218851524745973,1
3,X,X,F,0,0.5915269525153632,0.28209276178214543,0.25638135204639534,0.36839887129228693,1
4,X,X,D,0,0.5592971702359446,0.32733485573901716,0.25,0.3745033477939009,1
5,X,Y,J,0,0.5792113515209933,0.3302729148122918,0.29290317918759007,0.4022725882399966,1
6,X,Y,J,0,0.586398838022766,0.3145625545631837,0.28126091632365985,0.4085170960203517,1
7,X,X,D,1,0.5623249529024,0.34973245591267343,0.3101172892469134,0.4154824709958823,1
8,X,X,F,0,0.5581875242975831,0.36271150776227973,0.29422733802892287,0.39093905549084546,1
9,Y,Y,J,1,0.5373761331409407,0.3424581360779111,0.3018541339066253,0.3940945900752828,1
10,X,Y,J,1,0.511676238203953,0.3069356243022927,0.3394384224274004,0.4153010859148016,1
11,X,Y,J,0,0.4604993103128051,0.2883794914707168,0.3445122322899603,0.4222778128963508,1
12,X,X,D,1,0.48847750182145544,0.2836163846699095,0.4148123824716927,0.3830989219893874,1
13,X,X,D,0,0.48702041337160135,0.3182708957395296,0.4131389484743492,0.3892605161968643,1
14,X,X,D,1,0.47685825159916734,0.29102819560725784,0.39587873032657567,0.4396513709396162,1
15,X,X,D,1,0.4339086084746214,0.35101421100217145,0.4296880363446137,0.41506466270947306,1
16,Y,Y,J,1,0.4014870691149828,0.3483936548286244,0.42452708887884083,0.4041903538565302,1
17,X,X,D,1,0.4516304344117398,0.37880461183338365,0.4321688008825132,0.40153413817749695,1
