trial,action1,state,action2,reward,probsA,probsB,probsC,probsD,run
0,X,Y,K,1,0.6931686409989233,0.3502433931078167,0.3651397805471693,0.3990057618739554,0
1,X,Y,J,1,0.6680512522676338,0.31584675800590645,0.38091193199660744,0.43864706142769794,0
2,X,X,D,0,0.6467326277631604,0.3302435852597817,0.42253620957773647,0.4579172645388445,0
3,X,X,D,1,0.6577963438119371,0.26479338745469183,0.3907782361639045,0.479835542633834,0
4,X,X,F,0,0.6637655160794275,0.2794264812486657,0.38734920422918856,0.48307305091672537,0
5,Y,Y,J,0,0.6862651295312463,0.25709823128546583,0.38535245204328555,0.4647631474618824,0
6,Y,Y,J,0,0.7065558087645775,0.25,0.4149692723432017,0.4679449669821101,0
7,X,X,D,1,0.683143683033819,0.25,0.3763988598670944,0.4571190320603665,0
8,X,Y,J,1,0.7202607666333349,0.25,0.34069384608624237,0.47657401442335506,0
9,X,X,D,1,0.7183893252747318,0.25,0.3544707882101923,0.4686587418777829,0
10,X,Y,J,1,0.7128089955648366,0.25,0.3493802576572546,0.4821497607743555,0
11,X,X,D,0,0.7369915250515843,0.25332545346625074,0.3269605240159435,0.48919139542818363,0
12,X,Y,J,0,0.72231316666552,0.25,0.32067510948921146,0.47289635574192806,0
13,X,X,D,0,0.7408340224996416,0.2817095731861336,0.30893698905912786,0.47594718996356056,0
14,Y,X,D,1,0.75,0.2874183354796662,0.34487722463161863,0.5101648553016452,0
15,X,X,D,1,0.75,0.2914431139273154,0.3737450143389174,0.511104411837858,0
16,X,X,F,0,0.7339800472014023,0.30378661063795726,0.4005593870648756,0.5121303372729532,0
17,Y,Y,K,1,0.7058262732124326,0.32156529369289977,0.3875275119124517,0.5232204123843139,0
18,X,X,D,1,0.7329777441437667,0.3237062450808627,0.4122776562193692,0.5070981571795564,0
19,X,X,D,1,0.6987755906361898,0.3740013063841736,0.43720852753618233,0.4997023237003873,0
0,X,X,D,0,0.3115508812793459,0.531611772286174,0.4634777221988987,0.4258365263292838,1
1,X,X,F,0,0.33620661370564997,0.5149465968501574,0.4809404082759524,0.41607729433059343,1
2,X,X,D,1,0.34725510635579815,0.5251972573886292,0.4858163762021997,0.45054462075613616,1
3,X,X,D,0,0.3751975826393043,0.5161946332468976,0.4666673792098397,0.46222340936915457,1
4,X,X,F,1,0.41504228672979937,0.48717363797251007,0.4662964615125344,0.4731602273168381,1
5,X,X,D,1,0.38834136161564864,0.475408491072975,0.4135434363225928,0.4358804998471604,1
6,Y,Y,K,1,0.3386228366239005,0.46494727308865186,0.43029618576377676,0.49410275507687174,1
7,Y,Y,K,1,0.34307060420545865,0.4521702517296051,0.4338725383846927,0.5172832537419618,1
8,Y,Y,K,0,0.3040815707177333,0.4695740720358099,0.4330851161648389,0.5380611811904066,1
9,Y,X,D,0,0.2773211345701566,0.4544153172558122,0.4331298582854928,0.5539025578487254,1
10,X,X,F,0,0.28493239161861605,0.46279245032195315,0.43816358451251525,0.5883004965416884,1
11,X,X,F,1,0.29125133800400266,0.4715648918168457,0.4695042348204526,0.592708047707008,1
